"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","geoFlag","class"
"1","2020-09-23 10:40:40-03","E","E","312804","PreservedSpecimen","Plantae","Leguminosae","Harpalyce","lanata","Harpalyce lanata","Ganev, Wilson","2674","1993","12","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314848","<a href=http://data.rbge.org.uk/herb/E00312804 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777378","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","W. Ganev","160","1992","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777378","Magnoliophyta","Fabales","L.P.Queiroz","G. P. Lewis","Bahia","Abaíra","Distrito de Catolés: caminho Capao - Bicota, garimpo novo do Bicota","-41.85","-13.33","1400","1400","NY00777378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777376","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","W. Ganev","2674","1993","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777376","Magnoliophyta","Fabales","L.P.Queiroz","G. P. Lewis","Bahia","Abaíra","Bicota, entre garimpo novo e Bicota","-41.85","-13.33","1300","1420","NY00777376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777374","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","W. Ganev","3129","1994","04","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777374","Magnoliophyta","Fabales","L.P.Queiroz","G. P. Lewis","Bahia","Abaíra","Serra da Serrinha, caminho Carpao-Serrinha-Bicota","-41.85","-13.33","1220","1450","NY00777374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","777375","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","W. Ganev","714","1992","07","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777375","Magnoliophyta","Fabales","L.P.Queiroz","G. P. Lewis","Bahia","Abaíra","Campos da Serra do Bicota","-41.85","-13.32","1600","1600","NY00777375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","777377","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","W. Ganev","2654","1993","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777377","Magnoliophyta","Fabales","L.P.Queiroz","G. P. Lewis","Bahia","Abaíra","Encosta Serra do Sumbaré, pelo Belo Horizonte - Jambreiro","-41.87","-13.3","1200","1400","NY00777377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","578962","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","W. Ganev","1659","1992","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00578962","Magnoliophyta","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra","Distrito de Catolés, Funil - próximo ao Rio da água Suja","-41.75","-13.37","850","850","NY00578962_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:16:04-03","UFBA","ALCB","62008","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","Ganev, W","2674","1993","12","15","Southern America","Brasil",NA,NA,"Ca. 1,50m, bem ramificado na base. Folhas cartáceas. Pedúnculo e pedicelo creme-ferrugíneos. Flores com sépalas creme-ferrugíneas, pétalas vermelho-vináceas, estames vermelhos com anteras amarelas e pistilo vermelho. Planta em final d","ALCB031121","Dicotyledon",NA,"L.P.Queiroz","Queiroz, LP de","Bahia","Abaíra","Chapada Diamantina, Bicota, entre garimpo novo e Bicota","-41.85","-13.333333","1300","1300","ALCB031121",NA,"2003","08","-41.85","-13.333333",NA,NA,NA,NA
"9","2020-12-21 16:26:35-03","MBM","MBM","310860","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","3129","1994","04","26","Southern America","Brazil",NA,NA,"Arbusto de ca. 1,20m, bem ramificado na base. Folha cartáceas verdes, discolores. Frutos em maturação castanho-escuros. Planta só com frutos, pouco comum. Canmpo rupestre, com solo arenoso; Arbusto de ca. 1,20m, bem ramificado na bas","MBM310860",NA,NA,"L.P. Queiroz",NA,"Bahia","Abaíra","Serra da Serrinha, Caminho Capão-Serrinha-Bicota","-41.85","-13.333333","1220","1450","MBM310860","PARATYPE",NA,NA,"-41.85","-13.333333",NA,NA,NA,NA
"10","2020-11-10 04:40:00-03","MO","MOBOT","100313198","PreservedSpecimen","Plantae","Fabaceae","Harpalyce","lanata","Harpalyce lanata","Pedro L. R. de Moraes","Moraes 3013","2009","12","12","South America","Brazil",NA,NA,NA,NA,NA,NA,"L.P. Queiroz","D. Cardoso","Bahia","Abaíra","Catolés - Guarda-Mor S.","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,NA,NA,NA,NA,"26531","1","auto",NA
