"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","typeStatus","fieldNumber","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01081548","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin","R. Goldenberg","I. C. C. Macedo","50","1984","10","24","South America","Brazil","São Paulo","Sao Paulo","Capital, Reserva Biológica do Parque Estadual das Fontes do Ipiranga.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237786' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081548","NY01081548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01081547","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin","R. Goldenberg","S. L. Jung-Mendaçolli","372","1980","11","28","South America","Brazil","São Paulo","Sao Paulo","Reserva Biológica, Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237782' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081547","NY01081547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4218421","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin",NA,"F. Almeda","9783","2009","03","12","South America","Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia. Trail to Piscina do Maromba.","-44.62005","-22.42944","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451514' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218421",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","521283","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin","A. C. Brade","A. C. Brade","17180","1942","03","17","South America","Brazil","Rio de Janeiro","Itatiaia","Lote 88","-44.65833","-22.358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521283","NY00521283_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01462497","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin","M. K. Caddah","M. K. Caddah","447","2009","05","11","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, descida para parte baixa do Véu da Noiva","-44.6198","-22.4284","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305531' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462497","NY01462497_01","1040","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","521281","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin","J. J. Wurdack","P. J. M. Maas","3219","1977","10","12","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, disturbed forest near Veu da Noiva.","-44.620416","-22.427893","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521281","NY00521281_01","1000","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","521284","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin",NA,"J. B. E. Pohl","180",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Inter frutices ad fluvios Joao Gomez inter et Pedro Alvez, Cap. Min. Ger.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521284","NY00521284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","521282","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin","A. C. Brade","Altamiro","63","1945","10","06","South America","Brazil","Rio de Janeiro","Itatiaia","Estrada para Maromba, mais ou menos km 2.5","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521282","NY00521282_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:44:30-03","EAO","IAN","19303","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","castaneaeflora","Miconia castaneaeflora","Naudin",NA,"Clausen, M","334",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN019303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:13:36-03","ESALQ","ESA","22521","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","castaneaeflora","Miconia castaneaeflora","Naudin","Goldenberg, R.","Barreto, K.D. et al.","3148.0","1994","10","27",NA,"Brasil","São Paulo","Tapiraí",NA,"-47.5","-23.9599990844727",NA,NA,"ESA022521",NA,NA,NA,"41034","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:18:24-03","UFV","VIC","10941","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin",NA,"Silva, A.F.","1297","1985","10","11",NA,"Brasil","São Paulo","São José dos Campos","Flora da Reserva Florestal da Boa Vista","-45.9375","-23.075",NA,"Árvore de 3,5m, flores brancas aromáticas.","VIC010941","VIC010941",NA,NA,NA,NA,"-45.9375","-23.075",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:39:35-03","UFJF","CESJ","779","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin",NA,"L. Krieger","CESJ779","1942","09","08","América do Sul","Brasil","São Paulo","São Paulo","Santo Amaro","-46.6300010681152","-23.5400009155273",NA,NA,"CESJ000779",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:34:33-03","UNICAMP","UEC","151732","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","castaneiflora","Miconia castaneiflora","Naudin","Caddah, MK","Caddah, MK; Guimarães, PJF","447","2009","05","11",NA,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Descida para parte baixa do Véu da Noiva.","-45.016667","-22.7",NA,"Árvoreta ca. 3,0 m, frutos maduros laranjdos, coleta em sílica.","UEC083608","UEC083608","1040","1040",NA,NA,"-45.016667","-22.7","2009","06",NA,NA,NA,NA,NA
