"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","verbatimLongitude","verbatimLatitude","sex"
"1","2020-09-23 10:43:26-03","E","E","296300","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis","unspecified kind of","Gardner, George","20","E. Tropical South America","BR","Rio","herbarium specimen of unspecif","BGBASE:311381","<a href=http://data.rbge.org.uk/herb/E00296300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:26-03","E","E","296302","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis","unspecified kind of","Gardner, George","20","E. Tropical South America","BR","Corcovado","herbarium specimen of unspecif","BGBASE:311385","<a href=http://data.rbge.org.uk/herb/E00296302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296302","1905","01","09","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:26-03","E","E","296301","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis","unspecified kind of","Gardner, George","20","E. Tropical South America","BR","Woods of aqueducto on the Corcovado, Rio, Brazil.","herbarium specimen of unspecif","BGBASE:311383","Pollen/spores from this specimen sent to Prijanto. Date: November, 1966<a href=http://data.rbge.org.uk/herb/E00296301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02695258","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis",NA,"L. Riedel","999","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2970628' target='other'> <mi>dwc_moreinfo</mi></a>","NY02695258","1832",NA,NA,"Rio de Janeiro","Magnoliophyta","Sapindales","A.St.-Hil. & Tul.","M. F. Devecchi","NY02695258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","572006","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis",NA,"J. R. Pirani","4517","South America","Brazil","Parque Estadual da Ilha Anchieta. Trilha da Restinga da Praia das Palmas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=226310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572006","1999","10","15","São Paulo","Magnoliophyta","Sapindales","A.St.-Hil. & Tul.","J. R. Pirani","NY00572006_01","Ubatuba","-45.08","-23.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02694853","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis",NA,"M. F. Devecchi","389","South America","Brazil","Ilha Anchieta. Trilha para a Praia do Sul.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978449' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694853","2015","01","15","São Paulo","Magnoliophyta","Sapindales","A.St.-Hil. & Tul.","M. F. Devecchi","NY02694853_01","Ubatuba","-45.07192","-23.54153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02286533","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis","isotype","G. Gardner","20","South America","Brazil","[By the aqueduct on the] Corcovado","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2948459' target='other'> <mi>dwc_moreinfo</mi></a>","NY02286533","1836","08",NA,"Rio de Janeiro","Magnoliophyta","Sapindales","A.St.-Hil. & Tul.","A. Cronquist","NY02286533_01 NY02286533_02",NA,"-43.195652","-22.930074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02694835","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis",NA,"M. F. Devecchi","388","South America","Brazil","Ilha Anchieta. Trilha para a Praia do Sul.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978426' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694835","2015","01","15","São Paulo","Magnoliophyta","Sapindales","A.St.-Hil. & Tul.","M. F. Devecchi","NY02694835_01","Ubatuba","-45.07192","-23.54153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02694846","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis",NA,"M. F. Devecchi","271","South America","Brazil","Parque Estadual da Ilha Anchieta. Mata atrás dos alojamentos, no caminho que leva para as trilhas para as Praia das Palmas e do Sul.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978352' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694846","2014","01","31","São Paulo","Magnoliophyta","Sapindales","A.St.-Hil. & Tul.","M. F. Devecchi","NY02694846_01","Ubatuba","-45.07192","-23.54153","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02681294","PreservedSpecimen","Plantae","Simaroubaceae","Simaba","insignis","Simaba insignis",NA,"J. Bowie","367","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2971117' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681294","1814",NA,NA,NA,"Magnoliophyta","Sapindales","A.St.-Hil. & Tul.","M. F. Devecchi","NY02681294_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
