"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","phylum","order","continentOcean","preparationType","occurrenceRemarks","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:24:54-03","UNESC","CRI","13233","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","Funez, L.A.","2015","Funez, L.A.; Zermiani, A.E.","4281","2015","05","05","Brasil","Santa Catarina","Garuva","Alto Quiriri. Alto Quiriri.","-48.954444","-26.039167","48º57'16''W","26º2'21''S","1200","1200","CRI011804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","787886","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","P. K. H. Dusén",NA,"P. K. H. Dusén","15581","1914","10","09","Brazil","Paraná",NA,"Serrinha.",NA,NA,NA,NA,NA,NA,"NY00787886","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","787888","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. M. Barroso",NA,"L. B. Smith","8490","1956","12","09","Brazil","Santa Catarina","Campo Alegre","Rancho Paulo Walter R N. By Rio Negro at base of Morro Iquererim.","-49.2656","-26.1925",NA,NA,"900","1000","NY00787888","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","787890","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. G. Hatschbach",NA,"G. G. Hatschbach","40246","1977","11","16","Brazil","Paraná","Palmeira","Rod. do Café, Rio Tibagi.","-49.891776","-25.299294",NA,NA,NA,NA,"NY00787890","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00998292","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. Heiden",NA,"R. Reitz","17932","1965","12","18","Brazil","Paraná","Jaguariaíva","Rio das Mortes","-49.7056","-24.2511",NA,NA,"850","850","NY00998292","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00998292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","787992","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. Heiden",NA,"L. Riedel","200","1824","06",NA,"Brazil","Paraná","Sao Joao","Pr. St. Joao.","-52.7253","-25.8281",NA,NA,NA,NA,"NY00787992","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","787891","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. G. Hatschbach",NA,"G. G. Hatschbach","39948","1977","05","27","Brazil","Paraná","Sengés","Rio do Funil.","-49.4633","-24.1131",NA,NA,NA,NA,"NY00787891","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","787889","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. M. Barroso",NA,"G. G. Hatschbach","31104","1973","01","10","Brazil","Paraná","Jaguariaíva","Corrego 3 Bocas.","-49.7056","-24.2511",NA,NA,NA,NA,"NY00787889","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","787508","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. Heiden",NA,"L. Riedel","2429","1834","08",NA,"Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"NY00787508","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","818616","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. M. Barroso",NA,"H. S. Irwin","18685","1968","01","17","Brazil","Goiás","Cocalzinho de Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8",NA,NA,"1150","1150","NY00818616","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=865663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00847086","PreservedSpecimen","Plantae","Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.","G. Heiden",NA,"E. P. Heringer","12149","1972","02","20","Brazil","Goiás","Corumbá de Goiás","Cachoeria do salto de Corumbá.","-48.8083","-15.9236",NA,NA,NA,NA,"NY00847086","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
