"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:41-03","E","E","313833","PreservedSpecimen","Plantae","Leguminosae","Inga","barbata","Inga barbata","isolectotype","Gardner, George","362","1905","01","10","E. Tropical South America","BR","Organ Mts","herbarium specimen of unspecif","BGBASE:330903","<a href=http://data.rbge.org.uk/herb/E00313833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00313833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","408802","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"G. T. Prance","7451","1968","09","21","South America","Brazil","East of Rio Tarauacá, 15km below Tarauacá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408802","Magnoliophyta","Fabales","Benth.","J. W. Grimes","Acre","Tarauacá","-70.7659408","-8.2972518","NY00408802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","408798","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"D. S. D. de Araújo","1691","1977","05","21","South America","Brazil","Parque Nacional de Itatiaia, prox. a sede, a margem da estrada","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408798","Magnoliophyta","Fabales","Benth.","I. A. Rodrigues","Rio de Janeiro","Itatiaia","-44.5631","-22.4961","NY00408798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","408799","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"F. C. Hoehne","739","1917","10","20","South America","Brazil","Alto da Serra. Mata da Estaçao Biologica","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408799","Magnoliophyta","Fabales","Benth.","F. C. Hoehne","São Paulo","Ribeirao Pires","-46.4097","-23.71","NY00408799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","408797","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"J. Cordeiro","1542","1999","07","01","South America","Brazil","Morro Camacua","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408797","Magnoliophyta","Fabales","Benth.","G. G. Hatschbach","Paraná","Campina Grande do Sul","-49.0553","-25.3058","NY00408797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2252","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata","syntype","G. Gardner","362","1837",NA,NA,"South America","Brazil","Serra dos Orgaos","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002252","Magnoliophyta","Fabales","Benth.",NA,"Rio de Janeiro",NA,"-43.073169","-22.496706","NY00002252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2251","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata","syntype","G. Gardner","362","1837",NA,NA,"South America","Brazil","Serra dos Orgaos. Brasil. trop.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002251","Magnoliophyta","Fabales","Benth.",NA,"Rio de Janeiro",NA,"-43.073169","-22.496706","NY00002251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 16:13:00-03","NY","NYBG","408803","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"F. G. Seidenschwarz","6001","1982","10","26","South America","Peru","Panguana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408803","Magnoliophyta","Fabales",NA,"T. D. Pennington",NA,NA,"-74.93","-9.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00924555","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"A. F. M. Glaziou","13773","1883","07","16","South America","Brazil","Province de Brésil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924555","Magnoliophyta","Fabales","Benth.",NA,NA,NA,NA,NA,"NY00924555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1181715","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"A. F. M. Glaziou","3934",NA,NA,NA,"South America","Brazil","Petropolis Alto Macahe.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387271' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181715","Magnoliophyta","Fabales","Benth.",NA,"Rio de Janeiro","Petrópolis","-43.1786","-22.505","NY01181715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","408801","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata",NA,"J. M. Silva","2058","1997","10","05","South America","Brazil","Serra Ibitiraquire, trilha para o Pico Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408801","Magnoliophyta","Fabales","Benth.","T. D. Pennington","Paraná","Campina Grande do Sul","-49.0553","-25.3058","NY00408801_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","74322","PreservedSpecimen","Plantae","Fabaceae","Inga","barbata","Inga barbata","isolectotype","W. J. Burchell","1984","1826","02",NA,"South America","Brazil","Serra dos Orgaos about the head of River Paquequé (Paquequer), near Mr. March's dwelling house (near Teresópolis)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00074322","Magnoliophyta","Fabales","Benth.",NA,"Rio de Janeiro",NA,"-42.98","-22.43","NY00074322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
