"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","occurrenceRemarks","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","preparationType","verbatimLongitude","verbatimLatitude","class","order","individualCount","fieldNumber","sex"
"1","2021-04-08 17:44:51-03","EAO","IAN","41749","PreservedSpecimen","Plantae","Monocotiledônea","Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Schwacke, J","9209","Southern America","Brasil","IAN041749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:28-03","MN","R","213661","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Moura, R.","641",NA,"Brasil","R010016878","2008","08","10","Minas Gerais","Botumirim","-43.010799407959","-16.872200012207","39434","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:37:51-02","BGBM","B","B 10 0157386","S","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana",NA,"W. Schwacke","9209","Middle and South America","Brazil","B100157386",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type","<a href=http://herbarium.bgbm.org/object/B100157386 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157386 B100157386_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:51-02","BGBM","B","B 10 0157388","S","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana",NA,"W. Schwacke","9209","Middle and South America","Brazil","B100157388",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type","<a href=http://herbarium.bgbm.org/object/B100157388 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157388 B100157388_1","Min. Gerais; Serra de Ouro Preto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:30-03","UFV","VIC","32581","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Pereira, T.A.R.","et. al.",NA,"Brasil","VIC032581","2009","04","03","Minas Gerais","Araponga","-42.5208015441895","-20.6667003631592","16385","auto",NA,"Planta epífita, próxima ao córrego do Ouro, aroximadamente 1500m de altitude.","VIC032581","Laje do Ouro, PESB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:30-03","UFV","VIC","15697","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Paula, C.C.","1077",NA,"Brasil","VIC015697","1996","01","04","Minas Gerais","Araponga","-42.5208015441895","-20.6667003631592","16385","auto",NA,"Epífita. Inflorescência com brácteas vermelhas e flores amarelas, folhas com sulcos longitudinais.","VIC015697","PESB","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:30-03","UFV","VIC","13848","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Paula, C.C.","1002",NA,"Brasil","VIC013848","1994","10","23","Minas Gerais","Araponga","-42.5208015441895","-20.6667003631592","16385","auto",NA,"Epífita, flores com pétalas amarelas.","VIC013848","PESB","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:46:30-03","UFOP","OUPR","13033","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Badini, J.; Zurlo, M.A.","s.n.",NA,"Brasil",NA,"1978","12","04","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"Planta sobre rochas. Erva. Flores vermelhas",NA,"Serra do Frazão",NA,NA,"Badini, J.","1978","12","04",NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-03 21:11:44-03","MNHN","RECOLNAT_MNHN_P","P01684147","PreservedSpecimen",NA,NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Puiggari",NA,NA,"Brasil","P01684147","1891","3","1","São Paulo","Apiaí","-48.8400001525879","-24.5","37738","auto",NA,". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684147' target='other'> <mi>dwc_moreinfo</mi></a>","P01684147_01","Brésil. Apiaí, São Paulo, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:43:36-03","UFMG","BHCB","117562","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Rezende, SG; Justo, AG","6250","Southern America","Brasil","BHCB045375","2018","01","09","Minas Gerais","Santa Bárbara","-43.684289","-20.043672",NA,NA,NA,"Epífita; Floresta estacional semidecidual associada à formação ferrífera",NA,NA,"1570","1570",NA,"2020","02",NA,NA,"-43.684289","-20.043672",NA,NA,NA,NA,NA
