"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","identifiedBy","individualCount","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","558403","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","A. C. Brade","21247","1952","11","24","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia","-44.637876","-22.374281","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558403","NY00558403_01 NY00558403_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","887340","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","A. P. Duarte","10376","1952","12","07","South America","Brazil","São Paulo",NA,"Serra da Bocaína.","-44.676361","-22.842145","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887340","NY00887340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","558404","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","F. Markgraf","10376","1952","12","07","South America","Brazil","São Paulo","Bocaina","Bocaina","-48.5099983215332","-22.1299991607666","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558404","NY00558404_01","18396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","558405","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","F. Markgraf","10376","1952","12","07","South America","Brazil","São Paulo","Bocaina","Bocaina","-48.5099983215332","-22.1299991607666","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558405","NY00558405_01","18396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:51-03","EAO","IAN","41076","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Schenck","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN041076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:44:51-03","EAO","IAN","94304","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Glaziou, AFM","16802",NA,NA,NA,NA,"Paris",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN094304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:44:51-03","EAO","IAN","94671","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Markgraf, F; Duarte, AP","10376","1952","12","07","Southern America","Brasil","São Paulo","Bocaina","Margem do mato a oeste do acampamento, 1600m.","-48.5099983215332","-22.1299991607666",NA,NA,NA,NA,"IAN094671",NA,"18396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:05:16-03","NBC","NL-BOTANY","U.1420913","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Markgraf F; Aparicio",NA,"1952","12","07","Southern America","Brazil",NA,NA,"State of Rio; Serra do Bocaina (S. of Itatiaia).",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1420913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1420913","NL-U1420913",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:05:16-03","NBC","NL-BOTANY","U.1420914","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Apparicio",NA,"1952","12","07","Southern America","Brazil",NA,NA,"São Paulo - Serra da Bocaína, margem do ma-to a oeste do acampamento.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1420914 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1420914","NL-U1420914",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:35:23-03","UNICAMP","UEC","168221","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Batista, TA; Moraes, C; Boechat, C","206","2011","01","20",NA,"Brazil","Minas Gerais","Itamonte","Hotel Casa Alpina Na cota 2100.","-44.817889","-22.380528","2110","2110",NA,"Arvoreta com 3 m de de altura. Folhas discolores. Flores com pétalas roxas, sépalas verdes e estames esbranquiçados.; Ponto 32 - Floresta de montanha com altura média de dossel de 15 m. Solo com muitas raízes. Presênça de cipós, gramin","UEC091055","UEC091055",NA,NA,NA,"-44.817889","-22.380528",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:35:23-03","UNICAMP","UEC","168727","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Batista, TA; Moraes, C; Boechat, C","260","2011","01","25",NA,"Brazil","Minas Gerais","Itamonte","Hotel Casa Alpina, Campo de altitude daonde se avista o Pico das Agulhas Negras.","-44.825889","-22.37875","2140","2140",NA,"Árvore. Folhas semidiscolores. Flores vistosas, sépalas com pêlos arroxeados e pétalas roxas.; Ponto 22 - Afloramento rochoso com liquens e musgos aderidos. Altura de dossel de até 2 m, algumas emergentes com até 4 m. Presênça de muita","UEC007902","UEC007902",NA,NA,NA,"-44.825889","-22.37875",NA,NA,NA,NA,NA,NA,NA
"12","2013-08-21 10:51:31-03","MNHN","RECOLNAT_MNHN_P","P00708778","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Schwacke, A.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Prov. Minas Geraes, Serra de Picu",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00708778' target='other'> <mi>dwc_moreinfo</mi></a>","P00708778","P00708778_01",NA,NA,NA,NA,NA,"isotype","5234",NA,NA,NA,NA,NA
"13","2020-07-29 11:49:00-03","MO","MOBOT","101210199","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","schenckii","Pleroma schenckii","(Cogn.) P.J.F. Guim. & Michelang.","J.H.R. Schenck","Schenck 1487","1886","11",NA,"South America","Brazil",NA,NA,"Serra do Picú, entre as províncias de Rio de Janeiro, São Paulo e Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype",NA,"fide Guimarães et al.","1",NA,NA,NA
"14","2010-04-15 17:18:00-03","MO","MOBOT","3275157","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Alexander C. Brade","Brade 21247","1952",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Itatiaia","-44.58333","-22.33333","1650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2010-11-21 05:38:00-02","MO","MOBOT","3275082","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Friedrich Markgraf|Apparicio P. Duarte","Markgraf 10376","1952",NA,NA,"South America","Brazil","São Paulo",NA,"Bocaina, margem do mato a oeste do acampamento.",NA,NA,"1600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-11-24 14:11:36-02","UFLA","ESAL","27149","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Batista, TA; Moraes, C; Boechat, C","260",NA,NA,NA,NA,"Brasil","Minas Gerais","Itamonte","Hotel casa alpina","-44.8699989318848","-22.283899307251",NA,NA,NA,"árvore; ; flores vistosas, sépalas com pêlos arroxeados e pé;",NA,NA,"26914","auto",NA,NA,NA,NA,NA,"F.S. Meyer",NA,NA,NA,NA
"17","2017-11-24 14:11:36-02","UFLA","ESAL","27150","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Batista, TA; Moraes, C; Boechat, C","206",NA,NA,NA,NA,"Brasil","Minas Gerais","Itamonte","Hotel casa alpina","-44.8699989318848","-22.283899307251",NA,NA,NA,"árvore; 3m; flores com pétalas roxas, sépalas verdes e estames;",NA,NA,"26914","auto",NA,NA,NA,NA,NA,"F.S. Meyer",NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2623352","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","A. P. Duarte","6398","1961","10","24","South America - Neotropics","Brazil","Minas Gerais","Santa Luzia","Serra do Cipó. km 117, entre Palacinho e Chapeo de Sol","-43.8513984680176","-19.7696990966797",NA,NA,NA,NA,"US01905964","US01905964_01 US01905964_02","19939","auto","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","3248280","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","M. V. Peron, A. Almeida & A. Almeida","811","1989","7","17","South America - Neotropics","Brazil","Rio de Janeiro","Nova Friburgo","Distrito de Macaé de Cima, Sítio Sophronitis","-42.5311012268066","-22.2819004058838","1100","1250",NA,NA,"US01905967","US01905967_01 US01905967_02","33190","auto","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2622879","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","P. Campos Porto","2816","1936","1","15","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Caminho Eng. Passos","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"US01905966","US01905966_01 US01905966_02","19648","auto","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2622886","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","F. Markgraf & A. P. Duarte","10376","1952","12","7","South America - Neotropics","Brazil",NA,NA,"Bocaina, margem do mato a oeste do acampamento",NA,NA,"1600",NA,NA,NA,"US01905965","US01905965_01 US01905965_02",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2939512","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","P. Occhioni","9194","1980","11","17","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Parque Nac. do Itatiaia Estr. p. o Planalto",NA,NA,NA,NA,NA,NA,"US01905963","US01905963_01 US01905963_02",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"23","2019-09-04 19:29:09-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii",NA,"Schimper & J. H. R. Schenck","5234",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA
"24","2018-05-14 17:20:31-03","F","FMNH-SEEDPLANTS","V0180126F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii",NA,"F. Markgraf","10376",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"V0180126F","V0180126F_01 V0180126F_02",NA,NA,"Dicotyledoneae",NA,NA,NA,"10376","RRC ID Flag",NA,NA,NA,NA
"25","2020-07-23 12:13:43-03","CEPLAC","CEPEC","130441","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii",NA,"H. C. de Lima","5976","2002","01","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Tinguá REBIO. Pico do Tinguá. Estrada da Trilha do Rala, Sapé.","-43.484167","-22.589444",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"43W29'3","22S35'22",NA,NA,"P. Guimarães",NA,NA,NA,NA
"26","2020-08-20 14:58:08-03","UFSC","FLOR","41061","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Lima, H.C. de; Silva Neto, J. & Silva, W. da","5976","2002","01","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Tinguá REBIO, Pico do Tinguá, Estrada da Trilha do Rala, Sapé.","-43.484167","-22.589444","1600","1600",NA,"arbusto, flor violeta, muito frequente, 2 a 3m altura. Recebida de RB Nº 419106.","FLOR0041061",NA,NA,NA,NA,"43º29'3''W","22º35'22''S",NA,NA,"Guimarães, P.",NA,"2002","11","22"
"27","2019-11-21 10:10:42-03","IBt","SP","55629","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","schenckii","Tibouchina schenckii","Cogn.","Brade, AC; Pabst, G","10281","1954","11","14",NA,"Brasil","Rio de Janeiro","Itatiaia","Registro","-44.5633010864258","-22.4960994720459","1760","1760",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,"Brade, AC",NA,NA,NA,NA
