"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","recordNumber","coordinatePrecision","geoFlag","phylum","order","individualCount","continentOcean","preparationType","class","relatedCatalogItem","sex","typeStatus","fieldNumber"
"1","2021-04-05 14:33:22-03","UNESC","CRI","8097","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Telma Elyta V. Azeredo","2009","01","26","Telma Elyta V. Azeredo","2009","01","26","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Floresta Ombrófila Densa de Terras Baixas","CRI001933","CRI001933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:05-03","UNESC","CRI","8085","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Telma Elyta V. Azeredo","2007","10","10","Telma Elyta V. Azeredo","2007","10","10","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,NA,"CRI001940","CRI001940","Fazenda Vale do Paraíso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:05-03","UNESC","CRI","7552","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Telma Elyta V. Azeredo","2006","11","07","Telma Elyta V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"Habitat: mata de subida de morro","CRI001938","CRI001938","Fazenda Vale do Paraíso.","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","8095","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Telma Elyta V. Azeredo","2009","01","13","Telma Elyta V. Azeredo","2009","01","13","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Floresta Ombrófila Densa Submontana","CRI001936","CRI001936","Barragem do Rio São Bento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:22-03","UNESC","CRI","1640","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; C. M. Martinello",NA,NA,NA,"Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,NA,"Habito: epífita","CRI001935","CRI001935","Rio Novo.","1527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:05-03","UNESC","CRI","8083","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Telma Elyta V. Azeredo","2006","10","10","Telma Elyta V. Azeredo","2006","10","10","Brasil","Santa Catarina","Pedras Grandes","-49.185278","-28.436389","49º11'7''W","28º26'11''S",NA,NA,NA,"CRI001937","CRI001937","Rancho dos bugres.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:05-03","UNESC","CRI","7551","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Telma Elyta V. Azeredo","2006","10","27","Telma Elyta V. Azeredo","2006","10","26","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"Habitat: mata próxima ao rio","CRI001939","CRI001939","Fazenda Vale do Paraíso.","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:05-03","UNESC","CRI","7553","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Telma Elyta V. Azeredo","2008","01","28","T. E. V. Azeredo","2008","01","28","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S","74","74",NA,"CRI001934","CRI001934","Fazenda Vale do Paraíso - Rio Cedro Alto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:05-03","UNESC","CRI","12222","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Guilherme Alves Elias & Peterson Teodoro Padilha","2016","12","15","Guilherme Alves Elias; Peterson Teodoro Padilha; Robson dos Santos & Lucas Oliveira","2016","12","15","Brasil","Santa Catarina","Treviso","-49.525","-28.511111","49º31'30''W","28º30'40''S",NA,NA,"Habito: Epífita","CRI010403",NA,"Dois Dedos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:05-03","UNESC","CRI","12548","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Renato Colares & Aline V. Guislon","2017","07","25","Alexandre Medeiros","2017","05","23","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 377. Habito: Epífita","CRI010755",NA,"Laranjeiras.",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","3","S","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","Elton. C. M. Leme","2009","05",NA,"Elton M. C. Leme;","1980",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"254",NA,NA,"Parque Nacional da Tijuca",NA,"57442","auto","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","400450","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","L. B. Smith; R. W. Read",NA,NA,NA,"T. S. dos Santos","1968","12","12","Brazil","Bahia","Una","-39.2481074","-15.2189248",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400450","NY00400450_01","Fazenda sao Rafael","308",NA,NA,"Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","400452","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","03","05","Brazil","Santa Catarina","Brusque","-48.9","-27.1",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400452","NY00400452_01","Azambuja","6046",NA,NA,"Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","645848","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","R. C. Tardivo",NA,NA,NA,"A. C. Cervi",NA,NA,NA,"Brazil","Santa Catarina","Itapema","-48.6114","-27.0906",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645848","NY00645848_01","Bairro Sertao","6976",NA,NA,"Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","400454","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","flammea","Vriesea flammea","L.B.Sm.","S. M. Silva",NA,NA,NA,"R. M. Britez","1987","10","17","Brazil","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400454","NY00400454_01","Praia do Farol, Ilha do Mel","1803",NA,NA,"Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
