"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","occurrenceRemarks","barcode","imagecode","continentOcean"
"1","2015-07-02 14:02:15-03","JBP","HPL","3027","S","Plantae","Gesneriaceae","Sinningia","cochlearis","Sinningia cochlearis","(Hook) A. Chautems","H. Lorenzi","2000","07","21","H. Lorenzi","2340","2000","07","21","Brasil","RJ","Nova Friburgo","Coletada na Pedra do Sino em terreno pedregoso.","-42.5311","-22.2819","33190","auto",NA,NA,NA,NA
"2","2021-02-11 17:19:09-03","UFPR","UPCB","89441","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","cochlearis","Sinningia cochlearis","(Hook) Chautems","Hinoshita, L.K.R.","2017","03","24","Bolson, M. | Bacci, L.F. | Bochorny,T.","588","2016","01","24","Brasil","Rio de Janeiro","Nova Friburgo","Pico Caledônea","-42.5311012268066","-22.2819004058838","33190","auto","Em uma rocha bem em frente ao cume .","UPCB0030006","UPCB0030006",NA
"3","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Gesneriaceae","Gesneria","cochlearis","Gesneria cochlearis","Hook.",NA,NA,NA,NA,"Gardner, G","s.n.",NA,NA,NA,"Brazil",NA,NA,"Crescit in montibus Serra dos Orgaos",NA,NA,NA,NA,"Pl. Dryas",NA,NA,"Southern America"
