"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","stateProvince","identifiedBy","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","132064","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Buena","hexandra","Buena hexandra","Pohl","possible type","Collector unspecified","s.n.","South America","Brazil","{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132064","NY00132064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","131147","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Cosmibuena","ochracea","Cosmibuena ochracea","Endl.","isotype","Martii Herbar. Florae Brasil.","708","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=24739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131147","NY00131147_01","1839","09","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","397833","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"I. A. Silva","329","South America","Brazil","Reserva Florestal de Linhares. Estrada Flamengo, km: 5,303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397833","NY00397833_01","1982","05","Espírito Santo","P. G. Delprete","15","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","501853","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"R. S. Pinheiro","1723","South America","Brazil","Ramal de Sao José do Panorama","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501853","NY00501853_01","1972","01","Bahia","P. G. Delprete","18","Porto Seguro","-39.0644","-16.4497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","397832","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"D. A. Folli","309","South America","Brazil","Reserva Florestal de Linhares. Estrada Caingá, km: 0,87. B-3-12-II, S-01","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397832","NY00397832_01","1981","02","Espírito Santo","P. G. Delprete","05","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","397836","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"D. A. Folli","485","South America","Brazil","Reserva Florestal de Linhares. Estrada Bicuiba, ant. 161, km: 0,870, lado direito","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397836","NY00397836_01","1983","12","Espírito Santo","P. G. Delprete","22","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","397835","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"D. A. Folli","435","South America","Brazil","Reserva Florestal de Linhares. Estrada Flamengo, km: 5,303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397835","NY00397835_01","1983","03","Espírito Santo","P. G. Delprete","10","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017563","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"L. Riedel","s.n.","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216296' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017563","NY01017563_01",NA,NA,NA,"L. Andersson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02103997","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"A. M. Amorim","5577","South America","Brazil","Divisa entre Bahia e Minas Gerais. Fazenda Duas Barras. Reserva do Alto Cariri. Trilha da caixa d'agua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1436308' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103997","NY02103997_01","2006","02","Minas Gerais","C. M. Taylor","08","Santa Maria do Salto","-40.0544","-16.4064","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","397834","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"D. A. Folli","434","South America","Brazil","Reserva Florestal de Linhares. Estrada Flamengo, km: 5,142","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397834","NY00397834_01","1983","03","Espírito Santo","P. G. Delprete","10","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","880198","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"S. J. da Silva Neto","1890","South America","Brazil","Parque Nacional de Itatiaia. Aléa do leventamento fitossociologico, proximo a P4D.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880198","NY00880198_01","2003","11","Rio de Janeiro",NA,"25","Itatiaia","-44.65833","-22.35833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:20:50-03","UFRJ","RFA","26626","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Ladenbergia","hexandra","Ladenbergia hexandra","(Pohl) Klotzsch",NA,"F. de B. Pereira","42/61",NA,"Brasil","3º distrito, Sítio Suíça",NA,"Árvore, 21m de altura, 18cm de DAP, folha verde, fruto, flor branca, rara no local","RFA29100",NA,"2001","01","Rio de Janeiro","M. Gomes","07","Sapucaia","-42.833333","-22.080278","758","758","2001","08","01","42º50'0''W","22º4'49''S",NA,NA,NA,NA,NA,NA
