"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","class","order","typeStatus"
"1","2020-12-21 16:38:42-03","MBM","MBM","215474","PreservedSpecimen","Plantae","Orchidaceae","Pachygenium","sceptrum","Pachygenium sceptrum","(Schltr.) Szlach., R. González & Rutk.","Schinini, A.","2005","10","12","Mattos, A.","4221","1950","09","06","Southern America","Brazil","Paraná","Guaratuba","Praia de Guaratuba","-48.5746994018555","-25.8827991485596","41937","Mata. Em terreno úmido, caminho do tabuleiro","MBM215474","MBM215474","auto",NA,NA,NA,NA
"2","2021-02-04 10:29:38-03","UFRPE","HST","19653","PreservedSpecimen","Plantae","Orchidaceae","Pelexia","sceptrum","Pelexia sceptrum","Schltr.","D.Cardoso","2010","08",NA,"D.Cardoso; G.Costa & T.M.Santana","3003","2010","08","03",NA,"Brasil","Bahia","Quijingue","Serra das Candeias, na divisa entre os municípios de Quijinque e Tucano, a ca. 5 Km do povoado de Quixaba do Mandacaru","-39.2092018127441","-10.7524995803833","59649","Erva terrestre; folhas semi-suculentas; flores com tépalas esbranquiçadas, labelo esverdeado na face externa e calo amarelado.","HST019653",NA,"auto",NA,NA,NA,NA
"3","2019-10-07 09:20:06-03","UEFS","HUEFS","169727","PreservedSpecimen","Plantae","Orchidaceae","Pelexia","sceptrum","Pelexia sceptrum","Schltr.",NA,NA,NA,NA,"Cardoso, D.","3003","2010","08","03",NA,"Brasil","Bahia","Quijingue","Serra das Candeias, na divisa entre os municípios de Quijingue e Tucano, a ca. 5 km do povoado de Quixaba do Mandacaru.","-39.2092018127441","-10.7524995803833","59649","Caatinga.","HUEFS0169727","HUEFS0169727","auto","Angiospermae","Lilianae","Asparagales",NA
"4","2019-11-21 10:13:40-03","IBt","SP","46517","S","Plantae","Orchidaceae","Pelexia","sceptrum","Pelexia sceptrum","Schltr.","Smidt, EC","2003","02",NA,"Eugenio, J","202","1941","10",NA,NA,"Brasil","Rio Grande do Sul","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172","10287",NA,NA,NA,"auto",NA,NA,NA,NA
"5","2019-11-21 10:13:40-03","IBt","SP","3112","S","Plantae","Orchidaceae","Pelexia","sceptrum","Pelexia sceptrum","Schltr.","Barros, F","2002","03","06","Brade, AC","7766","1917","09","08",NA,"Brasil","São Paulo","Iguape","Cajavá","-47.5499992370605","-24.7000007629395","55628",NA,"SP002889","SP002889","auto",NA,NA,NA,"Lectotype"
"6","2019-11-21 10:13:40-03","IBt","SP","50358","S","Plantae","Orchidaceae","Pelexia","sceptrum","Pelexia sceptrum","Schltr.","Singer, RB","2000","12","14","Kuhlmann, M","3709","1955","10","27",NA,"Brasil","São Paulo","Mogi Guaçu","Fazenda Campininha","-46.9421997070312","-22.372200012207","39309",NA,NA,NA,"auto",NA,NA,NA,NA
