"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relationshipType","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:12-03","UNESC","CRI","598","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.","Rogério Bueno","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","948","1990","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI008098","CRI008098_1 CRI008098_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4007220","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.",NA,"I. G. Vargas Caballero","1475","1992","06","07","Bolivia","Santa Cruz","Manuel María Caballero","Parque Nacional Amboró. Cerro Bravo, juntas del Río Alizar y Amparo. 20 km al NW de San Juán del Potrero","-64.4","-17.83",NA,NA,"2000",NA,"NY04007220",NA,"Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314278' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4007270","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.",NA,"P. J. Barbour","3922","1978","10","10","Peru","Amazonas","Bagua","Third Camp; Cordillera Colán SE of La Peca",NA,NA,NA,NA,"6250","7150","NY04007270",NA,"Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314329' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4007225","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.",NA,"M. H. Nee","40659","1991","06","02","Bolivia","Santa Cruz","Florida","7 km (by air) NE of Mairana. Could forest along southern limit of expanded Parque Nacional Amboró, entering from Mairana","-63.92","-18.07",NA,NA,"2200",NA,"NY04007225",NA,"Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314283' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","678662","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.","C. V. Morton","G. Eiten","2177","1960","07","18","Brazil","São Paulo","Sao Paulo","About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.","-46.63","-23.5403",NA,NA,"1200","1200","NY00678662",NA,"Pteridophyta","Cyatheales","South America","wood sample","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810449' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","678656","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.",NA,"T. Schnapp","51.13","1904","03",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Rio","-43.2075","-22.9031",NA,NA,NA,NA,"NY00678656","NY00678656_01","Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810393' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4007246","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.",NA,"M. H. Nee","36507","1988","03","05","Bolivia","Cochabamba","Carrasco","Churro","-64.7","-17.83",NA,NA,"2600",NA,"NY04007246",NA,"Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314305' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00088671","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.","A. L. Arbeláez","A. Ortiz","517","1995","06","02","Ecuador","Carchi",NA,"Awá Indigenous Territory. Community of Baboso","-78.42","0.92",NA,NA,"990","990","NY00088671",NA,"Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330105' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","678650","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.","A. Sehnem","J. P. Lanna Sobrinho","1141","1964","07","11","Brazil","Rio de Janeiro","Nova Friburgo","Curuzu.","-42.5308","-22.2819",NA,NA,"1200","1200","NY00678650","NY00678650_01","Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810378' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","678643","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.","A. C. Brade","F. C. Hoehne","17213","1926","06","25","Brazil","São Paulo",NA,"M. Boy. Cult. na Capital.",NA,NA,NA,NA,NA,NA,"NY00678643","NY00678643_01","Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810370' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4007265","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.",NA,"L. Valenzuela Gamarra","6910","2006","06","16","Peru","Cusco","La Convención","Dist. Quellouno, Lacco.","-72.2436","-12.6122",NA,NA,"2741",NA,"NY04007265",NA,"Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314324' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","891475","PreservedSpecimen","Plantae","Dicksoniaceae","Dicksonia","sellowiana","Dicksonia sellowiana","Hook.",NA,"A. F. Regnell","82",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"NY00891475","NY00891475_01","Pteridophyta","Cyatheales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978353' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
