"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","individualCount","continentOcean","preparationType","coordinatePrecision","geoFlag","fieldNumber","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:33:50-03","UNESC","CRI","1628","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; R. R. B. Negrelli & C. M. Martinello","1673","1993","02","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI005854","CRI005854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","4899","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","Jorge Waechter","1996","08","06","Vanilde Citadini-Zanette",NA,"1996","01","17","Brasil","Santa Catarina","Morro Grande",NA,"-49.721667","-28.800833","49º43'18''W","28º48'3''S",NA,NA,NA,"CRI005851","CRI005851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2180","S","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","2",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414705","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","G. F. J. Pabst",NA,NA,NA,"G. G. Hatschbach","23333","1970","01","15","Brazil","Paraná","Paranaguá","Pico Torto. Paraná","-48.5092","-25.5203",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414705","NY00414705_01","Magnoliophyta",NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414704","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","N. H. Williams",NA,NA,NA,"P. K. H. Dusén","s.n.","1910","02","06","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414704","NY00414704_01","Magnoliophyta",NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03998112","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.",NA,NA,NA,NA,"R. C. Quevedo S.","958",NA,NA,NA,"Bolivia","El Beni","Itenez","Serranía San Simon ormaciones de pampa arbolada y algunas islas grandes de bosque alto","-62.05","-14.42",NA,NA,"200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4310579' target='other'> <mi>dwc_moreinfo</mi></a>","NY03998112",NA,"Magnoliophyta",NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA
"7","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6648","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.",NA,NA,NA,NA,"Amaral Jr., A.","1321","1972","12","26","Brasil","São Paulo","Botucatu","Fazenda Mac, a mais ou menos 15km de Botucatu, mata de banhado",NA,NA,"9999","9999",NA,NA,NA,"BOTU006648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6901","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","Adachi, S.A.","2011","05","09","Amaral Jr., A.","1353","1973","01","03","Brasil","São Paulo","Botucatu","Fazenda Mac, a mais ou menos 15km de Botucatu, mata de banhado",NA,NA,"9999","9999",NA,NA,NA,"BOTU006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:27-03","UFRJ","RFA","9860","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","G.F.J. Pabst","1970",NA,NA,"G.G. Hatschbach","23333","1970","01","15","Brasil","Paraná","Paranaguá","Pico Torto","-48.5092010498047","-25.5200004577637",NA,NA,"300","300","Epífita. Flor verde claro, maculas marrons, labelo com maculas lilás","RFA31540",NA,NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA
"10","2021-03-30 12:52:39-03","EAO","IAN","29053","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.",NA,NA,NA,NA,"Occhioni, P","6118",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Flor amarelo-sujo, pétala rajada.","IAN029053","IAN029053","Monocotiledônea",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1487770","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.",NA,NA,NA,NA,"Hatschbach GG",NA,"1970","01","15","Brazil",NA,NA,"Pico Tor to (Mun. Paranaguá) Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1487770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1487770","NL-L1487770",NA,"Magnoliopsidae","Asparagales",NA,"Southern America",NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:40:42-03","MN","R","18443","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","Brade, A.C.","1928",NA,NA,"Dusén, P.K.H.","3785","1904","02","16","Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31827","auto",NA,NA,NA
"13","2019-08-27 13:26:31-03","IAP","PACA-AGP","50825","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindley","F. C. Hoehne",NA,NA,NA,"Hatschbach, G.","1848","1950","01","06","Brasil","PR","São José dos Pinhais","Guaruva","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"Epífita da mata. Flor: sépalos e pétalos verdes com maculas castanho-amareladas. Labelo branco com centro lilás. Habitat: In silva, epiphytica Fenofase: flor","PACA050825",NA,"Magnoliophyta","Liliatae","Orchidales",NA,NA,NA,"45291","auto",NA,NA,NA
"14","2020-12-20 21:18:43-03","UFV","VIC","13135","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.",NA,NA,NA,NA,"Fenus, V.","s.n.","1970","05","14","Brasil",NA,"São Mateus","Rio do Peixe","-39.8588981628418","-18.716100692749",NA,NA,NA,NA,"Epífita.","VIC013135","VIC013135",NA,NA,NA,NA,NA,NA,"56510","auto",NA,NA,NA
"15","2016-07-05 11:14:14-03","FFCLRP","LBMBP","1188","S","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-07-05 11:14:14-03","FFCLRP","LBMBP","386","S","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","E.R. Pansarin",NA,NA,NA,"L.M. Pansarin",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:40:39-03","UFJF","CESJ","71976","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","L. Menini Neto","2018","06","03","D.E.F. Barbosa; G.A. Basílio","548","2018","06","03","Brasil","Minas Gerais","Itamarati de Minas","RPPN Usina Maurício, Floresta semidecidual","-42.832778","-21.470278","-42.832778","-21.470278","250","250","Epífita a 3,5m. Fruto imaturo verde. Borda de floresta a margem de leito seco.","CESJ071976",NA,"Angiosperma",NA,NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:40:39-03","UFJF","CESJ","71993","PreservedSpecimen","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","L. Menini Neto","2018","10","21","D.E.F. Barbosa; G.A. Basílio","568","2018","10","21","Brasil","Minas Gerais","Itamarati de Minas","RPPN Usina Maurício, Floresta semidecidual","-42.832778","-21.470278","-42.832778","-21.470278","250","250","Epífita entre 3m e 6m. Sépalas e pétalas verde claras com máculas castanhas. Labelo branco com mancha lilás. Borda de floresta a margem de leito seco.","CESJ071993",NA,"Angiosperma",NA,NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA
"19","2019-08-20 10:00:33-03","UNICAMP","UEC","140053","S","Plantae","Orchidaceae","Aspasia","lunata","Aspasia lunata","Lindl.","Singer, RB",NA,NA,NA,"s/ coletor","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro","Niterói","Cultivada proc. orq. Florália (RJ)","-43.1035995483398","-22.88330078125",NA,NA,NA,NA,NA,"UEC096017","UEC096017","Liliopsida",NA,NA,NA,NA,NA,"14785","auto",NA,NA,NA
