"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","recordNumber","continentOcean","preparationType","imagecode","class","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-04-05 14:33:19-03","UNESC","CRI","13722","PreservedSpecimen","Plantae","Balanophoraceae","Lophophytum","pyramidale","Lophophytum pyramidale","(Leandro) L.J.T. Cardoso & J.M.A. Braga","João Alvarenga","2018","05","07","Alexandre Medeiros","2018","05","07","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.599444","-27.000556","48º35'58''W","27º0'2''S","Flores masculinas amarelas. Flores femininas laranja. Presença de tubérculo e raiz.","CRI012329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","393725","PreservedSpecimen","Plantae","Balanophoraceae","Lophophytum","leandri","Lophophytum leandri","Eichler","A. C. Cervi",NA,NA,NA,"A. C. Cervi","1997","08","27","Brazil","Paraná","Guaraqueçaba","Reserva Ecológica Fundaçao O Boticário","-48.32","-25.27",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393725","Magnoliophyta","Santalales","6296","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1014819","PreservedSpecimen","Plantae","Balanophoraceae","Lophophytum","leandri","Lophophytum leandri","Eichler","A. C. Cervi",NA,NA,NA,"A. C. Cervi","1997","08","27","Brazil","Paraná","Guaraqueçaba","Procedência: Reserva Ecológica Fundação o Boticário.","-48.32","-25.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139224' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014819","Magnoliophyta","Santalales","6296","South America","separate fruit","NY01014819_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:27:04-03","NBC","NL-BOTANY","L.1164009","PreservedSpecimen","Plantae","Balanophoraceae","Lophophytum","leandrii","Lophophytum leandrii","Eichler",NA,NA,NA,NA,"Unknown","1963","04","02","Argentina",NA,NA,"Misiones.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1164009 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1164009",NA,"Santalales",NA,"Southern America",NA,"NL-L1164009","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:24:28-03","MN","R","179116","PreservedSpecimen","Plantae","Balanophoraceae","Lophophytum","leandrii","Lophophytum leandrii","Eichler","Cardoso, L.","2004","05","14","Stawiarski, V.","1952","01",NA,"Brasil","Paraná","Palmas",NA,"-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46666","auto",NA,NA,NA,NA,NA
"6","2019-12-19 08:15:10-03","FPS","FPS","1355","MachineObservation","Plantae","Balanophoraceae","Lophophytum","leandri","Lophophytum leandri","Eichler","Schwirkowski, P.","2013","08","11","Schwirkowski, P.","2013","08","11","Brasil","Santa Catarina","São Bento do Sul","Rio Natal - Trilha do Parque das Aves","-49.276775","-26.362928","-49.276775","-26.362928","<ll>dwc_commonname:</ll> Espiga-seca, fel-da-terra, flor-de-ingazeiro","FPS01355",NA,NA,NA,NA,NA,"FPS01355_v01 FPS01355_v02 FPS01355_v03 FPS01355_v04 FPS01355_v05",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-19 08:15:10-03","FPS","FPS","1363","MachineObservation","Plantae","Balanophoraceae","Lophophytum","leandri","Lophophytum leandri","Eichler","Schwirkowski, P.","2013","08","18","Schwirkowski, P.","2013","08","19","Brasil","Santa Catarina","São Bento do Sul","Rio Natal - Trilha do Parque das Aves","-49.276776","-26.362929","-49.276776","-26.362929","<ll>dwc_commonname:</ll> Espiga-seca, fel-da-terra, flor-de-ingazeiro","FPS01363",NA,NA,NA,NA,NA,"FPS01363_v01 FPS01363_v02 FPS01363_v03 FPS01363_v04 FPS01363_v05 FPS01363_v06 FPS01363_v07 FPS01363_v08 FPS01363_v09 FPS01363_v10 FPS01363_v11",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-19 08:15:10-03","FPS","FPS","2910","MachineObservation","Plantae","Balanophoraceae","Lophophytum","leandri","Lophophytum leandri","Eichler","Schwirkowski, P.","2017","08","26","Schwirkowski, P.","2017","08","28","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Parque das Aves","-49.276775","-26.362928","-49.276775","-26.362928","<ll>dwc_commonname:</ll> Espiga-seca, fel-da-terra, flor-de-ingazeiro","FPS02910,FURB55773",NA,NA,"2337",NA,NA,"FPS02910_v01 FPS02910_v02 FPS02910_v03 FPS02910_v04 FPS02910_v05 FPS02910_v06 FPS02910_v07 FPS02910_v08 FPS02910_v09 FPS02910_v10 FPS02910_v11 FURB55773",NA,NA,NA,"voucher","FURB 55773",NA,NA,NA
"9","2019-08-20 10:07:34-03","UNICAMP","UEC","140406","S","Plantae","Balanophoraceae","Lophophytum","leandri","Lophophytum leandri","Eichler","Breier, TB","2003","02",NA,"Breier, TB","2002","08","25","Brazil","São Paulo","Sete Barras","Pq.Estadual Carlos Botelho","-47.9199981689453","-24.3799991607666",NA,NA,"parasita terrestre.",NA,"Magnoliopsida",NA,"578",NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA
"10","2020-10-14 09:59:38-03","FURB","FURB","55773","PreservedSpecimen","Plantae","Balanophoraceae","Lophophytum","leandri","Lophophytum leandri","Eichler","Schwirkowski, P.","2017","08","26","Schwirkowski, P.","2017","08","26","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Parque das Aves. Descendo o rio sentido corupá.","-49.2766667","-26.3630556","-49.2766667","-26.3630556","Parasita em raíz de Fabaceae","FURB55773",NA,NA,"2337",NA,NA,"FURB55773",NA,NA,NA,NA,NA,"150","150",NA
