"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","fieldNumber","minimumElevationInMeters","preparationType","identifiedBy","recordNumber","individualCount","stateProvince","county","maximumElevationInMeters","previousCatalogNumber"
"1","2020-02-08 08:50:43-03","NBC","NL-BOTANY","U.1136056","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","Steyermark JA; Luteyn JL","1984","02","07","Southern America","Venezuela","Neard head of conyon by dry rocky periphery. Slender stemmed wiry shrub. Terr. Federal Amazonas: Departamento RIo Negro: Cerro de la Neblina: altiplanicie en la cumbre del brazo noroccidental, al norte del campamento base a lo largo del río Mawarinuma, afluente del río Baria.","-66.083333","0.875","-66.083333","0.875","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136056","NL-U1136056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:50:43-03","NBC","NL-BOTANY","U.1136057","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","Maguire B; Wurdack JJ; Maguire CK","1957","12","01","Southern America","Venezuela","Cerro de la Neblina, Rio Yatua. Territorio de Amazonas. Locally frequent in cumbre 5-18km southwest of Cumbre camp.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136057 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136057","NL-U1136057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:50:43-03","NBC","NL-BOTANY","U.1136058","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","Maguire B; Wurdack JJ; Bunting GS","1954","01","06","Southern America","Venezuela","Cerro de la Neblina, Rio Yatua. Territorio de Amazonas, cumbre along northwest escarpment.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136058","NL-U1136058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-28 07:54:21-03","MNHN","RECOLNAT_MNHN_P","P00703398","PreservedSpecimen",NA,NA,NA,"Asteraceae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","Maguire, B.|Wurdack, J.J.|Bunting, G.S.","1954","1","6",NA,"Venezuela","Territorio de Amazonas : Cerro de la Neblina, Rio Yatua, cumbre along northwest escarpment",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00703398' target='other'> <mi>dwc_moreinfo</mi></a>","P00703398","P00703398_01 P00703398_02","paratype","The New York Botanical garden venezuelan expedition 1953-1954/37082","1800","hb",NA,NA,NA,NA,NA,NA,NA
"5","2015-01-26 09:45:00-02","MO","MOBOT","100772827","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","Nilo T. Silva|Umbelino Brazão","1966",NA,NA,"South America","Brazil","Rio Negro, slope of Serra Pirapucu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1300.00000000",NA,"John Pruski, 1998 (US)","Silva 60895","1",NA,NA,NA,NA
"6","2017-08-17 11:29:00-03","MO","MOBOT","798630","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","Ronald L. Liesner","1984","2","16","South America","Venezuela","Camp III. Neblina and Massif. NW Plateau (Arm) 13.5 km ENE of Cerro de La Neblina Base Camp.","-66.0666667","0.9",NA,NA,NA,NA,NA,NA,"84-17","1750.00000000",NA,"FVG (J.Pruski)","Liesner 16061","5","Amazonas","Río Negro","1850.00000000",NA
"7","2020-09-12 05:00:02-03","US","US","2168993","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","B. Maguire, J. J. Wurdack & G. S. Bunting","1953","12","30","South America - Neotropics","Venezuela","Cerro de la Neblina, Río Yatua, NW cumbre","-65.95","1.01",NA,NA,NA,"US00778022","US00778022_01",NA,NA,"1850",NA,NA,"37016","1","Amazonas","Río Negro",NA,NA
"8","2020-09-12 05:00:02-03","US","US","3070012","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","J. A. Steyermark & J. L. Luteyn","1984","2","7","South America - Neotropics","Venezuela","Cerro de La Neblina, plateau in summit of NW branch, N base of camp along Río Mawarinuma, tributary of Río Baria","-66.08","0.86",NA,NA,NA,"US00778023",NA,NA,NA,"1880",NA,"Pruski, J. F.","129802","1","Amazonas","Río Negro",NA,NA
"9","2020-09-12 05:00:02-03","US","US","2168997","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","B. Maguire, J. J. Wurdack & G. S. Bunting","1954","1","6","South America - Neotropics","Venezuela","Cerro de la Neblina, Río Yatua, NW escarpment","-65.98","1",NA,NA,NA,"US00778019",NA,NA,NA,"1700",NA,"Pruski, J. F.","37082","1","Amazonas","Río Negro","2000",NA
"10","2020-09-12 05:00:02-03","US","US","3134110","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Neblinaea","promontoriorum","Neblinaea promontoriorum","Maguire & Wurdack","B. A. Stein, R. Thompson & A. H. Gentry","1984","4","18","South America - Neotropics","Venezuela","Cerro de la Neblina, 6.5 km SSW of base camp, southern extension of range","-66.18","0.78",NA,NA,NA,"US00778024",NA,NA,NA,"1600",NA,"Pruski, J. F.","1621","1","Amazonas","Río Negro",NA,NA
