"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","infraspecificEpithet","fieldNumber","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857300","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","R. M. Harley","H. S. Irwin","32122","1971","03","18","South America","Brazil","Goiás","São João d'Aliança","Serra Geral do Paraná, ca. 20 km N.of São João de Aliança","-47.5333","-14.51924","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857300","NY00857300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857296","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","R. M. Harley","W. R. Anderson","6767","1973","03","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km by road N of Alto Paraíso","-47.5167","-13.9376","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857296","NY00857296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857299","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","R. M. Harley","Gates","47","1979","01","25","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, 5 km E of alto Paraíso.","-47","-14","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857299","NY00857299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00857298","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","R. M. Harley","E. P. Heringer","2352","1979","10","10","South America","Brazil","Goiás",NA,"Estrada Alto Paraíso - Teresina.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857298","NY00857298_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00000654","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","insignis","Hyptis insignis","Glaz.",NA,"A. F. M. Glaziou","21925",NA,NA,NA,"South America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000654","NY00000654_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:32:24-03","NBC","NL-BOTANY","U.1353038","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"Irwin HS; Harley RM; Smith GL",NA,"1971","03","18","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Goiás. Chapada dos Veadeiros. Near boulders, on drier ground than H. cruciformis. Wet campo and adjacent gallery forest, ca 20km N. of Alto do Paraiso.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1353038 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1353038","NL-U1353038",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:32:24-03","NBC","NL-BOTANY","U.1353036","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","cruciformis","Hyptis cruciformis pachyphylla","Epling",NA,"Irwin HS; Harley RM; Smith GL",NA,"1971","03","22","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Chapada dos Veadeiros. In shade of tree among rocks separating small marsh from banks of riacho. Cerrado and outcrops and adjacent wet campo, ca. 20km N. of Alto do Paraiso, ca. 1250m.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1353036 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1353036","NL-U1353036",NA,"Magnoliopsidae","pachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:32:24-03","NBC","NL-BOTANY","U.1353037","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","cruciformis","Hyptis cruciformis pachyphylla","Epling",NA,"Irwin HS; Harley RM; Smith GL",NA,"1971","03","18","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Goiás. Chapada dos Veadeiros. Near boulders, on drier ground than H. cruciformis. Wet campo and adjacent gallery forest, ca 20km N. of Alto do Paraiso.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1353037 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1353037","NL-U1353037",NA,"Magnoliopsidae","pachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:30:15-03","MBM","MBM","34371","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Harley, R.M.","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36354","1975","02","20","Southern America","Brazil","Goiás","Alto Paraíso","Rod. GO-12, Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,"MBM034371","MBM034371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:30:15-03","MBM","MBM","34382","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Harley, R.M.","Hatschbach, G.","36846","1975","05","25","Southern America","Brazil","Goiás","Alto Paraíso","Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,"MBM034382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
