"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","decimalLongitude","decimalLatitude","day","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","645812","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) Moran","N. P. Taylor; D. C. Zappi","Collector unspecified","s.n.","1840","01","South America","Brazil","Brasilia","sheet","Hort. Basil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645812","NY00645812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645810","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) Moran","N. P. Taylor; D. C. Zappi","J. N. Rose","43166","1915",NA,"South America","Brazil","Organ Mountains","sheet","Cultivated from original collection Rose, 20818. Painted Jan 20, 1916 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645810","NY00645810_01 NY00645810_02","Rio de Janeiro","-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645807","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) Moran","N. P. Taylor; D. C. Zappi","J. H. Schuette","s.n.","1890","01","South America","Brazil","Brasilia","sheet","[If this was collected by Schuette, it was cultivated in the U.S.A.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645807","NY00645807_01",NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645808","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) Moran","N. P. Taylor; D. C. Zappi","Collector unspecified","29795","1911","12","South America","Brazil","Plant from southern Brazil","sheet","Cultivated. Original collection from Mr. Schmidt, 1908 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645808","NY00645808_01",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645809","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) Moran","N. P. Taylor; D. C. Zappi","J. N. Rose","20819","1915","08","South America","Brazil","Organ Mountains, Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645809","NY00645809_01","Rio de Janeiro","-43.073169","-22.496706","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645811","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) Moran","N. P. Taylor; D. C. Zappi","J. N. Rose","43163","1916",NA,"South America","Brazil",NA,"sheet","Cultivated from original collection Rose, 20655. Painted Oct 26, 1916 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645811","NY00645811_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:24:59-03","PUCPR","HUCP","24650","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) R.C.Moran",NA,"Silva, A","s.n.","2013","04",NA,"Brasil","Bairro Xaxim",NA,NA,"HUCP00024650","HUCP00024650","Parana","-49.2731018066406","-25.4277992248535","20","Curitiba","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:24:59-03","PUCPR","HUCP","12279","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) R.C.Moran","Jaszczerski, JC","Siqueira, PS","017","2000","05",NA,"Brasil","Água Verde",NA,NA,NA,NA,"Paraná","-49.2731018066406","-25.4277992248535","18","Curitiba","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:24:59-03","PUCPR","HUCP","12862","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) R.C.Moran","Jaszczerski, JC","Jaszczerski, JC","081","1986","04",NA,"Brasil","Campo Comprido",NA,NA,NA,NA,"Paraná","-49.2731018066406","-25.4277992248535","27","Curitiba","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:24:59-03","PUCPR","HUCP","11594","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Schlumbergera","truncata","Schlumbergera truncata","(Haw.) R.C.Moran","Jaszczerski, JC","Fernandes, TM","004","1998","04",NA,"Brasil","Rebouças",NA,NA,NA,NA,"Paraná","-49.2731018066406","-25.4277992248535","27","Curitiba","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
