"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:35-03","UNESC","CRI","1499","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. B. Baitello","R. Negrelle","1992","10","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003475","CRI003475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:35-03","UNESC","CRI","1501","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","R. R. Negrelle","R. Negrelle; C. Londero","1993","03","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003476","CRI003476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","259364","PreservedSpecimen","Plantae","Lauraceae","Nectandra","mollis","Nectandra mollis",NA,NA,"Gardner, George",NA,NA,NA,"BR","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259364 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259364",NA,"syntype","5154","E. Tropical South America","herbarium specimen of unspecif","BGBASE:269816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355476","PreservedSpecimen","Plantae","Lauraceae","Nectandra","mollis","Nectandra mollis intermedia","Meisn.",NA,"G. Gardner","1836",NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355476","NY00355476_01","isosyntype","5154","South America","sheet",NA,"Magnoliophyta","Laurales","intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","355477","PreservedSpecimen","Plantae","Lauraceae","Nectandra","mollis","Nectandra mollis intermedia","Meisn.",NA,"G. Gardner",NA,NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"Shuttl. 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355477","NY00355477_01","isosyntype","5154","South America","sheet",NA,"Magnoliophyta","Laurales","intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","355476","PreservedSpecimen","Plantae","Lauraceae","Nectandra","mollis","Nectandra mollis intermedia","Meisn.",NA,"G. Gardner","1836",NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355476","NY00355476_01","isosyntype","5154","South America","sheet",NA,"Magnoliophyta","Laurales","intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","355477","PreservedSpecimen","Plantae","Lauraceae","Nectandra","mollis","Nectandra mollis intermedia","Meisn.",NA,"G. Gardner",NA,NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"Shuttl. 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355477","NY00355477_01","isosyntype","5154","South America","sheet",NA,"Magnoliophyta","Laurales","intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00918283","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","H. S. Irwin","1958","12","02","Brazil","Minas Gerais","Viçosa","State Agricultural School.","-42.868031","-20.7613428",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918283","NY00918283_01",NA,"2192","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02423581","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"M. L. Brotto","2011","05","14","Brazil","Paraná","Morretes","Estrada da Graciosa","-48.8733","-25.4111",NA,NA,"50",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669098' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423581","NY02423581_01",NA,"672","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01194902","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","N. T. da Silva","1965","12","15","Brazil","Amazonas",NA,"Rio Negro, Rio Cauaburí, Rio Maturacá, slopes of Pico da Neblina, slopes above Igarapé Anta.",NA,NA,NA,NA,"1400","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409569' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194902","NY01194902_01",NA,"60643","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
