"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","fieldNumber","individualCount","class","typeStatus"
"1","2021-04-05 14:25:29-03","UNESC","CRI","13664","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S.Suárez","Alexandre Medeiros","2018","01","19","Alexandre Medeiros","2018","01","19","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375","8793","Coleta 854 Flor branca com castanho Habitat: Terrestre Habito: Herbácea","CRI012271","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","569331","PreservedSpecimen","Plantae","Marantaceae","Calathea","communis","Calathea communis","Wand. & S.Vieira","V. L. Uliana",NA,NA,NA,"W. W. Thomas","1992","05","03","Brazil","Bahia","Aurelino Leal","11.2 km W of BR 101 & Aurelino Leal on rd to Lage do Banco","-39.38","-14.33",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569331",NA,"Magnoliophyta","Zingiberales","9085","South America","sheet","NY00569331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886280","PreservedSpecimen","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","(Vell.) Körn.","J. M. A. Braga",NA,NA,NA,"J. M. A. Braga","2004","03","23","Brazil","Rio de Janeiro","Rio de Janeiro","Horto entorno do Jardim Botânico do Rio de Janeiro, trecho que se estende até 500 m acima do Solar da Imperatriz. Margem de rio dos Macacos.","-43.2075","-22.9031",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886280",NA,"Magnoliophyta","Zingiberales","7416","South America","sheet","NY00886280_01 NY00886280_02","80","150",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:13-03","UFRJ","RFA","27125","PreservedSpecimen","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","(Vell.) Körn.","João Marcelo de A. Braga","2006","04","19","A. Quinet","2001","03","12","Brasil","Rio de Janeiro","Nova Friburgo","Lumiar, Flôr das Andorinhas","-42.5311012268066","-22.2819004058838","33190","Erva, folha discolor verde, inflorescência verde com flores de corola branca e estames amarelos, comum no local","RFA37095","auto",NA,NA,"48/79",NA,NA,NA,"600","600","42º21'63''W","22º21'80''S",NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:33:40-03","UFBA","ALCB","115759","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S.Suárez","Saka, M.N.","2014","10",NA,"Borges, RL","2012","04",NA,"Brasil","Bahia","Iguaí",NA,"-40.0891990661621","-14.7564001083374","32961",NA,"ALCB020178","auto","Monocotyledon",NA,"s/n","Southern America",NA,"ALCB020178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:13:05-03","ESALQ","ESA","83720","PreservedSpecimen","Plantae","Marantaceae","Calathea","communis","Calathea communis",NA,"Vieira, S.","2003",NA,NA,"Souza, V.C.; Lorenzi, H.; Bernacci, L.C.; Peixoto, M.","2003","02","13","Brasil","São Paulo","Moji das Cruzes","Arredores do Sítio de Mauro Peixoto. Floresta ombrófila densa montana","-46.08","-23.4",NA,"Erva; flores passadas castanhas.","ESA083720",NA,"Magnoliophyta",NA,"28998.0",NA,NA,"ESA083720_1 ESA083720_2 ESA083720_3","800","800","-46.08","-23.4",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:13:06-03","ESALQ","ESA","131563","PreservedSpecimen","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","(Vell.) Körn.","Souza, V.C.","2013",NA,NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","2013","02","21","Brasil","São Paulo","Jacareí","Fragmento 22 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-23.2841","-46.0906",NA,"Erva","ESA131563",NA,"Magnoliophyta",NA,"36766.0",NA,NA,NA,"675","675","-23.2841","-46.0906",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:13:06-03","ESALQ","ESA","131565","PreservedSpecimen","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","(Vell.) Körn.","Souza, V.C.","2013",NA,NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","2013","02","20","Brasil","São Paulo","Guarulhos","Fragmento 14 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-23.3767","-46.4105",NA,"Erva","ESA131565",NA,"Magnoliophyta",NA,"36768.0",NA,NA,NA,"818","818","-23.3767","-46.4105",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:13:06-03","ESALQ","ESA","62627","PreservedSpecimen","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","Körn.","Gissi, D.S.","2011","10","20","Kollmann, L.","1999","01","27","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"ESA062627","auto","Magnoliophyta",NA,"1692.0",NA,NA,"ESA062627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:13:06-03","ESALQ","ESA","80268","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Saka, M.N.",NA,NA,NA,"Souza, J.P.; Zidko, A.; Mendonça, C.G.; Baptista, V.R.; Ferreira, L.; Cielo Filho, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2000","04","18","Brasil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Estrada Intermadiária, Km 30. Floresta Ombrófila Densa de Encosta com perturbação. Interior da mata","-453.706","-234.132",NA,"Erva, inflorescências passadas","ESA080268",NA,"Magnoliophyta",NA,"3233.0",NA,NA,"ESA080268_1 ESA080268_2","600","600","-453,706","-234,132",NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:13:06-03","ESALQ","ESA","80138","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.","2013",NA,NA,"Farias, R.; Rolim, S.G.; Uliana, V.L.C.R.; Righi, C.A.; Scaramuzza, C.A.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","2002","04","21","Brasil","São Paulo","Sete Barras","Parque Estadual de Carlos Botelho, Núcleo Sete Barras Estrada Estadual São Miguel Arcanjo - Sete Barras (SP139), Km 69. Floresta Ombrofila Densa Montana, a montante do rio Bonito.","-475.939","-240.829",NA,"Erva de 1m.","ESA080138",NA,"Magnoliophyta",NA,"663.0",NA,NA,"ESA080138",NA,NA,"-475,939","-240,829",NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:13:06-03","ESALQ","ESA","92747","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.","2013",NA,NA,"Forzza, R.C. ; Franco, B.K.S.","2002","01","26","Brasil","Minas Gerais","Descoberto",NA,"-42.9674987792969","-21.4596996307373","11991",NA,"ESA092747","auto","Magnoliophyta",NA,"2056.0",NA,NA,"ESA092747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:13:06-03","ESALQ","ESA","108090","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Gissi, D.S.","2011","10","20","L.B.Bosquetti","2005","03","31","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818","37574",NA,"ESA108090","auto","Magnoliophyta",NA,"203.0",NA,NA,"ESA108090_1 ESA108090_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:13:06-03","ESALQ","ESA","92746","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Gissi, D.S.",NA,NA,NA,"Uliana, V.L.C.R.","1996","10","14","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758","34265",NA,"ESA092746","auto","Magnoliophyta",NA,NA,NA,NA,"ESA092746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:13:06-03","ESALQ","ESA","128113","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Saka, M.N.",NA,NA,NA,"Polisel, R.T.","2013","03","27","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). Trilha de Dezembro, entre a UHE Alecrim e Porto Raso. Floresta Ombrófila Densa às margens do Rio de Dezembro.","-47.45","-24.07",NA,"Erva de 1,0 m. Inflorescências velhas.","ESA128113",NA,"Magnoliophyta",NA,"1126.0",NA,NA,"ESA128113","389","389","-47.45","-24.07",NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:13:06-03","ESALQ","ESA","80139","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.","2013",NA,NA,"Gomes, S.M.; Antunes, R.M.; Gomes, P.B.; Nakakura, H.C.C.; Melo, M.S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","2002","04","24","Brasil","São Paulo","Sete Barras","Parque Estadual de Carlos Botelho, Núcleo Sete Barras, Trilha do Rio Taquaral 2. Floresta Ombrófila Densa Montana/ Floresta Estacional Semidecidual.","-475.813","-290.344",NA,"Erva. Inflorescência velha.","ESA080139",NA,"Magnoliophyta",NA,"460.0",NA,NA,"ESA080139",NA,NA,"-475,813","-290,344",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:13:06-03","ESALQ","ESA","128112","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Saka, M.N.",NA,NA,NA,"Cabral, F.N.","2013","03","28","Brasil","São Paulo","Juquiá","Trilha da Casa da Pedra, UHE da Serraria, Floresta Ombrófila Densa","-47.55755","-24.16651",NA,"Erva com inflorescência.","ESA128112",NA,"Magnoliophyta",NA,"826.0",NA,NA,"ESA128112",NA,NA,"-47.55755","-24.16651",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:13:06-03","ESALQ","ESA","62909","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Folli, D.A.","1993","11","03","Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,"ESA062909","auto","Magnoliophyta",NA,"2073.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:13:06-03","ESALQ","ESA","62620","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Gissi, D.S.","2011","10","20","Kollmann, L.","1999","02","02","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"ESA062620","auto","Magnoliophyta",NA,"1761.0",NA,NA,"ESA062620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:13:06-03","ESALQ","ESA","101821","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Saka, M.N.","2013",NA,NA,"Carboni, M.","2005","03","24","Brasil","São Paulo","Barra do Turvo",NA,"-48.5046997070312","-24.7563991546631","38172",NA,"ESA101821","auto","Magnoliophyta",NA,"100.0",NA,NA,"ESA101821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:13:06-03","ESALQ","ESA","95270","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.","2013",NA,NA,"Destefani, A.C.C. et al.","2005","03","23","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637","38804",NA,"ESA095270","auto","Magnoliophyta",NA,"69.0",NA,NA,"ESA095270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:13:06-03","ESALQ","ESA","95271","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.","2013",NA,NA,"Destefani, A.C.C. et al.","2005","03","23","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637","38804",NA,"ESA095271","auto","Magnoliophyta",NA,"74.0",NA,NA,"ESA095271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:13:06-03","ESALQ","ESA","95272","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.","2013",NA,NA,"Destefani, A.C.C. et al.","2005","03","23","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637","38804",NA,"ESA095272","auto","Magnoliophyta",NA,"77.0",NA,NA,"ESA095272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:13:06-03","ESALQ","ESA","4525","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Catharino, E.L.M.","1986","01","25","Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395","55628",NA,"ESA004525","auto","Magnoliophyta",NA,"682.0",NA,NA,"ESA004525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
