"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","2423211","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","L. Coradin","6482","1983","07","05","South America","Brazil","Bahia","Lençóis","1 km leste da estrada Lençois BR-242 (entrada no km 8)","-41.27","-12.5","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685496' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423211","NY02423211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907498","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","W. R. Anderson","6553","1973","03","07","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 6-7 km E of Alto Paraíso on road to Nova Roma","-47.4754","-14.0755","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907498","NY00907498_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2423207","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","P. T. Sano","CFCR14863","1994","03","04","South America","Brazil","Bahia","Rio de Contas","Ca. 2 km da cidade, em direção a Marcolino Moura.","-41.8114","-13.5792","1100","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685491' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423207","NY02423207_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557978","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","G. G. Hatschbach","41770","1978","11","22","South America","Brazil","Paraná","Rio Branco do Sul","Itarerema","-49.3142","-25.1903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557978","NY00557978_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907352","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","T. C. Plowman","12722","1983","01","18","South America","Brazil","Ceará","Crato","Chapada do Araripe. Parque Nacional do Araripe. Open flat summit of the Chapada ca. 20 km. SW of Crato along federal road BR-122","-39.5","-7.33","860","860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907352","NY00907352_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1801328","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","F. França","1574","1996","04","04","South America","Brazil","Bahia","Palmeiras","16 km do Mun. de Palmeiras na BR 242.","-41.5588989257812","-12.5289001464844","830",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020290' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801328","NY01801328_01",NA,"20767","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02715701","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","A. M. Amorim","2996","1999","04","26","South America","Brazil","Bahia","Morro do Chapéu","Morro da torre de transmissao","-41.1558","-11.5503","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623214' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715701","NY02715701_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557994","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","G. G. Hatschbach","13142","1965","11","18","South America","Brazil","Paraná","Bocaiúva do Sul","Passa Vinte","-49.115","-25.2061",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557994","NY00557994_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907502","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","E. Nogueira","91","1981","01","14","South America","Brazil","Goiás","Corumbá de Goiás","Topo do Pico dos Pirineus, serra do Catingueiro 6 km de Cocalzinho.","-48.8086013793945","-15.9236001968384","1380","1380","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907502","NY00907502_01","J. E. Q. de Faria","41388","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-03-20 11:47:20-03","MCN-PUC-MINAS","HPUC-MG","ANG3433","S","Plantae",NA,NA,"Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana",NA,NA,NA,"2011","01","18",NA,"Brasil",NA,NA,"Cava E6 - Alegria",NA,NA,NA,NA,NA,"Doação Bioma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:45:53-03","EAO","IAN","191856","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","Pereira-Silva, G","15137","2010","03","23","Southern America","Brasil","Rondônia","Porto Velho","Jaci-Paraná, Margem esquerda do rio Madeira (área com afloramento rochoso, em frente à corredeira de Jirau). Floresta estacional semidecidual. Relevo plano. Solo argiloso com alta presença de matacões de granito. Áre de influência direta (lago).","-64.726389","-9.321389",NA,NA,NA,"Arbusto com 3 m de altura. Fruto imaturo verde, maduros negro.","IAN191856",NA,"Sobral, M",NA,NA,"2015","-64.726389","-9.321389",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:45:53-03","EAO","IAN","26460","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","Widgren","542",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN026460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:21:17-03","UFBA","ALCB","107675","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","Guedes, ML; Alunos de Microbiologia de Adriana","20372","2013","01","28","Southern America","Brasil","Bahia","Lençóis/Andaraí","Chapada Diamantina, Caminho para o Cruzeiro","-41.333333","-12.7",NA,NA,NA,"Folhas cartáceas, discolores, aromáticas. Flores axilares, passadas.","ALCB058388",NA,"Neves, PS",NA,NA,"2019","-41.333333","-12.7","04","23",NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:21:17-03","UFBA","ALCB","108083","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","Stadnik, A; et al.","133","2013","02","23","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Trilha Estrada Real para Passagem Velha","-41.089722","-11.676389","1006","1006",NA,"ca. 1m de alt. Folhas levemente discolores. Sépalas verdes. Pétalas alvas.","ALCB058521",NA,"Stadnik, A; Melo, JDO; Lucresia, L",NA,NA,"2019","-41.089722","-11.676389","06",NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:21:17-03","UFBA","ALCB","123370","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O.Berg","Guedes, ML; Alunos de Botânica BIOC05","24380","2016","03","12","Southern America","Brasil","Bahia","Wagner","Ponto nº 8. Rio Tijuco.","-41","-12","600","600",NA,"Folhas cartáceas, discolores. Flores axilares, pequenas, alvas.","ALCB010602","ALCB010602","Stadnik, A; Melo, JDO; Lucresia, L",NA,NA,"2019","-41","-12","06",NA,NA,NA,NA,NA,NA,NA
