"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","typeStatus","fieldNumber","monthIdentified","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00994936","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","H. S. Irwin","26483","1970","02","21","South America","Brazil","Distrito Federal","Brasília","Ca. 12 km S. of Planaltina, DF-13","-47.6607","-15.72725","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994936","NY00994936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00994951","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","E. P. Heringer","45","1979","09","13","South America","Brazil","Distrito Federal","Brasília","Reserva Ecologica do IBGE. Picada M-1.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994951","NY00994951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00994939","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","E. P. Heringer","17325","1979","09","20","South America","Brazil","Goiás","Luziânia","Margem da Rodovia.","-47.9503","-16.2528",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994939","NY00994939_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00994941","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","G. T. Prance","59006","1964","09","12","South America","Brazil","Distrito Federal","Brasília","Road Brasília to Taguatinga.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994941","NY00994941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00994955","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","E. P. Heringer","255","1977","11","07","South America","Brazil","Distrito Federal","Brasília","Picada R6. Reserva Ecológica do IBGE. RECOR.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994955","NY00994955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00994940","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","E. P. Heringer","18","1977","09","08","South America","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Picada R-5.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994940","NY00994940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00994937","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","E. P. Heringer","16991","1978","08","26","South America","Brazil","Goiás","Corumbá de Goiás",NA,"-48.8083","-15.9236",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994937","NY00994937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00994942","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","R. S. Santos","24370","1963","09","14","South America","Brazil","Minas Gerais",NA,"Faz. S. José.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994942","NY00994942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00994960","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","E. P. Heringer","7980/172","1961","02","21","South America","Brazil","Distrito Federal","Brasília","Parque Zoobotânico.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994960","NY00994960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00994943","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","R. S. Santos","s.n.","1963","09","12","South America","Brazil","Minas Gerais","Varjao de Minas","Fda. São José pr. Varjão.","-46.0317","-18.3781",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994943","NY00994943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00994933","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","goyazensis","Cybianthus goyazensis","Mez","J. J. Pipoly","H. S. Irwin","5378","1964","08","21","South America","Brazil","Distrito Federal","Brasília","Ca. 35 km E. of Brasília.","-47.7","-15.62","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994933","NY00994933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
