"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","phylum","class","order","locality","barcode","fieldNumber","preparationType","occurrenceRemarks","imagecode","typeStatus","continentOcean","individualCount","dayIdentified"
"1","2021-03-31 13:41:39-03","MN","R","158828","PreservedSpecimen","Plantae","Urticaceae","Pilea","flammula","Pilea flammula","P.Brack","Brack, P.","1987","10","Smith, L.B.; Klein, R.M.","7888","1956","11","24","Brasil","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","1000","1000","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:39-03","MN","R","158831","PreservedSpecimen","Plantae","Urticaceae","Pilea","flammula","Pilea flammula","P.Brack","Brack, P.","1987","10","Smith, L.B.; Klein, R.M.","7750","1956","11","18","Brasil","Santa Catarina","Santo Amaro da Imperatriz","-48.7785987854004","-27.6881008148193","22435","1600","1600","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:33:54-03","IAP","PACA-AGP","76245","PreservedSpecimen","Plantae","Urticaceae","Pilea","flammula","Pilea flammula","Brack","P. Brack","1987","10","M. Sobral","3666","1984","01",NA,"Brasil","RS","Cambará do Sul","-50.1446990966797","-29.0478000640869","30776",NA,NA,"auto","Magnoliophyta","Magnoliatae","Urticales","Faxinal","PACA076245",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 11:27:06-03","MNHN","RECOLNAT_MNHN_P","P06820304","PreservedSpecimen",NA,"Urticaceae","Pilea","flammula","Pilea flammula","P.Brack","Gaglioti & Romaniuc Neto",NA,NA,"Smith, L.B.|Klein, R.",NA,"1956","11","22","Brasil","Santa Catarina",NA,NA,NA,NA,"1300","1400",NA,NA,NA,NA,"Bom Retiro. Falls of Rio Canoas, Campo dos Padres. Santa Catarina, Sul, Brasil, América do Sul","P06820304","7855","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06820304' target='other'> <mi>dwc_moreinfo</mi></a>","P06820304_01",NA,NA,NA,NA
"5","2015-09-05 11:27:05-03","MNHN","RECOLNAT_MNHN_P","P06820298","PreservedSpecimen",NA,"Urticaceae","Pilea","flammula","Pilea flammula","P.Brack","Gaglioti & Romaniuc Neto",NA,NA,"B. Smith, L.|Klein, R.",NA,"1956","11","22","Brasil","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","1300","1400","auto",NA,NA,NA,"Falls of Rio Canoas, Campo dos Padres. Bom Retiro, Santa Catarina, Sul, Brasil, América do Sul","P06820298","4847","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06820298' target='other'> <mi>dwc_moreinfo</mi></a>","P06820298_01",NA,NA,NA,NA
"6","2015-09-05 11:27:06-03","MNHN","RECOLNAT_MNHN_P","P06820303","PreservedSpecimen",NA,"Urticaceae","Pilea","flammula","Pilea flammula","P.Brack","Gaglioti & Romaniuc Neto",NA,NA,"Smith, L.B.|Klein, R.",NA,"1956","11","24","Brasil","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","1000",NA,"auto",NA,NA,NA,"Sahdy ravinc of Agua Boa, Riozinho. Bom Retiro, Santa Catarina, Sul, Brasil, América do Sul","P06820303","7888","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06820303' target='other'> <mi>dwc_moreinfo</mi></a>","P06820303_01",NA,NA,NA,NA
"7","2020-06-22 11:09:00-03","MO","MOBOT","2483124","PreservedSpecimen","Plantae","Urticaceae","Pilea","flammula","Pilea flammula","P. Brack","P. Brack",NA,NA,"Marcos Sobral","Sobral 5060",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cambará do Sul. Faxinal",NA,NA,NA,NA,NA,"Holotype","South America","1",NA
"8","2020-08-20 20:42:00-03","UFSC","FLOR","22518","PreservedSpecimen","Plantae","Urticaceae","Pilea","flammula","Pilea flammula","P.Brack","Falkenberg, D.B.","1992",NA,"Falkenberg, D.B.; Silva Filho, F.A. da","5939","1992","12","04","Brasil","Santa Catarina","Grão Pará","-49.2146987915039","-28.1849994659424","24844","900","900","auto",NA,NA,"Rosales","Estrada SC 439, encosta leste da Serra do Corvo Branco.","FLOR0022518",NA,NA,"erva, 0,2 a 0,3m altura, pétalas e anteras brancas, filetes hialinos Habitat: capoeirinha em beira de valeta e barranco",NA,NA,NA,NA,NA
"9","2021-02-08 12:46:07-03","UFRGS","ICN","065477","S","Plantae","Urticaceae","Pilea","flammula","Pilea flammula","Brack","Brack, P",NA,NA,"Stehmann, JR","s.n.","1986","03","08","Brasil","RS","Cambará do Sul","-50.1446990966797","-29.0478000640869","30776","900","900","auto","Dicotyledon",NA,NA,"Cânion Faxinal","ICN00000586",NA,NA,"Espécie ameaçada de extinção (Em perigo).","ICN00000586 ICN00000586_1","Paratypus","América do Sul",NA,NA
"10","2021-02-08 12:46:07-03","UFRGS","ICN","051712","S","Plantae","Urticaceae","Pilea","flammula","Pilea flammula","Brack","Brack, P",NA,NA,"Stehmann, J","s.n.",NA,NA,NA,"Brasil","RS","Cambará do Sul","-50.1446990966797","-29.0478000640869","30776",NA,NA,"auto","Dicotyledon",NA,NA,"Faxinal","ICN00000587",NA,NA,"Espécie ameaçada de extinção (Em perigo).; Erva em beira de arroio.","ICN00000587","Paratypus","América do Sul",NA,NA
