"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","class","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1019252","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.","L. S. Funch","R. Fonseca","29","2005","03","29","South America","Brazil","Bahia","Lençóis","Px. a área urbana.","-41.4","-12.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280199' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019252","NY01019252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:18:16-03","ASU","ASU-PLANTS",NA,"PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.","L. Funch","Fonseca, R. B. S.","29","2005","3","29",NA,"Brazil","Bahia",NA,"Lençóis: Px. a area urbana.","-41.4","-12.55",NA,"Arvoreta, ca. 3m alt. Folhas cartaceas, glabras, discolores, com face adaxial verde oliva e face abaxial verde claro, fosca. Frutos imaturos verdes; frutos maduros negros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034428","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.","L. Funch, 7/2005","R.B.S. Fonseca","36","2005","7","31",NA,"Brazil","Bahia","Lençois","Px. a área urbana.","-41.4","-12.55",NA,"Arvoreta ca. 3m alt. Folhas cartáceas, glabra, discolores com face adaxial verde oliva e face abaxial verde claro, fosca. Flores brancas.",NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034429","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.","L. Funch","Fonseca, R. B. S.","36","2005","7","31",NA,"Brazil","Bahia",NA,"Lençóis: Px. a area urbana.","-41.4","-12.55",NA,"Arvoreta ca. 3m alt. Folhas cartaceas, glabra, discolores com face adaxial verde oliva e face abaxial verde claro, fosca. Flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2014-10-14 15:56:58-03","BS","M","M-0137267","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in sylvaticis deserti ad Caiteté Villam do R. das Contas; Provinciae Bahiensis",NA,NA,NA,NA,"M0137267",NA,NA,"Magnoliopsida","ISOTYPE",NA,NA,NA,NA,NA,NA
"6","2014-10-14 15:56:58-03","BS","M","M-0137750","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia provinc. Bahia",NA,NA,NA,NA,"M0137750",NA,NA,"Magnoliopsida","ISOTYPE",NA,NA,NA,NA,NA,NA
"7","2014-10-14 15:56:58-03","BS","M","M-0137751","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Crescit in Brasiliae prov. Bahiensi",NA,NA,NA,NA,"M0137751",NA,NA,"Magnoliopsida","HOLOTYPE",NA,NA,NA,NA,NA,NA
"8","2021-01-26 13:56:41-03","IMA","MAC","44813","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.",NA,"Chagas-Mota","6317","2009","10","18",NA,"Brasil","Alagoas","Palmeira dos Índios","Serra das Pias, Fazenda Fortaleza.","-37.035278","-9.701944",NA,"Arbusto ca. 2 m de altura. Botões cremes.; Agreste.","MAC0044813","MAC0044813",NA,NA,NA,"-37.035278","-9.701944",NA,NA,NA,NA
"9","2021-02-04 10:29:27-03","UFRPE","HST","3724","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.","M.Sobral","D.P.Lima","12712","1971","09","29",NA,"Brasil","Bahia","Porto Seguro","Matas de Vale Verde","-39.0647010803223","-16.4496994018555",NA,"Árvore +- 6m alt. e +- 18cm de diâmetro. Flores esbranquiçadas, pouco perfumadas","HST003724",NA,NA,NA,NA,NA,NA,"2012","68835","auto",NA
"10","2019-10-07 09:35:19-03","UEFS","HUEFS","87531","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","laxa","Eugenia laxa","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0087531",NA,NA,"Rosanae","Tipo",NA,NA,NA,NA,NA,NA
