"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1181860","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L.Rob.","W. C. Holmes","W. Hoehne","6245","1968","08","17","South America","Brazil","São Paulo","Aguas de Lindóia","-46.6300010681152","-22.4699993133545","8148","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181860","NY01181860_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:01:56-03","ESALQ","ESA","126310","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L. Rob.","Oliveira, C.T.","Sobral, M.",NA,"1905","07","04",NA,"Brasil","Minas Gerais","Ritápolis","-44.3180999755859","-21.021900177002","18703",NA,NA,"ESA126310","ESA126310","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:36:08-03","MN","R","85869","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L. Rob.","Barroso, G.M.","Glaziou, A.F.M.","17080","1887","09","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000085869","R000085869_001",NA,"1957","10","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:34:23-02","IPA","IPA","88784","S","Plantae","Plantae",NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L. Rob.",NA,"Leitão Filho, H.F.; et al.; et al.","43","1980","09","04","Southern America","Brasil","Minas Gerais","Poços de Caldas","-46.564722","-21.838889",NA,NA,"Trepadeira; capítulos creme. Nativo em área de campo.","IPA0088784","IPA0088784",NA,NA,NA,NA,"Campo do Saco.","-46.564722","-21.838889",NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:15:56-03","UFV","VIC","12879","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L. Rob.",NA,"Queiroz, L.P. de; et al.","2707","1990","10","07",NA,"Brasil","São Paulo","Campos do Jordão","-45.566667","-22.716667",NA,NA,"Trepadeira volúvel com folhas membranáceas. Flores esbranquiçadas.","VIC012879","VIC012879",NA,NA,NA,NA,"Reserva do Instituto Florestal, Subida para São José dos Alpes. Mata de Altitude.","-45.566667","-22.716667",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:32:04-03","UFJF","CESJ","34750","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L.Rob.","J.N. Nakajima","R.M. Castro; et al.","633","2001","10","21","América do Sul","Brasil","Minas Gerais","Barroso","-43.9757995605469","-21.1868991851807","7934",NA,"Cipó no interior da mata, frutos com pappus creme e brácteas involucrais pardescentes.","CESJ034750",NA,"auto","2003","06",NA,"Mata do Baú",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:32:04-03","UFJF","CESJ","8555","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L.Rob.","R.L.Esteves","L. Krieger","CESJ8555","1970","05","14","América do Sul","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417",NA,"Na beira da mata, flores creme, cipó.","CESJ008555",NA,"auto","2004","08","31","Serra de Ibitipoca",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:32:04-03","UFJF","CESJ","14963","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L.Rob.","J.N. Nakajima","J.A. Silva","s.n.","1977","03","11","América do Sul","Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144",NA,"Trepadeira, flores brancas, local da mata.","CESJ014963",NA,"auto","2003","05",NA,"Reserva Biológica Poço D'Anta",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:32:04-03","UFJF","CESJ","33732","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L.Rob.","J.N. Nakajima","F.S. Araújo; V.R. Scalon","117","2001","07","27","América do Sul","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417",NA,"Liana, folhas discolores, brácteas verdes, cálice e corola brancos. Coleta em borda de mata com característica bastante seca e com muitas bromélias e líquens.","CESJ033732",NA,"auto","2003","05",NA,"Arredores do Parque Estadual do Ibitipo, próximo a estrada para o distrito de Moreiras.",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:41:29-03","UFMS","CGMS","44669","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L.Rob.","N.I. Matzenbacher","A. Pott; V.J. Pott","1943","1985","06","26",NA,"Brasil","Mato Grosso do Sul","Corumbá","-56.9166667","-19.1666667",NA,NA,"Flor branca. Cobre totalmente as outras plantas. Habitat: Vegetação secundária. Solo arenoso (podzol hidromórfico). Relevo plano. Habito: Trepadeira. Abundante.","CGMS1074636",NA,NA,NA,NA,NA,"Estrada MS-228, Nhecolândia, Pantanal.","-56,9166667","-19,1666667","90","90",NA,NA,NA,NA
