"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","dayIdentified","individualCount","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","565991","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias","D. B. O. S. Cardoso","A. M. Amorim","1376","1993","09","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na Picada do Principe","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565991","NY00565991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","623510","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias","M. Kuhlmann","M. Kuhlmann","3923","1955","10","18","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico (Parque do Estado).","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623510","NY00623510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","623511","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias","H. C. de Lima","A. F. M. Glaziou","W15905","1887","11","03","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623511","NY00623511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","623509","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias","M. Kuhlmann","M. Kuhlmann","3923","1955","10","18","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico (Parque do Estado).","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623509","NY00623509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","623515","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias","H. C. de Lima","J. Tabacow","s.n.","1988","08","24","South America","Brazil","Minas Gerais","Teófilo Otoni","4 km de Teófilo Otoni, direçao Governador Valadares.","-41.5053","-17.8578","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623515","NY00623515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","623513","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias","H. C. de Lima","H. M. de Sousa","s.n.","1969","07","20","South America","Brazil","São Paulo","Pariquera-Açu",NA,"-47.88","-24.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623513","NY00623513_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","623514","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias",NA,"A. F. M. Glaziou","2.10565","1880","06","29","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623514","NY00623514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","623512","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke ex F.A.Iglesias","C. H. Stirton","G. G. Hatschbach","11709","1964","10","09","South America","Brazil","Paraná","Adrianópolis","Estrada da Ribeira Bela Vista.","-48.9908","-24.6572","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623512","NY00623512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:17:26-03","UFBA","ALCB","117541","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke","Cardoso, D","Rocha, L; Pessoa, M","s/n","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore: 4 m. 7,8 cm. de diâmetro.","ALCB033212","ALCB033212","2014","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-14 14:10:27-03","UFBA","ALCB","138435","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Vatairea","heteroptera","Vatairea heteroptera","(Allemão) Ducke","Cardoso, D","Cardoso, D; Lima, HC de; Carvalho, CS de; Zuanny, D; Silva, JB da","4657","2019","01","23","Southern America","Brasil","Alagoas","União dos Palmares","Fazenda Flor da Serra, acesso pela BR-104, estrada do Barro Vermelho, após o assentamento Ximenes.","-35.953333","-9.174722",NA,"jovem, ca. 2 m alt. Folhas com folíolos papiráceos. Estéril.","ALCB069656",NA,"2019","01","-35.953333","-9.174722","502","502",NA,NA,NA,NA,NA,NA,NA
