"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","74045","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral","isotype","G. G. Hatschbach","54169","1990","06","12","South America","Brazil","Minas Gerais","Grão Mogol","Grao Mogol, arredores, Minas Gerais","-42.8897018432617","-16.5594005584717","67219","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00074045","NY00074045_01","auto",NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:21:12-03","UFBA","ALCB","124731","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral","parátipo","Silva, TRS; Pirani, JR; Esteves, GL; Campos, MTVA","CFCR13340","1990","09","05","Southern America","Brasil","Minas Gerais","Grão Mogol","Cerrado na estrada para o rio Ventania.","-42.816667","-16.533333",NA,"900","900",NA,"ca. 1m alt. Pouco ramificado. Fruto imaturos amarelo passando a avermelhado.",NA,NA,NA,"Sobral, M","1993","-42.816667","-16.533333",NA,NA
"3","2020-11-04 11:14:28-03","ESALQ","ESA","74214","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral",NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Elias, S.I.","25963.0","2001","07","14",NA,"Brasil","Bahia","Caetité","Cerca de 5 km de Caetité em direção a Brejinho das Ametistas. 14o06'25S, 42o30'20W. 1130 m.s.m. Campo limpo de cerrado (gerais) .","-42.4749984741211","-14.0693998336792","53684",NA,NA,NA,"Arbusto; flores alvas.","ESA074214",NA,"auto","Mazine, F.F.",NA,NA,NA,NA,NA
"4","2020-11-04 10:56:23-03","ESALQ","ESA","139967","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","cf. blanda","Eugenia cf. blanda","Sobral",NA,"Souza, V.C.","40827.0","2017","07","18",NA,"Brasil","Minas Gerais","Bocaiuva","Cerca de 16 km de Bocaiuva em direção a Montes Claros. Cerrado.","-43.814998626709","-17.1077995300293","90741","1000","1000",NA,"Subarbusto, ca. 70cm alt.; frutos passando de alaranjados para vermelhos.","ESA139967",NA,"auto","Mazine, F.F.","2019","-43,857,521","-16,958,464","07","01"
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019312","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral","ISOTYPE","G. & M. Hatschbach; V. Nicolack","54169","1990","6","12",NA,"Brazil","Minas Gerais",NA,"Grao Mogol, arredores","-42.9","-16.5667",NA,"1000",NA,NA,"Origin: BRASIL; Arbusto, 1m, flores alvas, odoriferas.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:36:26-03","MBM","MBM","272359","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","73679","2002","08","20","Southern America","Brazil","Minas Gerais","Grão Mogol","Aeroporto, arredores","-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"MBM272359","MBM272359","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:36:26-03","MBM","MBM","135988","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral","HOLOTYPE","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54169","1990","06","12","Southern America","Brazil","Minas Gerais","Grão Mogol","Arredores","-42.8897018432617","-16.5594005584717","67219","1000","1000",NA,"Arbusto 1m; flores alvas, odoríferas. Campo rupestre.; Arbusto 1m, flores alvas, odoríferas.; Camo rupestre.","MBM135988","MBM135988","auto","Sobral, M.","1993",NA,NA,NA,NA
"8","2020-12-11 11:39:07-03","UFMG","BHCB","181190","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral","Isotypus","Hatschbach, G; Hatschbach, M; Nicolack, V","54169","1990","06","12","Southern America","Brasil","Minas Gerais",NA,"Grão Mogol, Arredores",NA,NA,NA,"1000","1000",NA,"Arbusto, 1m. Flores alvas, odoríferas; Campo rupestre","BHCB035343","BHCB035343",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:39:07-03","UFMG","BHCB","75805","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral",NA,"Hatschbach, G; Hatschbach, M; Silva, JM","73724","2002","08","22","Southern America","Brasil","Minas Gerais","Grão Mogol","Barrocão, rodovia para Botumirim Km 3-5.","-42.816667","-16.533333",NA,NA,NA,NA,"Arbusto, 1m, futo preto; Campo cerrado","BHCB030772",NA,NA,NA,"2002","-42.816667","-16.533333",NA,NA
"10","2020-12-11 11:39:07-03","UFMG","BHCB","75774","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","blanda","Eugenia blanda","Sobral",NA,"Hatschbach, G","73679",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA
