"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","569313","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","B. L. Andersson","G. G. Hatschbach","33706","1974","01","22","South America","Brazil","Paraná","Morretes","Anhaia","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569313","NY00569313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","569312","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","H. Kennedy","P. K. H. Dusén","13520","1911","12","27","South America","Brazil","Paraná","Guaratuba","Cubatoa","-48.5744","-25.8831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569312","NY00569312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885900","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","J. M. A. Braga","J. M. A. Braga","7417","2004","03","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto, entorno do Jardim Botânico do Rio de Janeiro, trecho que se estende até 500 m acima do Sola da Imperatriz.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885900","NY00885900_01","80","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039395","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","J. M. A. Braga","L. Sylvestre","750","1992","02","06","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Caminho próximo a represa da CEDAE.","-42.883","-22.483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485795' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039395","NY01039395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:18-03","UFRJ","RFA","18590","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","D.S. Gisi","P. Occhioni","7820","1975","11","10",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, Barreira do Soberbo","-42.9655990600586","-22.4122009277344",NA,"Flores alvas","RFA45187",NA,NA,NA,"2012","01","13","38539","auto",NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:13-03","UFRJ","RFA","23940","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","João Marcelo de A. Braga","F.M.B. Pereira; G. Souza; J.A.F. Nogueira; M.R. Gomes; L.M. Gonçalves","I-9","2000","01","09",NA,"Brasil","Rio de Janeiro","Macaé","Fazenda Carreira Comprida de Propriedade de Ronaldo Azevedo, acesso pela estrada que liga Macaé a Conceição de Macabú, entre as localidades de Bicuda Grande e Areia Branca","-42.033333","-22.339167",NA,"Erva 40 cm de altura, ciófila. Flor branca","RFA37096",NA,"54","54","2006","04","19",NA,NA,"42º2'0''W","22º20'21''S",NA,NA,NA,NA
"7","2020-06-29 11:31:18-03","UFRJ","RFA","5948","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","D.S. Gisi","E. Pereira","4247","1959","01","22",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jacarepaguá. Pau da Fome","-43.2075004577637","-22.9027996063232",NA,"Inflorescência branca","RFA45189",NA,NA,NA,"2012","03","24","57442","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:13-03","UFRJ","RFA","7664","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","D.S. Gisi","P. Occhioni","s/n","1945","02","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Matas do Pai Ricardo","-43.2075004577637","-22.9027996063232",NA,"Flor branca","RFA45188",NA,NA,NA,"2012","03","24","57442","auto",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:28:24-03","UFBA","ALCB","101076","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Saka, M.N.","Hatschbach, G; Barbosa, E; Ferreira, LA","68905","1999","02","08","Southern America","Brasil","Paraná","Paranaguá","Quintilha.","-48.5092010498047","-25.5200004577637",NA,"Flor alva.; beira de rio encachoeirado.","ALCB020168","ALCB020168",NA,NA,"2014","10",NA,"24916","auto",NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:37:10-03","NBC","NL-BOTANY","L.1481961","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.",NA,"Unknown",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,"Myrosma, Suriname.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1481961 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1481961","NL-L1481961",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"11","2020-02-08 10:37:10-03","NBC","NL-BOTANY","L.1481960","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.",NA,"Ule EHG",NA,"1900","04","01","Southern America","Brazil",NA,NA,"in Molde obr Fabrica.* Estado de Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1481960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1481960","NL-L1481960",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"12","2020-02-08 10:37:10-03","NBC","NL-BOTANY","U.1391108","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","Kennedy H","Hatschbach GG",NA,"1974","01","10","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391108","NL-U1391108",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0134975",NA,NA
"13","2020-02-08 10:37:10-03","NBC","NL-BOTANY","U.1391109","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","Kennedy H","Hatschbach GG",NA,"1973","03","13","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391109 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391109","NL-U1391109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0134976",NA,NA
