"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","order","relatedCatalogItem","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount","typeStatus"
"1","2021-03-30 12:33:23-03","EAO","IAN","59140","PreservedSpecimen","Plantae","Dicotiledônea","Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.","Barkley, FA","Aguilar, RM","1175","1947","12","21","Southern America","Argentina","Gob. Chaco. Localidad Margarita Belém. Dpto. Resistencia.","Flor amarilla palido.","IAN059140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:33:23-03","EAO","IAN","59149","PreservedSpecimen","Plantae","Dicotiledônea","Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.","Barkley, FA","Rojas, T","7027","1935","01",NA,NA,"Paraguai","Localidad Jardim Botánico: Barranca Riacho Cara-Cará, cerca Rio Paraguay.","Arbol 10-12 m. Flores amarillas.","IAN059149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-26 18:06:56-03","CPAN-UFMS","COR","4439","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Salis, S.M.; Pott, V.J.; Silva, R.R.; Arantes, A.","873","1996","03","27",NA,"Brasil","em frente a recepção do Hotel dos Camalotes.","Arvoredo remanescente. Projeto CNPq/PCBAP; Com Flor: esverdeada; Com fruto:vermelho Habito: Árvore",NA,"Mato Grosso do Sul","Porto Murtinho","-57.866667","-21.666667","57º52'0''W","21º40'0''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267717","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Aguilar RM",NA,"1947","12","21","Southern America","Argentina","Argentina, Chaco, dep. Resistencia, Margarita Belén","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267717","Chaco",NA,NA,NA,NA,NA,"Magnoliopsidae","Sapindales","L 0726267","NL-L2267717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267718","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Fiebrig K",NA,"1908","01","01","Southern America","Paraguay","N. Paraguay, zwischen Rio Apa und Rio Aquidaban, Centurion, Ian, niederer Camp,","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267718",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Sapindales","L 0726266","NL-L2267718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267719","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.","Barkley FA","Fiebrig K",NA,"1908","01","01","Southern America","Paraguay","N. Paraguay, zwischen Rio Apa und Rio Aquidaban","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267719",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Sapindales","L 0726265","NL-L2267719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:29:02-03","NBC","NL-BOTANY","U 0263994","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Unknown",NA,NA,NA,NA,"Southern America","Argentina",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200263994 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0263994",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Sapindales","Uw7112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:29:02-03","NBC","NL-BOTANY","U.1061279","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Schulz CL",NA,"1946","01","05","Southern America","Argentina","Gob. Chaco, Dep. Tapeuaga. Enrique Urien.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1061279 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1061279",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Sapindales",NA,"NL-U1061279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:29:02-03","NBC","NL-BOTANY","U.1061280","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Meyer T",NA,"1944","01","24","Southern America","Argentina","Prov. de Corrientes, Capital, Dep. Capital.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1061280 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1061280",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Sapindales",NA,"NL-U1061280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:29:02-03","NBC","NL-BOTANY","U.1061281","PreservedSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Schulz CL",NA,"1947","01","25","Southern America","Argentina","Gob. Chaco, Dep. Campo del Cielo, Santa Sylvina.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1061281 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1061281",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Sapindales",NA,"NL-U1061281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 10:59:03-03","ESALQ","ESA","56753","PreservedSpecimen","Plantae","Magnoliophyta","Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.","Schinini, A.","Paula-Souza, J.","8095.0","2007","01","31",NA,"Argentina",NA,NA,"ESA056753","Corrientes","Capital",NA,NA,NA,NA,NA,NA,NA,"ESA056753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-19 10:22:31-03","CPAP","CPAP","12810","PreserverdSpecimen","Plantae",NA,"Anacardiaceae","Schinopsis","balansae","Schinopsis balansae","Engl.",NA,"Pott, A.","6836","1994","03","05",NA,"Brasil","Hotel dos Camalotes","Árvore. FLOR: não vista. FRUTO: vermelho escuro. INTERESSE: Tanífera. FREQUÊNCIA: . AMBIENTE: Floresta raleada de chaco úmido. SUBSTRATO: solo argiloso (gley pouco húmico eutrófico). RELEVO: plano. <ll>dwc_commonname:</ll> Quebracho",NA,"MS","Porto Murtinho","-57.866667","-21.7","57°52' W","21°42' S",NA,NA,NA,NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA
