"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount","infraspecificEpithet","relatedCatalogItem","dayIdentified"
"1","2017-04-12 08:35:00-03","NY","NYBG","1018790","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Algernonia","leandrii","Algernonia leandrii","S. de V. A. Pessôa","906","1998","06","24","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço das Antas. Fragmento B. Área FB.","-42.2877502","-22.5575863","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018790","NY01018790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1039175","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Algernonia","leandrii","Algernonia leandrii","J. G. Kuhlmann","s.n.","1932","09","14","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estr. para a Repreza do Caenorim.","-43.2075","-22.9028","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482138' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039175","NY01039175_01","(Baill.) G.L.Webster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:38:36-03","EAO","IAN","7876","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Tetraplandra","longipetiolata","Tetraplandra longipetiolata","Glaziou, AFM","13171",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN007876","IAN007876_f","Pax & K.Hoffm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:14:01-03","UFBA","ALCB","121316","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Algernonia","leandrii","Algernonia leandrii","Gomes, FS","1533","2013","03","27","Southern America","Brasil","Bahia","Una",NA,"-39.195278","-15.297222",NA,"Folhas cartáceas, discolores. 35.2, parcela 04","ALCB049668","ALCB049668","(Schott) Poepp. ex Baill.","Gomes, FS","2013","11","-39.195278","-15.297222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:14:01-03","UFBA","ALCB","66266","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Algernonia","leandrii","Algernonia leandrii","Mattos Silva, LA; B.R. dos Santos","4820","2003","10","10","Southern America","Brasil","Bahia","Santa Cruz da Vitória","Litoral Sul, Faz. do Posto Mirasol","-39.8116989135742","-14.9610996246338",NA,"2,50m. Folhas discolores. Frutos imaturos, cor verde.; Remanescente de Mata Mesófila (limite oeste do ecossistema Mata Atlântica). Solo sílico-argiloso.","ALCB050986","ALCB050986","(Schott) Poepp. ex Baill.","Webster, GL","2009","06",NA,NA,"20471","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:29:11-03","IAP","PACA-AGP","103437","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Tetraplandra","leandrii","Tetraplandra leandrii","S.V.A. Pessoa","888","1997","10","16",NA,"Brasil","RJ","Silva Jardim","Reserva Biológica de Poçodas Antas.","-43.233333","-22.966667",NA,"Árvore 11 m alt., semi-umbrófila, folhas discolores verdes, inflorescência creme, látex alvo.&nf;RB 469855","PACA103437",NA,"Baill.",NA,NA,NA,"43°14'00W","22°58'00S",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:11:41-03","UNICAMP","UEC","40571","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Tetraplandra","leandrii","Tetraplandra leandrii","Webster, GL; Santiago, LJ; Emmerich, M","25433","1984","10","27",NA,"Brazil","Rio de Janeiro",NA,"remnants of woods along rocky creek-bed,",NA,NA,NA,"Shrub 2 - 3 m high; flowers greenish","UEC189404","UEC189404","Baill.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:11:41-03","UNICAMP","UEC","47491","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Tetraplandra","leandrii","Tetraplandra leandrii","Gentry, AH","58763","1987","08","29",NA,"Brazil","Rio de Janeiro","Tijuca","Estrada de Sumaré",NA,NA,NA,"Tree 12 m, fruits and female flowers green, male flowers cream.","UEC189403","UEC189403","Baill.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:11:41-03","UNICAMP","UEC","5132","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Tetraplandra","leandrii","Tetraplandra leandrii","Davis, PH; Shepherd, GJ; Makino, H; Silvestre","59888","1984","09","20",NA,"Brazil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,"Secondary rain forest. Tree - only female flowers seen (solitary)","UEC189406","UEC189406","Baill.","Webster, GL","1984","09",NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:11:41-03","UNICAMP","UEC","68170","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Tetraplandra","leandrii","Tetraplandra leandrii","Damasceno Junior, GA","29302","1993","11","16",NA,"Brazil","São Paulo","Ubatuba","Praia de Maranduba","-45.0699996948242","-23.4300003051758",NA,"Árvore 5 m.","UEC189405","UEC189405","Baill.",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
