"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:58-03","UNESC","CRI","2513","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl","L. B. Smith","R. Reitz; R. M. Klein","1962","12","17","Brasil","Santa Catarina","Lages","Morro do Pinheiro Seco.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","918","918","CRI006866","CRI006866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","761905","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl",NA,"W. D. Clayton","1965","02","13","Brazil","São Paulo",NA,"3 km N of city of Itapecerica da Serra","-46.85","-23.7",NA,NA,"800","800","NY00761905","NY00761905_01","Magnoliophyta","Poales","4644","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34749' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","761875","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl","L. B. Smith","L. B. Smith","1971","12","15","Brazil","Santa Catarina","Bom Jardim da Serra","7 km south of Alto","-49.6244","-28.3369",NA,NA,NA,NA,"NY00761875","NY00761875_01","Magnoliophyta","Poales","15813","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34750' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01066889","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl",NA,"J. R. Swallen","1946","01","03","Brazil","Santa Catarina",NA,"Fachinal, Lages",NA,NA,NA,NA,NA,NA,"NY01066889","NY01066889_01","Magnoliophyta","Poales","8127","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205017' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","787107","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl",NA,"J. R. Swallen","1945","11","11","Brazil","Rio Grande do Sul",NA,"Fazenda of Dr. Rouget Peres, Pelotas",NA,NA,NA,NA,NA,NA,"NY00787107","NY00787107_01","Magnoliophyta","Poales","7338","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34753' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","762182","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl",NA,"P. K. H. Dusén","1912","01","12","Brazil","Paraná",NA,"Curityba",NA,NA,NA,NA,NA,NA,"NY00762182","NY00762182_01","Magnoliophyta","Poales","13802","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34752' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","761874","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl","L. B. Smith","L. B. Smith","1964","12","15","Brazil","Santa Catarina","Irani","Campo de Irani","-51.83","-26.45",NA,NA,"700","900","NY00761874","NY00761874_01","Magnoliophyta","Poales","14002","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34751' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 08:13:00-03","NY","NYBG","761877","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum",NA,"M. A. Chase","C. L. Spegazzini","1918","03",NA,"Argentina","Buenos Aires",NA,"Santa Catalina",NA,NA,NA,NA,NA,NA,"NY00761877",NA,"Magnoliophyta","Poales","11866","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34743' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","761903","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl",NA,"L. B. Smith","1956","12","17","Brazil","Santa Catarina","Porto Uniao","Poço near Rio Timbó","-51.0781","-26.2383",NA,NA,"750","750","NY00761903","NY00761903_01","Magnoliophyta","Poales","8665","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34745' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","761876","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl","S. F. Smith","L. Scur","2000","01","12","Brazil","Rio Grande do Sul","Caxias do Sul","Fazenda Souza","-51.1792","-29.1683",NA,NA,"780","780","NY00761876","NY00761876_01","Magnoliophyta","Poales","397","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34744' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01066871","PreservedSpecimen","Plantae","Poaceae","Paspalum","exaltatum","Paspalum exaltatum","J.Presl","O. Morrone","J. R. Swallen","1945","12","04","Brazil","Rio Grande do Sul",NA,"Fazenda Experimental de Criação Bagé",NA,NA,NA,NA,NA,NA,"NY01066871","NY01066871_01","Magnoliophyta","Poales","7591","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204993' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
