"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","barcode","imagecode","fieldNumber","preparationType","occurrenceRemarks","minimumElevationInMeters","individualCount","yearIdentified","monthIdentified","dayIdentified","typeStatus","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2020-12-21 16:30:17-03","MBM","MBM","34420","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","machrisae","Hyptis machrisae","Epling","Harley, R.M.","Hatschbach, G.","36738","1975","05","23","Southern America","Brazil","Goiás","Alto Paraíso","Rod. GO-12","MBM034420","MBM034420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:30:17-03","MBM","MBM","60770","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","machrisae","Hyptis machrisae","Epling","Harley, R.M.","Duarte, A.P.","10762","1967","12","19","Southern America","Brazil","Goiás","Alto Paraíso","Chapada dos Veadeiros","MBM060770","MBM060770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-04 08:18:33-03","MNHN","RECOLNAT_MNHN_P","P03001676","PreservedSpecimen",NA,"Lamiaceae","Hyptis","machrisae","Hyptis machrisae","Epling",NA,"Duarte, A.P.",NA,"1967","2","19",NA,"Brasil",NA,NA,"Goias- Chapada dos Veadeiros.","P03001676","P03001676_01","10762","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03001676' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2010-10-07 15:27:00-03","MO","MOBOT","2901611","PreservedSpecimen","Plantae","Lamiaceae","Eriope","machrisae","Eriope machrisae","(Epling) Harley","R.M. Harley","Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Irwin 12877","1966","2","15","South America","Brazil","Goiás",NA,"Burned over campo, ca. 7 km. W. of Veadeiros, Goias.",NA,NA,NA,NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-01-31 11:39:00-02","MO","MOBOT","2901713","PreservedSpecimen","Plantae","Lamiaceae","Eriope","machrisae","Eriope machrisae","(Epling) Harley","R.M. Harley","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 24970","1969","3","24","South America","Brazil",NA,NA,"Campo on rocky slopes, ca. 0 km W. of Alto do Paraiso (formerly Veadeiros)",NA,NA,NA,NA,NA,"1000.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-23 13:22:36-03","MN","R-TIPOS","126886","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","machrisae","Hyptis machrisae","Epling","Epling, C.","Dawson, E.Y.","14252","1956","04","15",NA,"Brasil","Goiás",NA,"Chapada dos Veadeiros","R000126886","R000126886_001 R000126886_002",NA,NA,NA,NA,NA,"1957","07","01","Holotypus","-47.5","-14.5","47°30'W","14°30'S"
