"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:41:25-03","E","E","162469","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","Fiebrig, K.","4982","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:170260","<a href=http://data.rbge.org.uk/herb/E00162469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:25-03","E","E","162466","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","Reineck, E.M. & Czermak., J.","326","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170263","<a href=http://data.rbge.org.uk/herb/E00162466 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","407208","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","G. G. Hatschbach","23204","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407208","Magnoliophyta","Malvales","R.E.Fr.","A. Krapovickas","1970","12","12","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","950","950","NY00407208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","407209","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","R. Reitz","5150","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407209","Magnoliophyta","Malvales","R.E.Fr.","P. A. Fryxell","1957","10","17","Santa Catarina","Campo Alegre",NA,"-49.2656","-26.1925","1000","1000","NY00407209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","407211","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","G. G. Hatschbach","22831","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407211","Magnoliophyta","Malvales","R.E.Fr.","A. Krapovickas","1969","11","05","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","900","900","NY00407211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","407210","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","B. Rambo","45491","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407210","Magnoliophyta","Malvales","R.E.Fr.",NA,"1950","01","18","Rio Grande do Sul","Bom Jesus","Aparados da Rocinha, pr. Bom Jesus","-50.4167","-28.6681",NA,NA,"NY00407210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:42:27-03","EAO","IAN","30929","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","EEllo","s.n.","Southern America","Brasil",NA,NA,NA,"IAN030929","Dicotiledônea",NA,"R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN030929_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:58-03","ESALQ","ESA","62500","PreservedSpecimen","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","Ribas, O.S.","2757.0",NA,"Brasil",NA,NA,NA,"ESA062500","Magnoliophyta",NA,"R.E.Fries","Hatschbach, G.","1998","10","18","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,"ESA062500","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:38:33-02","BGBM","B","B 10 0003809","S","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","Rambo","36597","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100003809 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100003809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B100003809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-19 08:08:12-03","FPS","FPS","3041","MachineObservation","Plantae","Malvaceae","Pavonia","lanata","Pavonia lanata","Schwirkowski, P.","2468",NA,"Brasil",NA,NA,NA,"FPS03041,ASE0041921,FURB55815,MBM423669",NA,NA,"R.E.Fr.","Schwirkowski, P.","2017","10","12","Santa Catarina","São Bento do Sul","Rio Vermelho, após as minas de caulim","-49.216471","-26.301231",NA,NA,"FPS03041_v01 FPS03041_v02 FPS03041_v03 FPS03041_v04 FPS03041_v05 FPS03041_v06 FPS03041_v07 FPS03041_v08 FPS03041_v09 FPS03041_v10 FPS03041_v11 FPS03041_v12 FPS03041_v13 FPS03041_v14 FURB55815",NA,NA,"2017","10","12","-49.216471","-26.301231","voucher","FURB 55815, ASE 40400, MBM 423669",NA,NA,NA,NA
