"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","class","order","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2008-05-27 22:02:00-03","MO","MOBOT","244893","PreservedSpecimen","Plantae","Poaceae","Merostachys","polyantha","Merostachys polyantha","McClure","Lima","Lima 62-4122","1962","8","24","South America","Brazil","São Paulo","Serra de Mongague, pr. Praia Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2959596","PreservedSpecimen","Plantae","Poaceae","Merostachys","polyantha","Merostachys polyantha","McClure","A. Lima","62-4122","1962","8","24","South America - Neotropics","Brazil","São Paulo","Serra de Mongague, pr. Praia Grande.","Monocotyledonae","Cyperales","Syntype","100","120","1","US00134249","US00134249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2959595","PreservedSpecimen","Plantae","Poaceae","Merostachys","polyantha","Merostachys polyantha","McClure","A. Lima","62-4122","1962","8","24","South America - Neotropics","Brazil","São Paulo","Serra de Mongague, pr. Praia Grande.","Monocotyledonae","Cyperales","Syntype","100","120","1","US00134250","US00134250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3048742","PreservedSpecimen","Plantae","Poaceae","Merostachys","polyantha","Merostachys polyantha","McClure","A. Lima","62-4122","1962","8","24","South America - Neotropics","Brazil","São Paulo","Serra de Mongague, pr. Praia Grande.","Monocotyledonae","Cyperales","Syntype","100","120","1","US00134248","US00134248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 10:15:59-03","IBt","SP","58722","S","Plantae","Poaceae","Merostachys","polyantha","Merostachys polyantha","McClure","Kuhlmann, M","s.n.","1954","11","26",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"SP036439","SP036439","Vinicius Silva, R","2017","06","29","Juquiá","-47.6300010681152","-24.3199996948242","32505","auto"
