"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","year","month","day","verbatimLongitude","occurrenceRemarks","barcode","phylum","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","verbatimLatitude","preparationType","class","order","individualCount"
"1","2020-11-04 10:56:01-03","ESALQ","ESA","134445","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Baitello, J.B.","2014","156.0","2013","01","21","23.38.25","Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 16570. Altura: 2.5m","ESA134445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:04-03","ESALQ","ESA","105461","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii",NA,"Baitello, J.B.","2002",NA,"2002","03","13",NA,NA,"ESA105461","Magnoliophyta","03","17","Aguiar, O.T.","Brasil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","ESA105461","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:04-03","ESALQ","ESA","51982","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Baitello, J.B.",NA,"404.0",NA,NA,NA,NA,"em clareira","ESA051982","Magnoliophyta",NA,NA,"Lima, R.A.F.","Brasil","São Paulo","Sete Barras","-47.9199981689453","-24.3799991607666","34059","ESA051982","auto","Parcela permanente - Parque Estadual de Carlos Botelho","400","400",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:04-03","ESALQ","ESA","109606","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii",NA,"Baitello, J.B.","2008","812.0","2008","05","17",NA,NA,"ESA109606","Magnoliophyta","06",NA,"Lima, R.A.F. ; Ivanauskas, N.M.","Brasil","São Paulo","Sete Barras","-47.9199981689453","-24.3799991607666","34059","ESA109606","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:23-02","BGBM","B","B 10 0185405","S","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez",NA,NA,"2926",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185405 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185405",NA,NA,NA,"C. W. H. Mosén","Brazil",NA,NA,NA,NA,NA,"B100185405 B100185405_1",NA,"Prov. S.Paulo ad Santos: Sorororaba in ripa amnis Baturoca?.",NA,NA,"isotype","Middle and South America",NA,NA,NA,NA,NA
"6","2020-12-20 21:18:05-03","UFV","VIC","17974","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez",NA,NA,"s.n.","1995","08","14",NA,"Altura de 20 m, P 4 n° 24","VIC017974",NA,NA,NA,"Ana Luiza","Brasil","Bahia",NA,NA,NA,NA,NA,NA,"FLONA Rio Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:32:36-03","UNICAMP","UEC","65933","S","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.","Van der Werff, H","1991","91","1985","11","25",NA,"Árvore em floresta alta, +ou- 32m de altura e fuste de +ou- 21, DAP 75 cm, 0 da copa +ou- 14m. Com flor e botão branco. Fuste cilíndrico e casca lisa.","UEC045343","Magnoliopsida","11","30","Farias, GL","Brazil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","UEC045343","auto","Est. Santa Terezinha, km 1,048, lado esquerdo.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:32:36-03","UNICAMP","UEC","66093","S","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.","Folli, DA","1991","491","1984","01","20",NA,"Árvore em Floresta Alta, +ou- 30m de altura e fuste de +ou- 21, DAP 74cm,) da copa +ou- 12m. Com fruto imaturo cor verde. Fuste cilínrico e casca escamosa.; Floresta Alta.","UEC045344","Magnoliopsida","12","10","Folli, DA","Brazil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","UEC045344","auto","Reserva Floresta da CVRD. Est. Paraju, ant. 211, Km 0,402, lado esquerdo.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:32:40-03","UNICAMP","UEC","70176","S","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Baitello, JB","1997","s.n.","1972","05","20",NA,"Árvore, 5m, flores creme. Nativo.","UEC133658","Magnoliopsida","05","22","Daniel, A","Brazil","São Paulo","Cabreúva","-47.1300010681152","-23.2999992370605","16877","UEC133658","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-27 10:25:23-03","UFES","VIES","31325","S","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teixeira",NA,NA,"121","2010","08","27",NA,NA,"VIES031325",NA,NA,NA,"Curto, R.A.; Martins, L.T.; Klippel, V.H. & Silva, A.E.","Brasil","Espírito Santo","Guaçuí","-41.6794013977051","-20.7756004333496","17884",NA,"auto","Floresta do Rosal.","650","650",NA,NA,NA,NA,NA,NA,NA
"11","2019-06-27 10:25:24-03","UFES","VIES","33263","S","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez",NA,NA,"25","2007","07","03",NA,NA,"VIES033263",NA,NA,NA,"Moreira, L.N.","Brasil","Espírito Santo","Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","VIES033263","auto","Floresta Nacional Pacotuba.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 11:06:02-03","UNESP-IBB","BOTUW","502","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teixeira",NA,NA,NA,NA,NA,NA,"40°32'W",NA,"BOTUW000502",NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"-40.533333","-19.866667",NA,NA,NA,"Comp. Vale do Rio Doce",NA,NA,NA,NA,"19°52'S",NA,NA,NA,NA
"13","2019-08-16 08:39:43-03","UTFPR","HCF","27334","S","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","M.L. Brotto","2017","2569","2017","12","16","48°33'11 W","árvore com 17 m de altura. Frutos maduros negros assentados sobre cúpulas vermelhas.",NA,NA,"12","18","M.L. Brotto","Brasil","PR","Paranaguá","-48.553056","-25.589444",NA,NA,NA,"Floresta Estadual do Palmito","23","23",NA,NA,"25°35'22 S",NA,NA,NA,NA
"14","2020-12-21 16:31:04-03","MBM","MBM","121169","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teixeira","Hoehne, W.",NA,"695","1941","08",NA,NA,NA,"MBM121169",NA,NA,NA,"Hoehne, W.","Brazil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","MBM121169","auto","Cidade Jardim",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
