"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","imagecode","individualCount","typeStatus"
"1","2019-08-27 13:26:08-03","IAP","PACA-AGP","95678","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Cyperales","Gramineae","Poa","bradei","Poa bradei","Pilg.","P. G. Windisch et al.","9633","2000","11","26","Brasil","MG","Camanducaia","Serra da Mantiqueira, Vila Monte Verde","-46.083333","-22.833333","46°05'W","22°50'S","1400","1600","HASU 10290 Habitat: Terrestre, barranco, margem de caminho","PACA095678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:26:08-03","IAP","PACA-AGP","8740","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Cyperales","Gramineae","Poa","bradei","Poa bradei","Pilg.","Rambo, B.",NA,"1942","01","14","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"Habitat: in humidis turfosis Fenofase: fruto","PACA008740","H. Longhi","1974","02","11","55856","auto",NA,NA,NA,NA
"3","2019-08-27 13:26:08-03","IAP","PACA-AGP","60045","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Cyperales","Gramineae","Poa","bradei","Poa bradei","Pilg.","Rambo, B.",NA,"1957","01","24","Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676",NA,NA,NA,NA,"Habitat: in campestribus subhumidis Fenofase: flor","PACA060045","Emrich-Rambo","1957","05","01","35974","auto",NA,NA,NA,NA
"4","2019-08-27 13:26:08-03","IAP","PACA-AGP","56414","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Cyperales","Gramineae","Poa","bradei","Poa bradei","Pilg.","Rambo, B.",NA,"1955","01","02","Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Habitat: in alte graminosis Fenofase: fruto","PACA056414","L. Parodi",NA,NA,NA,"76715","auto",NA,NA,NA,NA
"5","2019-08-27 13:26:08-03","IAP","PACA-AGP","60553","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Cyperales","Gramineae","Poa","bradei","Poa bradei","Pilg.","J. Mattos",NA,NA,NA,NA,"Brasil","SC","São Joaquim",NA,"-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"Habitat: in campestribus alte graminosis","PACA060553","Emrich-Rambo","1957","04","29","48290","auto",NA,NA,NA,NA
"6","2020-12-21 16:40:56-03","MBM","MBM","25420","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Poa","bradei","Poa bradei","Pilg.","Hatschbach, G.","3462","1956","10","29","Brazil","Paraná","Palmas","Arredores.","-51.9906005859375","-26.4841995239258",NA,NA,"1100","1100","Do capão.","MBM025420","Longhi-Wagner, H.","2008","10",NA,"46666","auto","Southern America","MBM025420",NA,NA
"7","2011-03-29 13:35:00-03","MO","MOBOT","1121955","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Poa","bradei","Poa bradei","Pilg.","Lyman B. Smith|Roberto M. Klein","Smith 13527","1964","12","4","Brazil","Santa Catarina",NA,"Mpio. Agua Doce: woods, Fazenda Esperanca Campos de Palmas, 6 km south of Horzonte (Parana).","-51.61666","-26.63333",NA,NA,"1100.00000000","1200.00000000",NA,NA,"R.J. Soreng",NA,NA,NA,NA,NA,"South America",NA,NA,NA
"8","2015-08-23 05:45:00-03","MO","MOBOT","1448113","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Poa","bradei","Poa bradei","Pilg.","S.A. Renvoize|Thomas A. Cope|Stephan G. Beck","Renvoize 4071",NA,NA,NA,"Bolivia","Cochabamba","Arani","Arani, Comarapa hacia Cochabamba",NA,NA,NA,NA,NA,NA,NA,NA,"R. J. Soreng",NA,NA,NA,NA,NA,"South America",NA,"1",NA
"9","2015-10-25 20:39:00-02","MO","MOBOT","244431","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Poa","bradei","Poa bradei","Pilg.","R. Pilger","Pilger s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Itatiaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","2478473","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Poa","bradei","Poa bradei","Pilg.","VALLA","VALLA 2876",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"São Francisco de Paula. Morro da Pera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA
