"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","class","order","imagecode","relatedCatalogItem","decimalLongitude","decimalLatitude","fieldNumber","sex","preparationType"
"1","2021-03-30 12:50:35-03","EAO","IAN","42689","PreservedSpecimen","Plantae","Dicotiledônea","Vochysiaceae","Erisma","megalophyllum","Erisma megalophyllum","Stafleu","Paula, JE de","1966","02","02","isotipo","Fróes, RL","23741","1948","12","18","Southern America","Brasil","Amazonas","Rio Solimões; igarape Belém. T.f., restinga, high forest, border of creek.","Tree, 18 mts. x 25 cm., yellowish flowers.","IAN042689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:08:09-03","NBC","NL-BOTANY","U 0007103","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Erisma","lanceolatum","Erisma lanceolatum","Stafleu","Shimizu GH","2012","10","01","holotype","Lemos Fróes R de",NA,"1948","12","18","Southern America","Brazil","Amazonas","Estado do AmazonasRio Solimoes; Igarapé Belém.","T.F., restinga, high forest, border of creek.terra firme, mata, beira de igarapé<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007103","Magnoliopsidae","Myrtales","NL-U0007103",NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:08:09-03","NBC","NL-BOTANY","U 0007104","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Erisma","lanceolatum","Erisma lanceolatum","Stafleu","Shimizu GH","2012","10","01","isotype","Lemos Fróes R de",NA,"1948","12","18","Southern America","Brazil","Amazonas","Estado do AmazonasRio Solimoes; Igarapé Belém.","T.F., restinga, high forest, border of creek.terra firme, mata, beira de igarapé<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007104 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007104","Magnoliopsidae","Myrtales","NL-U0007104","202398 B",NA,NA,NA,NA,NA
"4","2019-09-04 18:23:59-03","F","FMNH-SEEDPLANTS","V0074793F","PreservedSpecimen","Plantae","Spermatophyta","Vochysiaceae","Erisma","lanceolatum","Erisma lanceolatum",NA,NA,NA,NA,NA,"Isotype","R. de Lemos Fróes","12527","1941","4","27","South America","Brazil",NA,NA,NA,"V0074793F","Dicotyledoneae",NA,"V0074793F_01",NA,"-52.8731","-10.8339",NA,NA,NA
"5","2010-08-16 16:42:23-03","A","HU-HERB","A 00045204","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Erisma","lanceolatum","Erisma lanceolatum","Stafleu",NA,NA,NA,NA,"Holotype","B. A. Krukoff","12527/221","1942","4","27","South America","Brazil","Amazonas","Rio Castanha",NA,NA,NA,NA,NA,NA,NA,NA,"12527/221","undetermined","Sheet"
"6","2010-08-16 16:42:14-03","A","HU-HERB","A 00045205","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Erisma","lanceolatum","Erisma lanceolatum","Stafleu",NA,NA,NA,NA,"Isotype","B. A. Krukoff","12527/221","1942","4","27","South America","Brazil","Amazonas","Rio Castanha",NA,NA,NA,NA,NA,NA,NA,NA,"12527/221","undetermined","Sheet"
