"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","imagecode","decimalLongitude","decimalLatitude","county","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2020-09-23 10:40:11-03","E","E","259419","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis","isotype","Gardner, George","2720","E. Tropical South America","BR","Piauí","Piauhy","herbarium specimen of unspecif","BGBASE:270556","<a href=http://data.rbge.org.uk/herb/E00259419 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00894253","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"G. T. Prance","58563","South America","Brazil","Tocantins","West of Filadélfia, Serra de Mamoneira.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894253","Magnoliophyta","Laurales","(Meisn.) Mez","C. K. Allen","1964","08","05","NY00894253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00894250","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"P. W. Richards","6525","South America","Brazil","Mato Grosso","Near road, c. 2 km. S. of boundary of Fazenda Suiá Missú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894250","Magnoliophyta","Laurales","(Meisn.) Mez","S. S. Renner","1968","07","27","NY00894250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00894251","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"G. C. G. Argent","6721A","South America","Brazil","Mato Grosso","Base Camp Square, Terra preta camp.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894251","Magnoliophyta","Laurales","(Meisn.) Mez","S. S. Renner","1968","08","19","NY00894251_01","-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00894252","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"G. T. Prance","58563","South America","Brazil","Tocantins","West of Filadélfia, Serra de Mamoneira.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894252","Magnoliophyta","Laurales","(Meisn.) Mez","C. K. Allen","1964","08","05","NY00894252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:36:00-03","NY","NYBG","00894249","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"G. C. G. Argent","6384","South America","Brazil","Goiás","C. 1 km. East of Aragarças","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894249","Magnoliophyta","Laurales",NA,"S. S. Renner","1967","09","14","NY00894249_01","-52.25","-15.85","Aragarças",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","354892","PreservedSpecimen","Plantae","Lauraceae","Aydendron","piauhyense","Aydendron piauhyense","isotype","G. Gardner","2720","South America","Brazil","Piauí","Piauhy: sandy islands of Gurgêa.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354892","Magnoliophyta","Laurales","Meisn.",NA,"1836",NA,NA,"NY00354892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:39:05-03","EAO","IAN","145205","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"Richards, PW","6525","Southern America","Brasil","Mato Grosso","By road, c. 2km S. of boundary of Fazenda Suiá Missú. Low dry forest.",NA,NA,NA,"IAN145205","Dicotiledônea",NA,"Mez",NA,"1968","07","27",NA,NA,NA,"Xavantina","1980","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:39:05-03","EAO","IAN","88311","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"Macêdo, A","3876","Southern America","Brasil","Goiás",NA,NA,NA,"Árvore de cerrado, brancas.","IAN088311","Dicotiledônea",NA,"Mez","Moraes, PLR de","1955","07","23",NA,NA,NA,"Natividade","2004","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:35:06-03","NBC","NL-BOTANY","U.1400350","PreservedSpecimen","Plantae","Lauraceae","Aiouea","piauhyensis","Aiouea piauhyensis",NA,"Argent GCG",NA,"Southern America","Brazil",NA,"State of Mato Grosso. Expidition Base Camp, Loura Boeta, Base Camp Square, 'Terra preta camp'.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1400350 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1400350",NA,"Laurales","(Meisn.) Mez",NA,"1968","08","19","NL-U1400350","-51.766667","-12.816667",NA,NA,NA,"Magnoliopsidae","-51.766667","-12.816667",NA,NA,NA,NA,NA,NA,NA
