"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:33-03","E","E","84508","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","Munhoz, C.","270","1995","05","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93668","<a href=http://data.rbge.org.uk/herb/E00084508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","83718","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","35","1996","09","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92671","<a href=http://data.rbge.org.uk/herb/E00083718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3677847","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","I. Huamantupa Chuquimaco","7805","2006","06","25","South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3914179' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677847","Magnoliophyta","Myrtales","(Sm.) Triana","F. A. Michelangeli","Loreto","Loreto","Dist. Nauta, localidad de Yarina, Reserva Nacional Pacaya Samiria, río Yanacaco","-73.98361","-4.74555","120","120","NY03677847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00925162","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","J. H. Kirkbride Jr.","5016","1982",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925162","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Distrito Federal","Brasília","Parque Florestal do Gama","-48.05","-16.05","1000","1000","NY00925162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 06:46:00-03","NY","NYBG","01855650","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","T. B. Croat","98637","2007","09","15","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2121485' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855650","Magnoliophyta","Myrtales",NA,"F. A. Michelangeli","Zamora-Chinchipe",NA,"Vicinity of Las Orchideas, Cabañas Yankuam; along Río Nangaritza in secondary vegetation.","-78.65777","-4.25138","860",NA,"NY01855650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1281738","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","G. Pereira-Silva","15762","2010","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1741449' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281738","Magnoliophyta","Myrtales","(Sm.) Triana","F. A. Michelangeli","Rondônia",NA,"Porto Velho. Ramal Arrependido.","-64.705","-9.3222","90",NA,"NY01281738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4238693","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","F. A. Michelangeli","2756","2017","07","12","South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3397303' target='other'> <mi>dwc_moreinfo</mi></a>","NY04238693","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Pasco","Oxapampa","Palcazú, Parque Nacional Yanachaga-Chemillén, sector Paujil; claro en los alrededores de la estación","-75.2633","-10.3242","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00987978","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","G. T. Prance","5638","1968","07","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987978","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Rondônia",NA,"Road to Cassiterite Mines, in Serra dos Tres Irmãos, north bank of Rio Madeira, 8 Km above Mutumparaná",NA,NA,NA,NA,"NY00987978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00987887","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","I. L. do Amaral","639","1982","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987887","Magnoliophyta","Myrtales","(Sm.) Triana","S. S. Renner","Amazonas","Alvarães","Rio Solimões, margem direita, igarapé do Anuaã.","-64.833333","-3.216667",NA,NA,"NY00987887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3676784","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","F. Almeda","10397","2012","01","26","South America","Colombia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2789950' target='other'> <mi>dwc_moreinfo</mi></a>","NY03676784","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Chocó","Quibdó","Corregimiento Pacurita. Camino Quebrada Río Claro",NA,NA,NA,NA,"NY03676784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
