"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:35-03","UNESC","CRI","14219","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","Sobral, M","2010","01","21","Stival-Santos, A.; Legal, E. & Silveira, S.","1143","2009","10","31","Brasil","Santa Catarina","Botuverá","Salto Águas Negras. Salto Águas Negras.","-49.049167","-27.179722","49º2'57''W","27º10'47''S","219","219","Florística IFFSC 520 (Arbusto) Habitat: Floresta Ombrófila Densa Submontana; Estágio médio de regeneração; interior do fragmento Habito: arbustiva; Fruto verde alongados;","CRI013331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","6628","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"R. Reitz; R. M. Klein",NA,"1959","09","17","Brasil","Santa Catarina","Blumenau","Mata de campanhia Hering, Bom retiro.","-49.066389","-26.92","49º3'59''W","26º55'12''S","63","63","Habito: arvoreta","CRI004638","CRI004638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","2102","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"R. Reitz; R. M. Klein",NA,"1959","09","17","Brasil","Santa Catarina","Blumenau","mata de campanhia Hering, Bom Retiro.","-49.053333","-26.92","49º3'12''W","26º55'12''S","63","63","Habito: arvoreta","CRI004635","CRI004635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","6899","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"R. Reitz; R. M. Klein","4118","1959","09","17","Brasil","Santa Catarina","Blumenau",NA,"-49.071667","-26.916389","49º4'18''W","26º54'59''S",NA,NA,NA,"CRI004637","CRI004637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1039224","PreservedSpecimen","Plantae","Meliaceae","Trichilia","luciae","Trichilia luciae","Barreiros","J. M. A. Braga",NA,NA,NA,"G. Martinelli","10364","1984","11","21","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Mata secundaria entre o Centro de primat. e represa. Área FP 52.","-42.883","-22.483",NA,NA,"100",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039224","NY01039224_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1546588","PreservedSpecimen","Plantae","Meliaceae","Trichilia","luciae","Trichilia luciae","Barreiros",NA,NA,NA,NA,"G. Martinelli","10194[=herb. RB 232832]","1984","02","06","Brazil","Rio de Janeiro","Magé","IIIo Distrito, Paraíso, Centro de Primatolgia do Rio de Janeiro. Quadrat I.","-43.040599822998","-22.6527996063232",NA,NA,"250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1897675' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546588","NY01546588_01","Magnoliophyta","Sapindales","South America","sheet","paratype","20531","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1018178","PreservedSpecimen","Plantae","Meliaceae","Trichilia","luciae","Trichilia luciae","Barreiros",NA,NA,NA,NA,"C. M. Vieira","583","1994","05","27","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, margem do rio Pau Preto.","-42.3917","-22.6508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249592' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018178","NY01018178_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","401982","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","S. M. Silva",NA,NA,NA,"S. F. Athayde","205","1994","11","14","Brazil","Paraná","Guaraqueçaba","Morro do Quitumbê","-48.3218622","-25.2883181",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401982","NY00401982_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","401985","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.",NA,NA,NA,NA,"D. S. D. de Araújo","6742","1985","02","28","Brazil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Res. Biológ. Est. Praia do Sul","-44.28","-23.17",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401985","NY00401985_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","401991","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"G. G. Hatschbach","50693","1986","11","06","Brazil","Espírito Santo","Conceiçao do Castelo","Alto Bananal","-41.256612","-20.378333",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401991","NY00401991_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","776896","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"L. Rossi","2195","2000","09","21","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Poçao","-45.43","-23.58",NA,NA,"60","85","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776896","NY00776896_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","401986","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.",NA,NA,NA,NA,"R. M. Klein","253","1955","03","31","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí","-48.6617","-26.9081",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401986","NY00401986_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","401989","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.",NA,NA,NA,NA,"R. M. Klein","557","1953","08","13","Brazil","Santa Catarina","Brusque","Mata do Malucher, Brusque","-48.9172","-27.0983",NA,NA,"60","60","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401989","NY00401989_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","401988","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.",NA,NA,NA,NA,"R. Reitz","3036","1956","04","05","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401988","NY00401988_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01057486","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"D. A. Folli","2087","1993","11","22","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Aceiro com Caimã, após a Est. Caingá, lado direito.","-40.0719","-19.3911",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057486","NY01057486_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","298176","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"W. W. Thomas","11733","1998","02","07","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","-39.58","-15.17",NA,NA,"300","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298176","NY00298176_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01023587","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","27314","1932","01","14","Brazil","São Paulo",NA,"Jardim Botanico.","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196381' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023587","NY01023587_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","776895","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"I. Cordeiro","2335","2000","09","28","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha da Captaçao","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776895","NY00776895_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","401983","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"G. G. Hatschbach","49913","1985","10","18","Brazil","Espírito Santo","Conceiçao do Castelo","Alto Bananal","-41.256612","-20.378333",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401983","NY00401983_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01023588","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"J. Bowie","298","1814",NA,NA,"Brazil",NA,NA,"Brazil.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196382' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023588","NY01023588_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","401990","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"W. W. Thomas","10256a","1994","02","03","Brazil","Bahia","Itapetinga","Itapetinga, Parque da Matinha.","-40.2347","-15.2392",NA,NA,"270","270","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401990","NY00401990_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01096219","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.",NA,NA,NA,NA,"S. J. da Silva Neto","1477","2001","09","14","Brazil","Rio de Janeiro","Nova Iguaçú","Rebio tinguá, trilha Barrelão-Boa Esperança.","-43.4508","-22.7594",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235523' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096219","NY01096219_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","634386","PreservedSpecimen","Plantae","Meliaceae","Trichilia","silvatica","Trichilia silvatica","C.DC.","T. D. Pennington",NA,NA,NA,"A. M. Amorim","2674","1998","11","21","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca 7.5 km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso","-39.5286","-15.1581",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634386","NY00634386_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
