"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1145140","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Loasaceae","Aosa","uleana","Aosa uleana","(Urb. & Gilg) Weigend","R. H. Acuña-Castillo","J. C. Lindeman","5128","1967","04","15","South America","Brazil","Rio de Janeiro","Parque Nac. do Itatiaia, on rock by path to fall Veu da Noiva.","-44.6198","-22.4284","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145140","NY01145140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:04-03","UFRJ","RFA","240","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Loasa","uleana","Loasa uleana","Urb. & Gilg","M. G. Bovini; L. C. Giordano","P. Occhioni","965","1947","03","20",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, Lote 46","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Rupestre, flor alva","RFA48066",NA,"Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:42:19-03","EAO","IAN","31468","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loasaceae","Loasa","uleana","Loasa uleana","Gilg",NA,"Ule, EHG","3713",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN031468","IAN031468_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:31:41-03","MBM","MBM","5754","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Aosa","uleana","Aosa uleana","(Urb. & Gilg.) Weigend","Weigend, M.","Lindeman, J.; Haas, H.; Haas, H.","5128",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Parque Estadual do Itatiaia, Véu de Noiva","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"MBM005754","MBM005754","Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:37:11-03","UFMG","BHCB","185476","PreservedSpecimen","Plantae","Dicotyledon",NA,"Loasaceae","Aosa","uleana","Aosa uleana","(Urb. & Gilg.) Weigend",NA,"Siriani-Oliveira, S; Cerceau, I","246","2017","01","21","Southern America","Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, Trilha para Cachoeira do Itaporani","-45.035389","-22.718222",NA,NA,NA,"Erva; A planta ocorre em alguns pontos ao longo da trilha, bem como em clareiras na mata. Normalmente em afloramentos rochosos do sub-bosque. Intimamente associadas à serrapilheira.","BHCB185476",NA,"Itatiaia",NA,NA,"2017","01","21","-45.035389","-22.718222",NA,NA
"6","2020-06-15 15:31:00-03","UNESP-RC","HRCB","65154","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Aosa","uleana","Aosa uleana","Urb. & Gilg.","M.C. Vergne","Grupo Azul",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia - Trilha das Cachoeiras Véu da Noiva e Itaporani(1100m)","-44.619825","-22.428749","1081","1081",NA,NA,NA,NA,"Itatiaia",NA,NA,NA,NA,NA,"44°37'11.3694W","22°25'43.4958S",NA,NA
"7","2019-11-13 11:23:40-03","USP","SPF","169220","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Aosa","uleana","Aosa uleana","(Urb. & Gilg) Weigend","Weigend, M","Pirani, JR","5482","2005","04","15",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"SPF00169220",NA,"Itatiaia","19648","auto","2005",NA,NA,NA,NA,NA,NA
"8","2019-09-04 19:09:53-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Loasaceae","Loasa","uleana","Loasa uleana",NA,NA,"E. H. G. Ule","3713","1895","12",NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]"
"9","2021-02-23 13:22:36-03","MN","R-TIPOS","90367","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Loasa","uleana","Loasa uleana","Urb. & Gilg","Bovini, M. & Giordano, L.C.","Ule, E.H.G.","617 [=3713]","1895","12","26",NA,"Brasil","Rio de Janeiro","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","1500","1500",NA,NA,"R000090367","R000090367_001","Itatiaia","19648","auto","2003","03",NA,NA,NA,NA,"Isolectotypus"
"10","2014-10-09 13:58:23-03","UHH","HBG","522898","S","Plantae",NA,NA,"Loasaceae","Aosa","uleana","Aosa uleana","(Urb. & Gilg) Weigend","Weigend, M.","Ule, E.","3713","1895","12","26","South America","Brazil",NA,"Serra do Itatiaia, im Waldgebiet",NA,NA,"1500","1500",NA,NA,"HBG522898",NA,NA,NA,NA,"1998","10",NA,NA,NA,NA,"Lectotype"
