"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1522419","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","E. J. Lucas","J. R. Mattos","9165","1961","10","01","South America","Brazil","São Paulo","Cananéia","Ilha Comprida","-47.9197","-25.0103","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751678' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522419","NY01522419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02715602","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","M. Sobral","A. M. Amorim","2515","1998","09","13","South America","Brazil","Bahia","Porto Seguro","Parque Nacional de Monte Pascoal, área limitrofe entre o Parna e a Reserva Indígena Bara Velha, da tribo Pataxó","-39.2033815","-16.8700182","sheet","Site: MP <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623158' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715602","NY02715602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:07:06-03","NBC","NL-BOTANY","L.2527163","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima DF","Hatschbach GG",NA,"1962","09","30","Southern America","Brazil","Paraná",NA,"Paranaguá. Sitio do Meio.",NA,NA,NA,"Mata pluvial litoranea.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527163","NL-L2527163","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:07:06-03","NBC","NL-BOTANY","U.1450760","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima DF","Lindeman JC; Haas JH de",NA,"1966","10","03","Southern America","Brazil","Paraná",NA,"along road Praia de Leste-Morretes.",NA,NA,NA,"Coastal plain, restinga (lower forest) along road.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1450760","NL-U1450760","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:07:06-03","NBC","NL-BOTANY","U.1450761","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima DF","Hatschbach GG",NA,"1962","09","30","Southern America","Brazil","Paraná",NA,"Paranaguá. Sitio do Meio.",NA,NA,NA,"Mata pluvial litoranea.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450761 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1450761","NL-U1450761","Magnoliopsidae","U 0252859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:56-03","ESALQ","ESA","15794","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Hatschbach, G. ; Silva, J.M.","59753.0","1993","11","29",NA,"Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,"ESA015794","ESA015794",NA,NA,"2016","24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:56-03","ESALQ","ESA","4736","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Catharino, E.L.M. ; Jaramillo, C.B.J.","482.0","1985","09","18",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,"ESA004736","ESA004736",NA,NA,"2016","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:56-03","ESALQ","ESA","4735","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Catharino, E.L.M.","932.0","1986","09","06",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,"ESA004735","ESA004735",NA,NA,"2016","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:56:24-03","ESALQ","ESA","134169","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Caliari, C.P.","2734.0","2009","12","09",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,"ESA134169",NA,NA,NA,"2016","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:56-03","ESALQ","ESA","87926","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Lucas, E.J. et al.","60.0","2003","01","23",NA,"Brasil","São Paulo","Ilha do Cardoso",NA,NA,NA,NA,NA,"ESA087926","ESA087926",NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
