"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","dayIdentified","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182017","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(C.K.Allen) Taub.","C. K. Allen","A. F. M. Glaziou","11470","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391332' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182017","NY01182017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1182018","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(C.K.Allen) Taub.","C. K. Allen","A. F. M. Glaziou","12125","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391334' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182018","NY01182018_01","1880","02","08","Rio de Janeiro","Petrópolis","Alto da Imperatriz.","-43.1786","-22.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","355948","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Silvia","navalium","Silvia navalium","Meisn.",NA,"F. F. Allemão","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355948","NY00355948_01",NA,NA,NA,NA,NA,"In mont. circa Rio de Janeiro.",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:39:12-03","EAO","IAN","93769","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","Meisn.",NA,"Glaziou, AFM","12129","Southern America","Brasil",NA,NA,"IAN093769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:35:42-03","NBC","NL-BOTANY","L.1802490","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(Allemão) Taub. ex Mez",NA,"Glaziou AFM",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1802490 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1802490","NL-L1802490","1879","05","01",NA,NA,"Rio Jan. Cheresopols.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:35:42-03","NBC","NL-BOTANY","U.1406232","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(Allemão) Taub. ex Mez",NA,"Unreadable",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1406232 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1406232","NL-U1406232","1935","01","01",NA,NA,"Est. do Rio, G. Portella, Honte Sinai.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:35:42-03","NBC","NL-BOTANY","U.1406233","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(Allemão) Taub. ex Mez",NA,"Unknown",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1406233 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1406233","NL-U1406233","1933","01","30",NA,NA,"Tapiuihoam?",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:35:42-03","NBC","NL-BOTANY","U.1406234","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(Allemão) Taub. ex Mez",NA,"Machado J; Nunes",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1406234 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1406234","NL-U1406234","1935","01","01",NA,NA,"Est. do Rio, Fazendra Rocha negra, G. Portella.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:38:10-03","UFJF","CESJ","X-154","PreservedSpecimen","Plantae","Angiosperma",NA,"Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(Allemao) Taub. ex Mez",NA,"?","s.n.",NA,"?",NA,"Nome vulgar:Árvore com 25mx10cm.Madeira amarela olivácea,muito dura,pesada,não absorve umidade.","CESJ00X154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:30:36-03","UFRRJ","RBR","27974","S","Plantae",NA,NA,"Lauraceae","Mezilaurus","navalium","Mezilaurus navalium","(Allemão) Taub. ex Mez",NA,"H.C. Lima","5861",NA,"Brasil",NA,NA,"RBR00027974","RBR00027974","2001","09","12","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Pedra 90, picada para o Pico do Tinguá Elev.:861-930 msm, (22º35#?#17#?##?#S, 43º28#?#6#?##?#W) Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
