"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","371934","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","M. L. Kawasaki","M. Kuhlmann","3453","1945","04","16","South America","Brazil","São Paulo","Sao Paulo","Jardim Botânico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371934","NY00371934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","371940","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","F. A. Stafleu","F. C. Hoehne","28696","1932","04","05","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","sheet 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371940","NY00371940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","371936","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","P. K. H. Dusén","G. Jönsson","290a","1914","08","05","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371936","NY00371936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","371939","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","F. A. Stafleu","F. C. Hoehne","28696","1932","04","05","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371939","NY00371939_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","371938","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","L. B. Smith; S. F. Smith","G. G. Hatschbach","19189","1968","05","07","South America","Brazil","Paraná","Rio Branco do Sul","Curiola","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371938","NY00371938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","371937","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","G. G. Hatschbach","G. G. Hatschbach","39885","1977","05","03","South America","Brazil","Paraná","Cerro Azul","Bei Perdido","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371937","NY00371937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","371941","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","G. G. Hatschbach","G. G. Hatschbach","19189","1968","05","07","South America","Brazil","Paraná","Rio Branco do Sul","Curiola","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371941","NY00371941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","589246","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","K. Yamamoto","M. Sakane","324","1975","06","10","South America","Brazil","São Paulo",NA,"Capital, Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00589246","NY00589246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","822723","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.",NA,"D. Schiesinsky","s.n.","1991","04","28","South America","Brazil","Paraná","Ponta Grossa","Parque Estadual Vila Velha","-49.98","-25.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822723","NY00822723_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","371935","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","M. C. Vianna","H. Q. B. Fernandes","1912","1986","04","16","South America","Brazil","Espírito Santo","Santa Teresa","Pedra da Onça","-40.6003","-19.9358","sheet","Dupl.: GUA, CEPEC <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371935","NY00371935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-13 09:21:05-03","UFRJ","RFA","19736","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","G.G. Hatschbach","G.G. Hatschbach","39885","1977","05","03",NA,"Brasil","Paraná","Cerro Azul","Boi Perdido","-49.261100769043","-24.823600769043",NA,"Árvore 10 m, flores amarelas","RFA51096",NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:21:05-03","UFRJ","RFA","8818","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","magnifica","Vochysia magnifica","Warm.","G.G. Hatschbach","G.G. Hatschbach","19189","1968","05","07",NA,"Brasil","Paraná","Rio Branco do Sul","Curiola","-49.3142013549805","-25.1900005340576",NA,"Árvore 8 m, flor amarela","RFA51099",NA,"37352","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
