"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","typeStatus","individualCount"
"1","2021-04-05 14:25:45-03","UNESC","CRI","687","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1037","1991","04","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005707","CRI005707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:45-03","UNESC","CRI","14176","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Aline Votri Guislon","Aline Votri, Lucas Oliveira & Renato Colares",NA,"2018","11","28","Brasil","Santa Catarina","Criciúma","APAMAE Bairro Sangão APAMAE","-49.389722","-28.743889","49º23'23''W","28º44'38''S","28","28","CRI012829","CRI012829","2018","12","12","Fruto cor verde. Habitat: Epífita Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","625793","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","G. F. J. Pabst","R. Reitz","1792","1954","04","28","Brazil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.6617","-26.9081",NA,NA,"100","100","NY00625793","NY00625793_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150918' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625794","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","G. F. J. Pabst","G. G. Hatschbach","15614","1966","01","03","Brazil","Paraná","Paranaguá","Morro Tabaquara.","-48.5092","-25.5203",NA,NA,NA,NA,"NY00625794","NY00625794_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150917' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:09:45-03","UNESP-IBB","BOTU","22842","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne",NA,"Amaral Jr., A.","368","1999","04","10","Brasil","São Paulo","Presidente Epitácio",NA,"-52.059139","-21.725778","52°03'32,9w","21°43'32,8s",NA,NA,"BOTU022842",NA,NA,NA,NA,"Trepadeira estéril.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","30903","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Amaral Jr., A.","Amaral Jr., A.","1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,"BOTU030903",NA,"1973","02","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","6581","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Fraga.","Amaral Jr., A.","1347","1973","01","03","Brasil","São Paulo","Botucatu","Fazenda Mac, a + - 15 km de Botucatu, pela estrada de Pardinho",NA,NA,"9999","9999",NA,NA,"BOTU006581",NA,"2000","03","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:36-03","UFRJ","RFA","9110","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","G.G. Hatschbach","G.G. Hatschbach","15614","1966","01","03","Brasil","Paraná","Paranaguá","Morro Tabaquara","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"RFA31906",NA,"1967",NA,NA,"Trepadeira, sépalas e pétalas verdes com labelo alvescente",NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"9","2020-06-29 11:31:49-03","UFRJ","RFA","6616","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne",NA,"Reitz; Klaein","1792","1954","04","28","Brasil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6618995666504","-26.9078006744385",NA,NA,"100","100","RFA31909",NA,NA,NA,NA,"Liana, flor verde; labelo branco",NA,NA,NA,NA,"27253","auto",NA,NA,NA,NA,NA
"10","2020-02-08 08:47:01-03","NBC","NL-BOTANY","U.1468959","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Pabst GFJ","Hatschbach GG; Lindeman JC; Haas JH de",NA,"1967","01","03","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1468959","NL-U1468959",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1468959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asparagales","Southern America",NA,NA,NA,"Magnoliopsidae","U 0101470",NA,NA,NA
"11","2020-02-08 08:47:01-03","NBC","NL-BOTANY","U.1468960","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Pabst GFJ","Hatschbach GG; Lindeman JC; Haas JH de",NA,"1967","01","03","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1468960","NL-U1468960",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1468960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asparagales","Southern America",NA,NA,NA,"Magnoliopsidae","U 0101471",NA,NA,NA
"12","2020-02-08 08:47:01-03","NBC","NL-BOTANY","U.1468961","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne",NA,"Reitz R; Klein RM",NA,"1954","04","28","Brazil",NA,NA,"Santa Catarina, Morro da Fazenda, Itajai, Mata.",NA,NA,NA,NA,NA,NA,"NL-U1468961","NL-U1468961",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1468961 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asparagales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2021-03-31 13:41:19-03","MN","R","223039","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Pessoa, E.","Figueiras, T.S.","1270","1987","05","20","Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,"2013","09","04","Fundação Instituto Brasileiro de Geografia e Estátistica/Herbário da Reserva Ecológica do IBGE",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA
"14","2021-03-31 13:41:19-03","MN","R","223038","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Pessoa, E.","Dressler, R.L.; Emmerich, M.","2988","1966","02","02","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,"2013","09","04","Plants of Brasil",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"15","2021-03-31 13:41:19-03","MN","R","43793","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne",NA,"Velloso, H.P.",NA,"1943","02","11","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"16","2019-12-19 08:15:26-03","FPS","FPS","2777","MachineObservation","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Schwirkowski, P.","Schwirkowski, P.","2205","2017","01","22","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Beira de estrada","-49.313235","-26.331255","-49.313235","-26.331255",NA,NA,"FPS02777,FURB55736","FPS02777_v01 FPS02777_v02 FPS02777_v03 FPS02777_v04 FPS02777_v05 FPS02777_v06 FPS02777_v07 FPS02777_v08 FPS02777_v09 FPS02777_v10 FPS02777_v11 FPS02777_v12 FURB55736","2017","01","21","<ll>dwc_commonname:</ll> Baunilha-do-cerrado",NA,NA,NA,NA,NA,NA,NA,"FURB 55736","voucher",NA,NA
"17","2019-08-27 13:26:39-03","IAP","PACA-AGP","93611","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","Walter Nunes","M. Haussen",NA,"1989","06","10","Brasil","RS","Porto Alegre","Morro do Osso","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"PACA093611",NA,NA,NA,NA,"HEDU 392 Habitat: No interior da mata","Magnoliophyta","Orchidales",NA,NA,"29946","auto","Liliatae",NA,NA,NA,NA
"18","2019-08-27 13:26:39-03","IAP","PACA-AGP","261","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","G. Pabst","Rambo, B.",NA,"1933","01","05","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"PACA000261",NA,"1954","09","04","Habitat: In silva campestri Fenofase: flor","Magnoliophyta","Orchidales",NA,NA,"29946","auto","Liliatae",NA,NA,NA,NA
"19","2019-08-27 13:26:39-03","IAP","PACA-AGP","66105","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne","G. Pabst","Reitz & Klein","1792","1954","04","28","Brasil","SC","Itajaí","Morro da Fazenda","-48.6618995666504","-26.9078006744385",NA,NA,NA,NA,"PACA066105",NA,"1954",NA,NA,"HBR 7999 Habitat: Mata","Magnoliophyta","Orchidales",NA,NA,"27253","auto","Liliatae",NA,NA,NA,NA
"20","2021-04-07 11:46:53-03","UFMS","CGMS","8211","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","edwallii","Vanilla edwallii","Hoehne",NA,"A. Amaral-Júnior; J.O. Mendonça; S.B. Barbosa; C.J. Campos","368","1999","04","10","Brasil","São Paulo","Presidente Epitácio","Subindo a margem esquerda do Rio Paraná.","-52.0533333","-21.7225","-52,0533333","-21,7225",NA,NA,"CGMS1015767",NA,NA,NA,NA,"Estéril.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
