"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","individualCount","class","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","520861","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","sparsisetulosa","Leandra sparsisetulosa","Hoehne","M. Reginato","G. Eiten","6379","1965","10","28","South America","Brazil","São Paulo","Santo André","0.5 km west of Campo Grande RR station on Santos-Jundiaí railroad line. Several km west ofvillage of Paranapiacaba","-46.5297","-23.66","760","760","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520861","NY00520861_01",NA,NA,NA,NA,NA
"2","2019-08-02 11:12:00-03","MO","MOBOT","101147088","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","sparsisetulosa","Miconia sparsisetulosa","(Hoehne) R. Goldenb.","fide Michelangeli et al.","F.C. Hoehne","Hoehne s.n.","1920","12","23","South America","Brazil","São Paulo",NA,"Alto da Serra, Caminho do Mar",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2687711","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","sparsisetulosa","Leandra sparsisetulosa","Hoehne",NA,"G. Eiten","6379","1965","10","28","South America - Neotropics","Brazil","São Paulo","Santo André","1/2km west of Campo Grande RR station on Santos-Jundiaí railroad line. Severak km west of village of Paranapiacaba","-46.5299987792969","-23.6599998474121","760",NA,NA,NA,"US01904653","US01904653_01 US01904653_02",NA,"1","Dicotyledonae","27258","auto"
"4","2019-11-21 10:09:54-03","IBt","SP","4673","S","Plantae",NA,NA,"Melastomataceae","Leandra","sparsisetulosa","Leandra sparsisetulosa","Hoehne",NA,"Hoehne, FC","s.n.","1920","12","23",NA,"Brasil","São Paulo",NA,"Alto da Serra, Caminho do Mar",NA,NA,NA,NA,NA,NA,"SP003274","SP003274","Holotype",NA,NA,NA,NA
