"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1006180","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","B. M. Boom","J. R. Pirani","1203","1985","10","10","South America","Brazil","Mato Grosso","Santa Terezinha","perto da cidade, em pequena elevação à margem do Rio Araguaia.","-50.5","-10.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106341' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006180","NY01006180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1006179","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.",NA,"B. A. Krukoff","2031","1933","03","11","South America","Brazil","Maranhão",NA,"on the bank of the River Mearim.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106329' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006179","NY01006179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1034023","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","J. H. Kirkbride Jr.","G. G. Hatschbach","25286","1970","10","28","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Fda. Progresso.","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034023","NY01034023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1034021","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","P. G. Delprete","H. Ferreira","3602","1998","10","02","South America","Brazil","Goiás","Goiânia","ao lado do [?] di Roma.","-49.2539","-16.6786","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034021","NY01034021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1113883","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.",NA,"H. Ferreira","2093","1989","10","21","South America","Brazil","Goiás",NA,"Parque Nacional dos Emos Area 3 (Fora).",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1252823' target='other'> <mi>dwc_moreinfo</mi></a>","NY01113883","NY01113883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1033523","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","B. M. Boom","C. A. Cid Ferreira","6404","1985","10","10","South America","Brazil","Mato Grosso","Santa Terezinha","Faz. Codeara. Serra da Viúva, a 12 km S da Cidade.","-50.58","-10.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222220' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033523","NY01033523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1034022","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","P. G. Delprete","J. C. Gomes","2369","1964","10","20","South America","Brazil","Mato Grosso do Sul",NA,"Três Lagoas, Fazenda Dr. José Mendes.","-40.48","-12.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229526' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034022","NY01034022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1033525","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","P. G. Delprete","P. G. Delprete","6802","1998","10","02","South America","Brazil","Goiás","Mineiros","Parque Nacional das Emas. Área de cerrado perto do Rio Jacuba.","-52.5508","-17.5694","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222224' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033525","NY01033525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","17085","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Tocoyena","sprucei","Tocoyena sprucei","Steyerm.",NA,"R. Spruce","s.n.","1849","11",NA,"South America","Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,"sheet","Presumably: Spruce 358 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00017085","NY00017085_01","probable isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:10:08-03","UNESP-IBB","BOTU","21945","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.",NA,"Amaral Jr., A.","38","1998","10",NA,NA,"Brasil","Mato Grosso do Sul","Três Lagoas",NA,"-51.716667","-20.816667",NA,"Arbusto 2-3m de altura, flores amarelas","BOTU021945",NA,NA,"51°43'w","20° 49' s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","4794","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","Melo, R.M.","Melo, R.M.; Pinto, J.C.","S/N","2017","07","17",NA,"Brasil","Piauí","Caxingó","Fazenda Trapiá","-41.779489","-3.3625",NA,"<ll>dwc_commonname:</ll> Jenipapinho","HDELTA004794",NA,NA,"41°46'46,16''W","03°21'45,00''S","2017","07","17",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:32:26-03","UFRJ","RFA","17399","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Tocoyena","brasiliensis","Tocoyena brasiliensis","Mart.","C.T. Rizzini","F.B. Ramalho","297","1973","11","29",NA,"Brasil","Piauí","São Francisco do Piauí","Fazenda Serrinha","-42.5433006286621","-7.25138998031616",NA,"Árvore ca. 8 m altura, flores amarelas, perfumadas, madeira mole","RFA14523",NA,NA,NA,NA,"1974","09","25","32757","auto",NA,NA,NA,NA,NA,NA
