"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2723","S","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Fernando Campos","2011","12","Fernando Campos;","2011","12","Brasil","Minas Gerais","Bom Sucesso","-44.7580986022949","-21.0331001281738","22016","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01405743","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","A. C. Cervi",NA,NA,"W. R. Anderson","1972","02","Brazil","Minas Gerais",NA,"-43.6836","-18.41575",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989297' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"35316","04","South America","Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina","1220","1220","sheet","NY01405743","NY01405743_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00955139","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","A. P. Duarte",NA,NA,"A. P. Duarte","1946","11","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022893' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"636","25","South America",NA,NA,NA,"sheet","NY00955139","NY00955139_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1144345","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.",NA,NA,NA,"T. S. Nunes","2007","08","Brazil","Espírito Santo","Linhares","-39.961174","-19.138199",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289482' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1813A","21","South America","Reserva Biológica. Vale do Rio Doce.",NA,NA,"sheet","NY01144345","NY01144345_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1127781","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","J. da Costa Sacco",NA,NA,"H. S. Irwin","1968","02","Brazil","Minas Gerais",NA,"-43.55","-18.55",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266348' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20771a","24","South America","Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","1200","1200","sheet","NY01127781","NY01127781_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:09:45-03","UNESP-IBB","BOTU","27911","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Ishara, K.L.",NA,NA,"Ishara, K.L.","2008","01","Brasil","São Paulo","Pratânia","-48.733333","-22.8",NA,NA,"Trepadeira, flores brancas, corona branca e roxa, odor adocicado",NA,"236","07",NA,"Fazenda Palmeira da Serra",NA,NA,NA,"BOTU027911",NA,"48°44'w","22°48's",NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","12585","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Cervi, A.C.","1996","10","Gemtchújnicov, I.D.","1972","01","Brasil","Pernambuco","Garanhuns",NA,NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,"BOTU012585",NA,"9999","9999","02",NA,NA,NA,NA,NA
"8","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","7508","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, L.C.","2003","03","Uliana, S.L.B.","1979","12","Brasil","São Paulo","Laranjal Paulista",NA,NA,NA,NA,NA,NA,"42","02",NA,NA,NA,NA,NA,"BOTU007508",NA,"9999","9999","17",NA,NA,NA,NA,NA
"9","2020-06-29 11:31:52-03","UFRJ","RFA","30844","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Michaele Milwards",NA,NA,"R.A. Kaustky","2002","00","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150",NA,NA,"auto","1082","00",NA,"Propriedade de Walter Scneider, local conhecido por 'Galo'","850","850",NA,"RFA20422",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:25:38-03","PUCPR","HUCP","21955","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Cervi, AC",NA,NA,"Selusniaki, M","2006",NA,"Brasil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840",NA,NA,"auto","s.n.",NA,NA,"Mato Dentro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
