"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","class","relatedCatalogItem","fieldNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1842918","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke","isotype","W. A. Ducke","1937[= herb. RB 34667]","1935","09","22","South America","Brazil","Amazonas","Curuhy, Rio Negro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2079016' target='other'> <mi>dwc_moreinfo</mi></a>","NY01842918","NY01842918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 00:04:00-03","NY","NYBG","988","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","decorticans","Qualea decorticans",NA,"isolectotype","W. A. Ducke","RB-34667","1935","09","22","South America","Brazil","Amazonas","Cuchy, Rio Negro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=284653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000988","NY00000988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-26 23:57:00-03","NY","NYBG","989","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","decorticans","Qualea decorticans",NA,"isolectotype","W. A. Ducke","RB-34667","1935","09","22","South America","Brazil","Amazonas","Cuchy, Rio Negro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=284654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000989","NY00000989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:50:38-03","EAO","IAN","50513","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke","isotipo","Ducke, A","s.n.","1935","09","22","Southern America","Brasil","Amazonas","Cucuí; mata de terra firme; perto das pedras.",NA,"Árvore grande; calice azul violaceo; petala rosea.","IAN050513",NA,"Stafleu, FA","1951",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:08:15-03","NBC","NL-BOTANY","U 0007115","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke","isotype","Ducke A",NA,"1935","09","22","Southern America","Brazil","Amazonas","Cucuhy, Rio Negro (civ. Amazonas)",NA,"silva non inundabili<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007115","NL-U0007115","Stafleu FA",NA,"Magnoliopsidae","41163 A",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:08:15-03","NBC","NL-BOTANY","U 0007116","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke","isotype","Ducke A",NA,"1935","09","22","Southern America","Brazil","Amazonas","Cucuhy, Rio Negro (civ. Amazonas)",NA,"silva non inundabili<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007116 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007116","NL-U0007116","Stafleu FA",NA,"Magnoliopsidae","10238 B",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 07:04:27-03","MNHN","RECOLNAT_MNHN_P","P00733760","PreservedSpecimen",NA,NA,NA,"Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke","isotype","Ducke, A.",NA,"1935","9","22",NA,"Brazil",NA,"Cucuhy, Rio Negro (civ. Amazonas)","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733760' target='other'> <mi>dwc_moreinfo</mi></a>","P00733760","P00733760_01","Ducke",NA,NA,NA,"34667",NA,NA,NA,NA,NA,NA
"8","2021-01-10 20:47:11-03","INPA","INPA","246859","S","Plantae","Dicotyledon Com-Clade","Myrtales","Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke",NA,"Ducke, A","JB34667","1935","09","22","Southern America","Brasil","Amazonas","Cucuí, Rio Negro.",NA,NA,"INPA0246859","INPA0246859 INPA0246859_e INPA0246859_num",NA,NA,NA,NA,NA,"São Gabriel da Cachoeira","-66.85","1.2","-66.85","1.2",NA
"9","2020-09-12 05:00:02-03","US","US","1740282","PreservedSpecimen","Plantae",NA,"Polygalales","Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke","Isotype","A. Ducke","34667","1935","9","22","South America - Neotropics","Brazil","Amazonas","Cucuhy, Rio Negro.",NA,NA,"US00108847","US00108847_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"10","2019-11-21 10:19:52-03","IBt","SP","444442","S","Plantae",NA,NA,"Vochysiaceae","Qualea","decorticans","Qualea decorticans","Ducke","Isotype","Ducke, A","s.n.","1935","09","22",NA,"Brasil","Amazonas","Cucuhy, Rio Negro",NA,NA,"SP001861","SP001861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
