"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","locality","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:25:31-03","UNESC","CRI","11968","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","Rafael Martins","2011","12","07","Peterson Teodoro Padilha; Thiago Disner & Rafael Martins","2011","12","07","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","Habito: Árvore","CRI010114","CRI010114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:31-03","UNESC","CRI","9147","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","Daniel B. Falkenberg",NA,NA,NA,"Daniel B. Falkenberg","1991","09","05","Brasil",NA,"Brasil","-48.778889","-27.688611","48º46'44''W","27º41'19''S","600","600",NA,"CRI004429","CRI004429","5539","Trilha na Serra do Tabuleiro, após a propriedade do seu Romualdo, Vargem do Braço.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:31-03","UNESC","CRI","11968","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","Rafael Martins","2011","12","07","Peterson Teodoro Padilha; Thiago Disner & Rafael Martins","2011","12","07","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","Habito: Árvore","CRI010114","CRI010114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:31-03","UNESC","CRI","9147","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","Daniel B. Falkenberg",NA,NA,NA,"Daniel B. Falkenberg","1991","09","05","Brasil",NA,"Brasil","-48.778889","-27.688611","48º46'44''W","27º41'19''S","600","600",NA,"CRI004429","CRI004429","5539","Trilha na Serra do Tabuleiro, após a propriedade do seu Romualdo, Vargem do Braço.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:32-03","E","E","196778","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides",NA,NA,NA,NA,NA,"Bohrer, C.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00196778 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196778",NA,"83",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:228526",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:32-03","E","E","196778","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides",NA,NA,NA,NA,NA,"Bohrer, C.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00196778 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196778",NA,"83",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:228526",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","521228","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","A. C. Brade",NA,NA,NA,"R. M. Klein","1955","09","29","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"20","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521228","NY00521228_01","1623","Cunhas","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","521235","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","R. Goldenberg",NA,NA,NA,"F. C. Hoehne","1931","10","26","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521235","NY00521235_01","28398","Parque do Estado","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521238","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","R. Goldenberg",NA,NA,NA,"J. G. Kuhlmann","1935","12","16","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521238","NY00521238_01","2475","Fazenda Uniao Viçosa - Minas","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02499372","PreservedSpecimen","Plantae","Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Triana","R. Goldenberg",NA,NA,NA,"R. Goldenberg","2014","02","22","Brazil","Bahia","Boa Nova","-40.129","-14.41108",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2299315' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499372","NY02499372_01","1785","Trilha da Farofa; floresta úmida em encosta","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
