"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","county","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2016-09-27 02:56:00-03","NY","NYBG","58238","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","W. E. Broadway","s.n.","1913","04","21","South America","Trinidad and Tobago","Tobago","Lot 42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058238","NY00058238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4098055","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","J. A. Steyermark","58","1960","04","13","South America","Venezuela","Bolívar","Cerro la Danta: northwest of Cerrro Venamo, wooded quebrada, northern slopes, headwaters of Río Venamo, west of vicinity of road campamento 125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4417910' target='other'> <mi>dwc_moreinfo</mi></a>","NY04098055",NA,"(Jacq.) Schltr.","1040","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4098058","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","J. A. Steyermark","89101","1961","02","05","South America","Venezuela","Bolívar","Cloud forest on summit of southeast-facing escarpment, east of Cerro El Picacho, N. of Las Nieves and Las Chicharras, 45 kms N of Tumeremo, vicinity of Dehorah. Altiplanicie de Nuria","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4417913' target='other'> <mi>dwc_moreinfo</mi></a>","NY04098058",NA,"(Jacq.) Schltr.","600","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1721949","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","G. T. Prance","16092","1971","11","05","South America","Brazil","Amazonas","Summits of Serra Curicuriari","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044427' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721949","NY01721949_01","(Jacq.) Schltr.",NA,NA,"-66.8300056","-0.3263238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4098057","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","J. A. Steyermark","88120","1960","12","16","South America","Venezuela","Bolívar","Between junction with Río Reforma and 1 km. below junction, along river. Rio Toro (Rio Grande), between Rio Reforma and Puerto Rico, north of El Plamar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4417912' target='other'> <mi>dwc_moreinfo</mi></a>","NY04098057",NA,"(Jacq.) Schltr.","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4098041","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","S. A. Mori","18646","1987","08","06","South America","French Guiana","Cayenne","Mont Galbao Trail. Between village and entrance to Grand Boeuf Mort Trail","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4417896' target='other'> <mi>dwc_moreinfo</mi></a>","NY04098041","NY04098041_01","(Jacq.) Schltr.","200","250","-53.2","3.62","Saül",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4098039","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","K. M. Redden","3845","2006","08","28","South America","Guyana","Potaro-Siparuni","Kaieteur National Park. Above falls.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4417894' target='other'> <mi>dwc_moreinfo</mi></a>","NY04098039",NA,"(Jacq.) Schltr.","438",NA,"-59.4908","5.1736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4098035","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","T. W. Henkel","1073","1993","01","28","South America","Guyana",NA,"Region: Potaro-Siparuni. Pakaraima Mts, S rim, summit ridge, Cipo Mt, ±2-4 km from headwaters of Cipo Creek.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4417890' target='other'> <mi>dwc_moreinfo</mi></a>","NY04098035",NA,"(Jacq.) Schltr.","1250",NA,"-60.08","4.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","58277","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","Baptiste","s.n.","1911",NA,NA,"South America","Trinidad and Tobago",NA,"Trinidad. Santa Cruz [Orthography ?]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058277","NY00058277_01","(Jacq.) Schltr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4098059","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Jacquiniella","globosa","Jacquiniella globosa","E. P. Killip","11101","1922","09","06","South America","Colombia","Valle del Cauca","Espinal, below Dagua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4417914' target='other'> <mi>dwc_moreinfo</mi></a>","NY04098059",NA,"(Jacq.) Schltr.","600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
