"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:49-03","E","E","312800","PreservedSpecimen","Plantae","Leguminosae","Senna","cana","Senna cana","Stannard, B.; Ganev, W.; Queiroz, R.F.","51945","1992","03","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314844","<a href=http://data.rbge.org.uk/herb/E00312800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:49-03","E","E","312917","PreservedSpecimen","Plantae","Leguminosae","Senna","cana","Senna cana","Harley, R.M.; Sakuragui, C.M.; Sano, P.T.; Atkins, S.; Souza, V.C.","14567","1994","02","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315252","<a href=http://data.rbge.org.uk/herb/E00312917 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","582764","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana hypoleuca","R. M. Harley","15373","1974","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582764","Magnoliophyta","Fabales","hypoleuca","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","Bahia","Rio de Contas","About 3 km N. of the town of Rio de Contas","-41.83","-13.58","980","980","NY00582764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00980008","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","G. Eiten","10549","1970","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980008","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby",NA,"Maranhão","Lorêto","Ilha de Balsas region, ± 35 km S. of Loreto. In Chapada das Traíras","-45.1408","-7.0844","300","300","NY00980008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","582711","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","R. M. Harley","21086","1980","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582711","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Caetité","Serra Geral de Caetité ca. 5 km S. from Caetité along the Brejinhos das Ametistas road","-42.48","-14.12","1000","1000","NY00582711_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4848","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana phyllostegia","E. Pereira","9658","1965","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004848","Magnoliophyta","Fabales","phyllostegia","H.S.Irwin & Barneby",NA,"Bahia",NA,"Entre Itiruçú e Maracás.",NA,NA,NA,NA,"NY00004848_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","582727","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana calva","J. R. Pirani","18491","1981","07","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582727","Magnoliophyta","Fabales","calva","H.S.Irwin & Barneby","R. C. Barneby","Bahia","Mucugê","Estrada Andaraí-Mucugê, próximo ao rio Paraguaçu","-41.3706","-13.0056",NA,NA,"NY00582727_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","582753","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","H. S. Irwin","14487","1966","04","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582753","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","Goiás","Posse","Rio da Prata, ca. 6 km S. of Posse","-46.3692","-14.0933","800","800","NY00582753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","582719","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","G. Martinelli","5489","1978","10","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582719","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Mucugê","Próximo a cidade de Mucugê, estrada para Cascavel","-41.3706","-13.0056","700","700","NY00582719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","582700","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","R. M. Harley","19302","1977","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582700","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","Bahia","Morro do Chapéu","Summit of Morro do Chapéu, ca. 8 km. S.W. of the town of Morro do Chapéu to the West of the road to Utinga","-41.2","-11.58","1000","1000","NY00582700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
