"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","maximumElevationInMeters","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02064189","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C.Assis","F. B. Matos; E. Barbosa","F. B. Matos","1515","2008","02","26","South America","Brazil","Paraná","Campina Grande do Sul","Parque Estadual Pico Paraná.Trilha que sobre à esquerda, para o Pico Caratuva.","-48.83","-25.23","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2420081' target='other'> <mi>dwc_moreinfo</mi></a>","NY02064189","NY02064189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-27 11:22:07-03","PUCPR","HUCP","25507","S","Plantae","Monocotiledonea",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis.","Larocca, P; Cordeiro, J.","Larocca, P; Felitto, G","45","2013","03","02",NA,"Brasil","Parana","Campina Grande do Sul","Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,NA,"Herbácea, 45 cm, flores alaranjadas. Afloramento rochoso.","HUCP00025507","HUCP00025507","2013","55154","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:22-03","PUCPR","HUCP","20078","S","Plantae","Monocotiledonea",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis.","Selusniaki, M","Selusniaki, M","1163","2006","03","15",NA,"Brasil","Paraná","Antonina","Pico Paraná","-48.7118988037109","-25.4286003112793",NA,NA,NA,"HUCP00004812","HUCP00004812",NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-10-27 11:22:07-03","PUCPR","HUCP","22255","S","Plantae","Monocotiledonea",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis.","Scheer, M; Lozano, E","Lozano, E; Ariati, V","522","2011","02","19",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:22-03","PUCPR","HUCP","20606","S","Plantae","Monocotiledonea",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis.","Selusniaki, M","Selusniaki, M","2684","2009","04","18",NA,"Brasil","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:22-03","PUCPR","HUCP","20349","S","Plantae","Monocotiledonea",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis.","Selusniaki, M","Ariati, V","168","2009","01","18",NA,"Brasil","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:22-03","PUCPR","HUCP","19953","S","Plantae","Monocotiledonea",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis.","Santos, EP","Santos, EP","1169","2007","01","25",NA,"Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:22-03","PUCPR","HUCP","20080","S","Plantae","Monocotiledonea",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis.","Selusniaki, M","Selusniaki, M","1338","2006","03","15",NA,"Brasil","Paraná","Tijucas do Sul","Morro dos Perdidos","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:27:20-03","UFBA","ALCB","86075","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis","Assis, MC","Ribas, OS; Nicolack, V","239","1990","11","02","Southern America","Brasil","Paraná","Campina Grande do Sul","Serra do Capivari Grande","-49.0553016662598","-25.3055992126465",NA,NA,"ereta. Flores vermelhas.; da encosta do morro.","ALCB006669","ALCB006669","2000","55154","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:27:20-03","UFBA","ALCB","73011","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alstroemeriaceae","Alstroemeria","amabilis","Alstroemeria amabilis","M.C. Assis","Hatschbach, G","Cordeiro, J; Barbosa, E; Marinero, F","2288","2006","02","07","Southern America","Brasil","Paraná","Tijucas do Sul","Serra Papanduva","-49.1988983154297","-25.9281005859375","1673",NA,"flor laranja.","ALCB006670","ALCB006670","2006","25228","auto","1673",NA,NA,NA,NA,NA,NA
