"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","day","relatedCatalogItem","stateProvince","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","277853","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","isotype","L. Riedel","s.n.","1821","11","South America","Brazil","[In..] prope Castelnovo","-39.2","-14.6333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277853","NY00277853_01",NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:41:59-03","NBC","NL-BOTANY","L.1052497","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","isotype","Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1052497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1052497","NL-L1052497","Magnoliopsidae","02","Uw8629",NA,NA,NA,NA
"3","2020-02-08 09:41:59-03","NBC","NL-BOTANY","L.1052498","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","isotype","Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1052498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1052498","NL-L1052498","Magnoliopsidae","02","Uw8629",NA,NA,NA,NA
"4","2020-02-08 09:41:59-03","NBC","NL-BOTANY","L.1089642","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","isotype","Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1089642 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1089642","NL-L1089642","Magnoliopsidae","02",NA,NA,NA,NA,NA
"5","2020-02-08 09:41:59-03","NBC","NL-BOTANY","L.1089643","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","isotype","Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1089643 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1089643","NL-L1089643","Magnoliopsidae","02",NA,NA,NA,NA,NA
"6","2020-02-08 09:41:59-03","NBC","NL-BOTANY","L.1089644","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","isotype","Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1089644 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1089644","NL-L1089644","Magnoliopsidae","02",NA,NA,NA,NA,NA
"7","2020-02-08 09:41:59-03","NBC","NL-BOTANY","L.1089645","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","isotype","Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1089645 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1089645","NL-L1089645","Magnoliopsidae","02",NA,NA,NA,NA,NA
"8","2020-02-08 09:41:59-03","NBC","NL-BOTANY","U 0000494","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.","holotype","Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000494 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000494","NL-U0000494","Magnoliopsidae","02","290857 B",NA,NA,NA,NA
"9","2020-02-08 09:41:59-03","NBC","NL-BOTANY","U 0262895","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E.Fr.",NA,"Daniëls AGH; Jonker FP",NA,"1959","10","Southern America","Surinam","Emmaketen; 1 km N.E. of Main Camp.",NA,NA,NA,"rainforest. Granitic subsoil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200262895 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0262895",NA,"Magnoliopsidae","02","Uw8629",NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","703458","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Malmea","obovata","Malmea obovata","R.E. Fr.","Isotype","L. Riedel","525","1821","11","South America - Neotropics","Brazil","Near Castelnovo.",NA,NA,NA,NA,"US00104279","US00104279_01","Dicotyledonae",NA,NA,"Bahia","1",NA,NA
