"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","615559","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","M. F. Santos","J. S. Blanchet","2335","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615559","NY00615559_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616240","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","M. F. Santos","M. V. Peron","758","South America","Brazil","Rio de Janeiro","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616240","NY00616240_01","1989","03","06","Nova Friburgo","Reserva Ecologica Municipal de Macaé de Cima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616241","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","M. F. Santos","M. V. Peron","758","South America","Brazil","Rio de Janeiro","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616241","NY00616241_01","1989","03","06","Nova Friburgo","Reserva Ecologica Municipal de Macaé de Cima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1281801","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","M. V. Peron","S. de V. A. Pessôa","518","South America","Brazil","Rio de Janeiro","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742895' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281801","NY01281801_01","1990","06","01","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Caminho par os Pirineus. Próximo ao rio das Flores.","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","616242","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","M. F. Santos","H. C. de Lima","3609","South America","Brazil","Rio de Janeiro","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616242","NY00616242_01","1989","06","08","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sitio Sophronites","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1522478","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","M. F. Santos","A. F. M. Glaziou","18239","South America","Brazil","Rio de Janeiro",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1752527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522478","NY01522478_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00908183","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","C. M. D. E. Legrand","A. F. M. Glaziou","16994","South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908183","NY00908183_01",NA,NA,NA,NA,"Brazil",NA,NA,"isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:46:03-03","EAO","IAN","188585","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","Sobral, M","Staggemeier, VG; Faria, JEQ","737","Southern America","Brasil","Espirito Santo","-40.549167","-19.901944",NA,"Árvore 10 m, frutos verdes.","IAN188585",NA,"2012","03","27","Santa Teresa","Entorno da reserva Augusto Ruschi. Estrada para Nova Lombardia.","768","768",NA,"2015","-40.549167","-19.901944",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:50-03","ESALQ","ESA","53923","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","folii","Myrcia folii",NA,NA,"Lucas, E.J. et al.","923.0",NA,"Brasil","Espírito Santo","-40.0722007751465","-19.3910999298096",NA,NA,"ESA053923",NA,"2006","12","01","Linhares",NA,NA,NA,NA,NA,"-39,883,333","-19,151,333","48094","auto",NA,NA,NA,NA,NA
"10","2020-11-04 11:14:56-03","ESALQ","ESA","96083","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk","Santos, M.F.","Silva Neto, S.J. ; Silva, W.","300.0",NA,"Brasil","Rio de Janeiro","-43.451099395752","-22.7591991424561",NA,NA,"ESA096083",NA,"1993","10","05","Nova Iguaçu",NA,NA,NA,NA,"2019",NA,NA,"25743","auto",NA,NA,NA,NA,NA
"11","2020-11-04 11:14:56-03","ESALQ","ESA","52215","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","Sobral, M.","Barbosa, E. et al.","931.0",NA,"Brasil","São Paulo","-48.5046997070312","-24.7563991546631",NA,NA,"ESA052215","ESA052215","2004","02","28","Barra do Turvo",NA,NA,NA,NA,"2005",NA,NA,"38172","auto","01","01",NA,NA,NA
"12","2020-11-04 11:14:56-03","ESALQ","ESA","98573","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","Santos, M.F.","Ivanauskas, N.M.","5048.0",NA,"Brasil","São Paulo",NA,NA,NA,NA,"ESA098573",NA,"2004","01","23","São Luiz do Paraitinga",NA,NA,NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:14:56-03","ESALQ","ESA","75344","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.","Santos, M.F.","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","182.0",NA,"Brasil","São Paulo","-46.7799987792969","-24.1800003051758",NA,"Árvore, ca. 8m alt.","ESA075344",NA,"2001","04","16","Itanhaém","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana no entorno do Vale do Rio Mambu. 24o02'51,7S; 46o49'05,7W. 30-100msm.",NA,NA,NA,"2014",NA,NA,"26998","auto",NA,NA,NA,NA,NA
"14","2020-12-20 21:18:39-03","UFV","VIC","31014","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","plusiantha","Myrcia plusiantha","Kiaersk.",NA,"Teixeira, R.N.C.; et al.","96",NA,"Brasil","Espirito Santo",NA,NA,NA,"Árvore de 6 m, interior de mata.","VIC031014","VIC031014","2004","12","15","Santa Maria de Jequitibá","Fragmento Florestal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
