"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","884990","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","S. F. Smith","G. Jönsson","297a","1914","05","10","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884990","NY00884990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:03:02-03","ESALQ","ESA","84561","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","vicina","Begonia vicina",NA,"Kollmann, L.","Medeiros, D.A.; Silva, D.G.R.; Damasceno, A.C.F; França, E.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.R.A.","50.0","2003","04","17",NA,"Brasil","São Paulo","Ribeirão Grande","Trilha da Bocaina em direção à gruta da Mãozinha e gruta do Minotauro. Vegetação secundária de Floresta Ombrófila Densa Montana com intensa exploração (área total),porém com trechos mais preservados sobre rochas cársticas (calcáreas).","-48.3600006103516","-24.0900001525879",NA,"Erva, tépalas brancas com estigmas e estames amarelos","ESA084561","ESA084561","2019","03","15","-48,416,667","-24,266,667","25028","820","820","auto",NA,NA,NA
"3","2015-07-02 14:42:19-03","JBP","HPL","12759","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","E.L. Jacques","E.L. Jacques, H. Lorenzi & M. Peixoto","1777","2011","06","25",NA,"Brasil","SP","Iporanga","Rodovia Antônio Honório da Silva. No interior da mata próximo a um rochedo de rocha calcária, na sombra, cerca 10% de luz solar.","-48.726083","-24.531722",NA,NA,NA,NA,"2013","03","17","48° 43' 33,9 W","24° 31' 54,2 S",NA,"676","676",NA,NA,NA,NA
"4","2021-03-01 16:26:18-03","UNICAMP","UEC","24322","S","Plantae","Magnoliopsida",NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Gomes da Silva, SJ","Cerantola, B; Barbosa","s.n.","1981","02","21",NA,"Brazil","São Paulo","Guareí","Sarandi, abrigo sob-rocha Sarandi.","-48.233333","-23.333333",NA,"Arbustivo, flor c/ cálice verde e corola branca. Mata.","UEC038200","UEC038200","2007",NA,NA,"-48.233333","-23.333333",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:26:18-03","UNICAMP","UEC","24322","S","Plantae","Magnoliopsida",NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Gomes da Silva, SJ","Cerantola, B; Barbosa","s.n.","1981","02","21",NA,"Brazil","São Paulo","Guareí","Sarandi, abrigo sob rocha Sarandi.","-48.233333","-23.333333",NA,"Arbustivo, flor com cálice verde e corola branca.","UEC038200","UEC038200","2007",NA,NA,"-48.233333","-23.333333",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:29:45-03","UFRRJ","RBR","35064","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","E.L. Jacques","E.L. Jacques; H. Lorenzi, M. Peixoto","1777","2011","06","25",NA,"Brasil","São Paulo","Iporanga","Rodovia Antonio Honório da Silva, 24º 31#?# 54,2#?##?#S, 48º 43#?# 33,9#?##?#O; 676m de altitude.","-48.5900001525879","-24.5799999237061",NA,NA,"RBR00035064",NA,"2011","09","06",NA,NA,"38740",NA,NA,"auto",NA,NA,NA
"7","2020-06-29 09:29:45-03","UFRRJ","RBR","35230","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","E.L. Jacques","H. Lorenzi","6999","2011","02","02",NA,"Brasil","Paraná","Telêmaco Borba","UHE Maua, Lote 5, S 24° 07#?# 02,3' , W 50° 41#?# 35,5' 600 m.","-50.6156005859375","-24.3239002227783",NA,NA,"RBR00035230",NA,"2011","09","06",NA,NA,"35037",NA,NA,"auto",NA,NA,NA
"8","2020-12-21 16:18:03-03","MBM","MBM","213817","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmscher","Smith, S.F.","Ribas, O.S.; Pereira, L.B.S.; Pereira, L.B.S.","s.n.","1997","02","09","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Barros","-49.7057991027832","-24.2511005401611",NA,NA,"MBM213817","MBM213817",NA,NA,NA,NA,NA,"44368",NA,NA,"auto",NA,NA,NA
"9","2020-12-21 16:18:03-03","MBM","MBM","32438","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmscher","Smith, S.F.","Hatschbach, G.","33740","1974","01","24","Southern America","Brazil","Paraná","Cerro Azul","Barra do Rio Bom Sucesso","-49.261100769043","-24.823600769043",NA,NA,"MBM032438","MBM032438",NA,NA,NA,NA,NA,"32006",NA,NA,"auto",NA,NA,NA
"10","2020-12-21 16:18:03-03","MBM","MBM","274418","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmscher","Smith, S.F.","Carneiro, J.","1271","2002","01","26","Southern America","Brazil","Paraná","Jundiaí do Sul","Fazenda Ibiti","-50.247501373291","-23.4367008209229",NA,NA,"MBM274418","MBM274418",NA,NA,NA,NA,NA,"17300",NA,NA,"auto",NA,NA,NA
