"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1731864","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Calocarpum","odoratum","Calocarpum odoratum","Ducke","isotype","W. A. Ducke","1161[=herb. RB 51044]","1942","10","12","South America","Brazil","Amazonas","Esperança","-69.925712","-4.4053522","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1961766' target='other'> <mi>dwc_moreinfo</mi></a>","NY01731864","NY01731864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","273401","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Calocarpum","odoratum","Calocarpum odoratum","Ducke","isotype","W. A. Ducke","1161","1942",NA,NA,"South America","Brazil","Amazonas","Esperanca (ad ostium fluminis Javary)","-69.925712","-4.4053522","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273401","NY00273401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00476520","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D.Penn.",NA,"C. A. Cid Ferreira","10567","1991","11","04","South America","Brazil","Acre","Rio Juruá, margem esquerda ao lado do igarapé Viseu, a 5km da margem.","-72.73","-8.25","sheet","see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476520","NY00476520_01","T. D. Pennington","Porto Walter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","330748","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D.Penn.",NA,"M. Silveira","1596","1996","11","26","South America","Brazil","Acre","Rio Purus, margem direita, seringal Santa Cruz, colocaçao Extrema.","-69.6014","-9.0794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330748","NY00330748_01","T. D. Pennington","Manoel Urbano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00476521","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D.Penn.",NA,"C. A. Cid Ferreira","10567","1991","11","04","South America","Brazil","Acre","Rio Juruá, margem esquerda ao lado do igarapé Viseu, a 5km da margem.","-72.73","-8.25","packeted","see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476521","NY00476521_01 NY00476521_02","T. D. Pennington","Porto Walter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00330896","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D.Penn.",NA,"M. Silveira","1567","1996","11","25","South America","Brazil","Acre","Rio Purus, margem direita, seringal Nova Olinda, colocaçao Nova Olinda.","-69.6858","-9.0425","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330896","NY00330896_01 NY00330896_02","T. D. Pennington","Manoel Urbano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","584757","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D.Penn.",NA,"D. C. Daly","9586","1997","10","16","South America","Brazil","Acre","Fazenda Catuaba (University reserve), near km 22 of BR-364 (Rio Branco - Porto Velho).","-67.62","-10.07","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584757","NY00584757_01","T. D. Pennington","Rio Branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00330739","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D.Penn.",NA,"M. Silveira","1567","1996","11","25","South America","Brazil","Acre","Rio Purus, margem direita, seringal Nova Olinda, colocaçao Nova Olinda.","-69.6858","-9.0425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330739","NY00330739_01","T. D. Pennington","Manoel Urbano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1065796","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"John L. Clark|Yvonne Troya","Clark 605","1995","4","4","South America","Ecuador","Esmeraldas","Bilsa Biological Station. Mache mountains, 35 km W of Quinindé, 5 km W of Santa Isabel. Premontane Wet Forest. Mature forest near la casa de papaya.","-79.73333","0.35",NA,NA,NA,NA,"T.D. Pennington (K)","Quinindé","400.00000000","600.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-07-09 03:32:00-03","MO","MOBOT","1336392","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"John L. Clark|P. Nutt","Clark 4116","1997","3","25","South America","Ecuador","Esmeraldas","Bilsa Biological Station. Reserva Ecologica Mache-Chindul, 35 km NW of Quinindé. Permanent Plot #1. Premontane Wet Forest.","-79.73333","0.35",NA,NA,NA,NA,"T.D. Pennington (K)","Quinindé","500.00000000",NA,"31","10",NA,NA,NA,NA,NA,NA
"11","2008-12-15 16:52:00-02","MO","MOBOT","1338082","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"John L. Clark|C. Pallis","Clark 4872","1998","3","20","South America","Ecuador","Esmeraldas","Reserva Ecologica Mache-Chindul. Bilsa Biological Station, 35 km W of Quinindé. Permanent Plot #3. Premontane Wet Forest.","-79.7333333","0.35",NA,NA,NA,NA,"T.D. Pennington (K)","Quinindé","500.00000000",NA,"48","5",NA,NA,NA,NA,NA,NA
"12","2019-06-16 04:36:00-03","MO","MOBOT","1564533","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"David A. Neill|Carlos Aulestia|et al.","Neill 13228","2001","5","9","South America","Ecuador","Esmeraldas","Bilsa Biological Station. In Mache-Chindul mountains, coastal range. Wet forest. Primary forest, in permanent one-hectare forest study plot. Marked trees in plot #1.","-79.73333","0.35",NA,NA,NA,NA,"T.D. Pennington (K)","Quinindé","530.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2012-04-12 05:10:00-03","MO","MOBOT","1753348","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"Alfredo F. Fuentes|et al.","Fuentes Claros 4463","2002","3","31","South America","Bolivia","La Paz","Parque Nacional Madidi, río Hondo, arroyo Negro, trayecto desde el piedemonte hasta la seranía de Toregua. Con vegetación desde bosque alto amazónico estacional húmedo (400-700 m), a bosque medio-bajo de ladera dominado por Protium sp (700-900 m)","-67.84416","-14.6725",NA,NA,NA,NA,"A. Fuentes (USZ)","Franz Tamayo","400.00000000","900.00000000","02-16","8",NA,NA,NA,NA,NA,NA
"14","2011-03-24 10:03:00-03","MO","MOBOT","1971152","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.","Isotype","A. Ducke","Ducke 1161","1942","10","12","South America","Brazil","Amazonas","Esperanca (ad ostium fluminis Javary), silva non inundabili.",NA,NA,NA,NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2014-06-10 05:49:00-03","MO","MOBOT","3385741","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"M.S. Silveira","Silveira 1596","1996","11","26","South America","Brazil","Acre","Rio Purus, margem direita, seringal Santa Cruz, Colocacao Extrema. Flreosta d ebambu com subosque densamente ocupado por colmos. Houve a nivel regional um evento do mortalidade quase total em 1991. Nicanor Goncalves da Silva.","-69.60138","-9.07944",NA,NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","404968","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"Cesár A. Grández|Nestor Jaramillo","Grández Rios 2773","1991","8","15","South America","Peru","Loreto","Distrito Las Amazonas; Comunidad piloto Roca Eterna, bosque primario tipo colina, suelo laterifico.","-72.55","-3.41666",NA,NA,NA,NA,"T.D. Pennington (K)","Maynas","120.00000000","130.00000000","170","10",NA,NA,NA,NA,NA,NA
"17","2019-09-03 04:36:00-03","MO","MOBOT","407618","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"Galo A. Tipaz|P. Méndez|Homero Vargas|M. Chapiro","Tipaz 2309","1992","11","22","South America","Ecuador","Esmeraldas","San Miguel. Sector Río Grande. Comunidad Corriente Grande. Bosque muy húmedo Tropical. Bosque alterado.","-78.78333","0.75",NA,NA,NA,NA,"T.D. Pennington (K)",NA,"350.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2010-11-19 11:09:00-02","MO","MOBOT","3355062","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"C.A. Cid Ferreira|et al.","Cid Ferreira 10567","1991","11","4","South America","Brazil","Acre","Mun. Cruzeiro do Sul: Rio Juruá, margem esquerda ao lado do igarapé Viseu, a 5 km da margem. Mata alta de terra firme. Solo areno-argiloso.","-72.7333333","-7.25",NA,NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"19","2020-08-31 08:54:57-03","INPA","INPA","228352","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D.Penn.",NA,"Silveira, M","1596","1996","11","26","Southern America","Brasil","Acre","Seringal Santa Cruz., Rio Purus, margem direita, seringal Santa Cruz, colocação Extrema.","-69.601","-9.079",NA,NA,"INPA0228352","INPA0228352 INPA0228352_e INPA0228352_e1","Pennington, TD","Manoel Urbano",NA,NA,NA,NA,"1998","06","06","-69.601","-9.079",NA
"20","2020-09-12 05:00:02-03","US","US","2250298","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Calocarpum","odoratum","Calocarpum odoratum","Ducke","Isotype","A. Ducke","1161","1942","10","12","South America - Neotropics","Brazil","Amazonas","Esperanca, mouth of Rio Javary.",NA,NA,NA,NA,"US00323775","US00323775_01",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
"21","2020-09-12 05:00:02-03","US","US","2439484","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Calocarpum","odoratum","Calocarpum odoratum","Ducke","Isotype; Isotype","A. Ducke","1161","1942","10","12","South America - Neotropics","Brazil","Amazonas","Esperança, mouth of Rio Javary.",NA,NA,NA,"Also a type of Pouteria polysepala Pennington. Nom. nov. for Calocarpum odoratum Ducke, non Pouteria odorata Lundell. Also a type of and filed in type collection as Calocarpum odoratum Ducke.","US00930772","US00930772_01",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
"22","2020-09-12 05:00:02-03","US","US","1832007","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Calocarpum","odoratum","Calocarpum odoratum","Ducke","Isotype","A. Ducke","1161",NA,NA,NA,"South America - Neotropics","Brazil","Amazonas","Esperanca, Javary.",NA,NA,NA,NA,"US00067600","US00067600_01",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
"23","2020-09-12 05:00:02-03","US","US","2250298","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.","Isotype","A. Ducke","1161","1942","10","12","South America - Neotropics","Brazil","Amazonas","Esperanca, mouth of Rio Javary.",NA,NA,NA,NA,"US00323775","US00323775_01",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
"24","2020-09-12 05:00:02-03","US","US","3404318","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.",NA,"J. L. Clark & Y. Troya","605","1995","4","4","South America - Neotropics","Ecuador","Esmeraldas","Quininde Cantón, Bilsa Biological Station. Mache mountains, 35 km W of Quinindé, 5 km W of Santa Isabel. Premontane Wet Forest. Mature forest near la casa de papaya","-79.73","0.35",NA,NA,"US02702325",NA,NA,NA,"400","600",NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
"25","2020-09-12 05:00:02-03","US","US","1832007","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","polysepala","Pouteria polysepala","T.D. Penn.","Isotype","A. Ducke","1161","1942","10","12","South America - Neotropics","Brazil","Amazonas","Esperanca, mouth of Rio Javary.",NA,NA,NA,NA,"US00067600","US00067600_01",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
"26","2018-05-14 16:58:43-03","F","FMNH-SEEDPLANTS","V0325257F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","polysepala","Pouteria polysepala",NA,NA,"C. Grández Rios","2773",NA,NA,NA,"South America","Peru","Loreto",NA,"-75","-4",NA,NA,"V0325257F","V0325257F_01 V0325257F_02","RRC ID Flag",NA,NA,NA,"2773",NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"27","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Pinard, M; 1615","804",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 12890","212",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 12887","397",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 12888","229",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 12892","155",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 12889","432",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 6879","206",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 12891","75",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Vale, CAS; 18365","6",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Ferreira, E; 12886","308",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","polysepala","Pouteria polysepala","(Mart. ex Miq.) Ducke",NA,"Bandeira, JR; 12893","7",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
