"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","infraspecificEpithet","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:33:13-03","UNESC","CRI","11563","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Guilherme Alves Elias","2015","12","19","Guilherme Alves Elias; Robson dos Santos & Peterson T. Padilha","4","2015","12","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.670556","-26.071667","48º40'14''W","26º4'18''S","10","10","Floresta Ombrófila Densa de Terras Baixas","CRI008777","CRI008777_1 CRI008777_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","13318","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Peterson T. Padilha","2018","04","04","Alexandre Medeiros","657","2017","09","23","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Habitat: Terrestre Habito: Herbácea","CRI011925","CRI011925_1 CRI011925_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:52-03","UNESC","CRI","11790","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Guilherme Alves Elias","2016","05","16","Guilherme Alves Elias","23","2016","05","03","Brasil","Santa Catarina","Grão Pará","Parque Estadual da Serra Furada","-49.392222","-28.158889","49º23'32''W","28º9'32''S","400","400","Fruto preto. Habito: Arbustivo","CRI010189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:52-03","UNESC","CRI","11806","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti",NA,"2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.393611","-28.182222","49º23'37''W","28º10'56''S","516","516","Floresta Ombrófila Densa Montana Habito: árvore","CRI000661","CRI000661_1 CRI000661_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:52-03","UNESC","CRI","6288","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Vanilde Citadini- Zanette",NA,NA,NA,"R. dos Santos; C. A. Correa & Z. P. Topanotti","304","1997","09","12","Brasil","Santa Catarina","Criciúma","B. Primeira Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","170","170",NA,"CRI000662","CRI000662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:52-03","UNESC","CRI","11986","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Guilherme Alves Elias","2017","01","10","Guilherme Alves Elias; Peterson Teodoro Padilha & Robson dos Santos",NA,"2016","12","15","Brasil","Santa Catarina","Treviso","Trilhas Dois Dedos","-49.525","-28.511111","49º31'30''W","28º30'40''S","500","500","Fruto Preto Habito: Arbusto","CRI010132","CRI010132_1 CRI010132_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:13-03","UNESC","CRI","14734","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Marcelo R. Pasetto","2008","08","17","Marcelo R. Pasetto",NA,"2008","08","17","Brasil","Santa Catarina","Criciúma","SATC.","-49.403611","-28.706667","49º24'13''W","28º42'24''S","46","46",NA,"CRI014059","CRI014059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:52-03","UNESC","CRI","4879","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","Paulo Brack","1997","07","17","C. M. Martinello; Z. P. Topanotti",NA,"1995","09","07","Brasil","Santa Catarina","Forquilhinha","São Pedro, C. J> Martinello,.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28",NA,"CRI000658","CRI000658_1 CRI000658_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:52-03","UNESC","CRI","1285","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","J. J. Zocche",NA,NA,NA,"J. J. Zocche",NA,"1992","07","15","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","23","23",NA,"CRI000660","CRI000660_1 CRI000660_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00568300","PreservedSpecimen","Plantae","Arecaceae","Geonoma","schottiana","Geonoma schottiana","Mart.","A. J. Henderson",NA,NA,NA,"P. J. M. Maas","3290","1977","10","17","Brazil","Rio de Janeiro","Rio de Janeiro","Maciço de Tijuca, Reserva Florestal da FEEMA","-43.2075","-22.9031",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568300","NY00568300_01 NY00568300_02 NY00568300_03 NY00568300_04","Magnoliophyta","Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA,NA,NA
