"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","relatedCatalogItem","sex"
"11","2021-03-01 16:18:54-03","UNICAMP","UEC","185659","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Campos-Rocha, A","Campos-Rocha, A; Dutilh, JHA","1298","2013","10","13",NA,"Brazil","Rio de Janeiro","Armação dos Búzios","em cultivo em propriedade particular no município de Mogi das Cruzes - SP","-42.024167","-22.723444",NA,"herbácea bulbosa, flores alvas, odoríferas (antese noturna)","UEC109164","UEC109164","2013","10","13",NA,NA,"-42.024167","-22.723444",NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:18:54-03","UNICAMP","UEC","185760","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Campos-Rocha, A","Campos-Rocha, A; Borchsenius Kristensen, F; Saka, MN","1502","2014","11","02",NA,"Brazil","Rio de Janeiro","Cabo Frio","Praia do Peró, inselberg","-42.635103","-23.453447",NA,"herbácea bulbosa, formando densas colônias, ca. 30 cm de altura; Restinga","UEC109150","UEC109150","2014","11","02",NA,NA,"-42.635103","-23.453447","35","35",NA,NA,NA,NA
"13","2021-03-01 16:18:54-03","UNICAMP","UEC","182277","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna",NA,"Santo, FSE","097","2008","01","24",NA,"Brazil","Bahia","Jaguarari","Lagoa da Onça, estrada Santa rosa.&nf;10º14' 45,4''S;40º9' 9,6''O;649m de alti.&nf;Área nº40, Senhor do bonfim, extrema importância biológica.&nf;Bacia Hidrográficado Rio São Francisco.","-40.19580078125","-10.2638998031616",NA,"Erva terrestre, ca. de35cm, com bulbos. Folhas maculadas, frutos capsulares com Três estrias longitudinais, esverdeados, lustrosos, maduros.; área de Pasto.","UEC065389","UEC065389",NA,NA,NA,"60045","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:18:54-03","UNICAMP","UEC","185764","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Campos-Rocha, A","Campos-Rocha, A","1560","2015","11","04",NA,"Brazil","Bahia","Sento Sé",NA,"-41.8852996826172","-9.74582958221436",NA,"herbácea bulbosa, ca. 20 cm de altura, folhas com máculas cinéreas; Caatinga","UEC109154","UEC109154","2015","11","04","132999","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:18:54-03","UNICAMP","UEC","185667","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Campos-Rocha, A","Campos-Rocha, A; Dutilh, JHA","1322","2013","11","09",NA,"Brazil","Minas Gerais","Verdelândia","em cultivo no Jardim Botânico Plantarum","-43.6027984619141","-15.5892000198364",NA,"herbácea bulbosa, ca. 25 cm de altura, flores alvas, odoríferas (antese noturna); carrasco, terreno arenoso","UEC109172","UEC109172","2013","11","09","31721","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-20 09:58:56-03","UNICAMP","UEC","170596","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna",NA,"Dutilh, JHA","s.n.","2001","10","19",NA,"Brazil","Minas Gerais","Verdelândia","Estrada Verdelândia-Jaíba, Km 86.","-43.6027984619141","-15.5892000198364",NA,NA,"UEC010157","UEC010157",NA,NA,NA,"31721","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:18:54-03","UNICAMP","UEC","185672","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Campos-Rocha, A","Campos-Rocha, A","1017","2012","11","06",NA,"Brazil","Pará","Canaã dos Carajás","em cultivo no Jardim Botânico Plantarum","-49.8782997131348","-6.49694013595581",NA,"herbácea bulbosa, flores alvas, odoríferas (antese noturna)","UEC109179","UEC109179","2012","11","06","80513","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-19 14:04:22-03","UFRPE","PEUFR","45650","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","A. Alves-Araújo","K.A. Silva","530","2004","05","15",NA,"Brasil","Pernambuco","Petrolândia","Mundo Novo","-38.230833","-9.084444",NA,"Herbácea","PEUFR045650",NA,"2006","08","28",NA,NA,"38°13'51''W","09°05'04''S","422","422",NA,NA,NA,NA
"19","2019-11-19 14:04:22-03","UFRPE","PEUFR","23309","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","A. Alves-Araújo","K. Andrade; E. Freire; R. Nunes; M.J. Campelo","330","1996","02","23",NA,"Brasil","Pernambuco","Buíque","Estrada Buíque-Catimbau","-37.1557998657227","-8.62306022644043",NA,"Erva com cerca de 0,50 m; pétalas brancas; filetes brancos com anteras amarelas; estilete e estigma brancos","PEUFR023309",NA,"2006","08","28","38964","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-21 19:39:57-03","UFC","EAC","24579","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Dutilh, J.H.A.","Castro, A.S.F.","335","1997","02","09","Southern America","Brasil","Ceará","Icapuí","Praia de Picos, dunas antigas, Falésias","-37.3553009033203","-4.71305990219116",NA,NA,"EAC0024579","EAC0024579","2015","08","27","22463","auto",NA,NA,NA,NA,NA,NA,NA,NA
