"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","144806","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Craspedaria","crispata","Craspedaria crispata","Fée","isotype","A. F. M. Glaziou","2072","South America","Brazil","Brasilia","sheet","This Type Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=747140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144806","NY00144806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","674372","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata","(Fée) R.M.Tryon & Moldenke",NA,"M. J. N. Rodal","478","South America","Brazil","Floresta, Inája, Reserva Biológica de Serra Negra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674372","NY00674372_01","J. T. Mickel","1995","03","08","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","674373","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata","(Fée) R.M.Tryon & Moldenke",NA,"L. P. de Queiroz","4271","South America","Brazil","Morrão, em torno da estação retransmissora da Telebahia, a ca. 6 km W da BA-046 (Morro do Chapéu - Utinga), entrando a ca. 1 km do entroncamento para Morro do Chapéu com a BA-052 (estrada do feijão).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674373","NY00674373_01","J. T. Mickel","1995","03","14","Bahia","Morro do Chapéu","-41.1558","-11.5503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02594977","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata","(Fée) R.M.Tryon & Moldenke",NA,"H. S. Irwin","32402","South America","Brazil","Serra do Tombador. On middle slopes of Morro do Chapéu, ca. 7km S of town of Morro do Chapéu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2970199' target='other'> <mi>dwc_moreinfo</mi></a>","NY02594977",NA,"T. E. Almeida","1971","02","17","Bahia","Morro do Chapéu","-41.1558","-11.5503","1125","1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","674371","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata","(Fée) R.M.Tryon & Moldenke",NA,"M. F. de Sales","605","South America","Brazil","Floresta, Inajá, Reserva Biológica de Serra Negra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674371","NY00674371_01","J. T. Mickel","1995","06","04","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843774","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata","(Fée) R.M.Tryon & Moldenke",NA,"A. C. Brade","9393","South America","Brazil","Theresopolis.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123444' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843774","NY01843774_01","T. E. Almeida","1929","09",NA,"Rio de Janeiro","Teresópolis","-42.986352","-22.417353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843776","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata","(Fée) R.M.Tryon & Moldenke",NA,"Y. E. J. Mexia","5172","South America","Brazil","Fazenda de Aguada; small valley 0.75 km. from gate.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123446' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843776","NY01843776_01","T. E. Almeida","1930","10","14","Minas Gerais","Viçosa","-42.8817","-20.7542","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 11:37:00-03","NY","NYBG","1843775","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata",NA,NA,"K. Mizoguchi","629","South America","Brazil","Santa Alice.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123445' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843775","NY01843775_01","T. E. Almeida","1978","05","17","Rio de Janeiro","Itaguaí","-43.7753","-22.8522","10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02594978","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata","(Fée) R.M.Tryon & Moldenke",NA,"H. S. Irwin","30783","South America","Brazil","Serra da Agua de Rega. ca. 26km N. of Seabra, road to Agua de Rega, near Rio Riachao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2970186' target='other'> <mi>dwc_moreinfo</mi></a>","NY02594978",NA,"T. E. Almeida","1971","02","23","Bahia","Seabra","-41.7703","-12.4186","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 21:54:00-03","NY","NYBG","2240823","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","crispata","Microgramma crispata",NA,NA,"A. H. Boldrin","177","South America","Brazil","Forte dos Andradas. Morro do Monduba, margens da Alam.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669061' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240823","NY02240823_01",NA,"2004","07","04","São Paulo","Guarujá","-46.25","-23.9899997711182",NA,NA,"18989","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
