"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","relationshipType","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02108176","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","acinifolia","Cuphea acinifolia","A.St.-Hil.","T. B. Cavalcanti","48","1988","11","30","South America","Brazil","Goiás","Alto Paraíso de Goiás","Estrada para Colinas, 3.5-4 km da Sede fo IBDF","-47.5099983215332","-14.1324996948242","44724","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2258964' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108176","NY02108176_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","445565","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","concinna","Cuphea concinna","Koehne","R. Reiss","94A","1935","11","15","South America","Brazil","Paraná","Tibagi",NA,"-50.488585","-24.686032",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445565","NY00445565_01",NA,"A. Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","445383","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa","Cham. & Schltdl.","B. Rambo","49009","1950","10","20","South America","Brazil","Rio Grande do Sul","Porto Alegre","Vila Manresa pr. Porto Alegre","-51.23","-30.0331",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445383","NY00445383_01",NA,"A. Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","445380","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa","Cham. & Schltdl.","L. B. Smith","11662","1957","02","22","South America","Brazil","Santa Catarina","Dionísio Cerqueira","9 km west of Rio Capetinga between Campo Erê and Dionísio Cerqueira","-53.6394","-26.255",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445380","NY00445380_01",NA,"T. B. Cavalcanti; S. A. T. Graham","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","445363","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa","Cham. & Schltdl.","R. M. Harley","18732","1977","02","16","South America","Brazil","Bahia",NA,"Serra do Sincorá. 22 km S. of Andaraí on road to Mucugé","-41.33","-12.95",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445363","NY00445363_01",NA,"T. B. Cavalcanti; S. A. T. Graham","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 10:05:00-03","NY","NYBG","445386","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa",NA,"A. Krapovickas","20952","1972","02","05","South America","Argentina","Corrientes","Santo Tome","15 Km de Gdor. Virasoro, camino a Garrucho",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445386",NA,NA,"A. Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","445376","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa","Cham. & Schltdl.","G. G. Hatschbach","36633","1975","04","11","South America","Brazil","Paraná","Chopinzinho","Rio Iguaçu, Salto Santiago","-52.5231","-25.8558",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445376","NY00445376_01",NA,"A. Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","445364","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa","Cham. & Schltdl.","R. M. Harley","26916","1988","11","18","South America","Brazil","Bahia","Barra da Estiva","Ao pé da Serra do Sincorá, 28 km NE da cidade, perto do povoado Sincorá da Serra","-41.3","-13.47",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445364","NY00445364_01",NA,"T. B. Cavalcanti; S. A. T. Graham","900","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","445362","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa","Cham. & Schltdl.","R. M. Harley","18693","1977","02","14","South America","Brazil","Bahia",NA,"Serra do Sincorá. South of Andaraí, along road to Mucugé near small town of Xique-Xique","-41.32","-12.9",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445362","NY00445362_01",NA,"T. B. Cavalcanti; S. A. T. Graham","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","445373","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glutinosa","Cuphea glutinosa","Cham. & Schltdl.","S. A. T. Graham","845","1982","02","27","South America","Brazil","Paraná","Almirante Tamandaré","4 km S of Tamandare on side road E of the highway at Botiatuba","-49.31","-25.3247",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445373","NY00445373_01",NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
