"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","day","imagecode","recordNumber","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"1","2021-04-05 14:34:15-03","UNESC","CRI","13779","PreservedSpecimen","Plantae","Verbenaceae","Recordia","reitzii","Recordia reitzii","(Moldenke) N.O'Leary & V.Thode","Renato Colares","2018","05","24","Renato Colares","2016","11","Brasil","Santa Catarina","Siderópolis","Lote 42.","-49.453611","-28.570278","49º27'13''W","28º34'13''S","120","120","Habito: Arbóreo","CRI012386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:15-03","UNESC","CRI","7622","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","Vanilde Citadini-Zanette","2008","10","28","Mauro Z.","2008","10","Brasil","Santa Catarina","Criciúma",NA,"-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,NA,NA,"CRI007710","23","CRI007710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:12-03","UNESC","CRI","11963","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","Altamir Rocha Antunes; Guilherme Alves Elias & Peterson Teodoro Padilha","2016","12","01","Altamir Rocha Antunes","2016","12","Brasil","Santa Catarina","Timbé do Sul","Serra da Rocinha","-49.927778","-28.811389","49º55'40''W","28º48'41''S","800","800","Habito: Arbóreo","CRI010109","01","CRI010109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:15-03","UNESC","CRI","6158","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","Daniel B. Falkenberg","1997","09","12","Vanilde Citadini-Zanette","1997","09","Brasil","Santa Catarina","Lauro Muller",NA,"-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,NA,"CRI007703","12","CRI007703","2493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:15-03","UNESC","CRI","6273","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","Vanilde Citadini-Zanette",NA,NA,NA,"Átila Portal",NA,NA,"Brasil","Santa Catarina","Praia Grande",NA,"-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI007704",NA,"CRI007704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:15-03","UNESC","CRI","6422","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1992","12","Brasil","Rio Grande do Sul","Torres",NA,"-49.727222","-29.335833","49º43'38''W","29º20'9''S",NA,NA,NA,"CRI007705","05","CRI007705","2229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:15-03","UNESC","CRI","10328","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","Vanilde C. Zanette","2013","11","12","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein","2009","07","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.214722","-28.185","49º12'53''W","28º11'6''S","840","840",NA,"CRI007708","21","CRI007708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:15-03","UNESC","CRI","10346","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.",NA,NA,NA,NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","07","Brasil","Santa Catarina","Praia Grande","Aparados da Serra - Trilha das mulas.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI007707","25","CRI007707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:15-03","UNESC","CRI","3946","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","J. L. Waechter",NA,NA,NA,"J. A. Jarenkow; J. L. Waechter","1990","08","Brasil","Rio Grande do Sul","Torres",NA,"-49.727222","-29.335833","49º43'38''W","29º20'9''S",NA,NA,NA,"CRI007706","18","CRI007706","1742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:12-03","UNESC","CRI","6328","PreservedSpecimen","Plantae","Verbenaceae","Verbenoxylum","reitzii","Verbenoxylum reitzii","(Moldenke) Tronc.","José Aroldo Biff","1999","10","17","José Aroldo Biff","1997","10","Brasil","Santa Catarina","Morro Grande","Sanga das Pedras.","-49.721667","-28.801111","49º43'18''W","28º48'4''S",NA,NA,"Flores com corola branca. Habito: Arbóreo","CRI012903","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
