"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","dayIdentified","typeStatus","imagecode","continentOcean","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude"
"1","2019-08-27 13:27:10-03","IAP","PACA-AGP","97830","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","C. Mondin","2003","08","Mondin, C.","2765","2002","10","13","Brasil","RS","Santana do Livramento","Cerro Armour","-55.5327987670898","-30.8908004760742","79795","Com ca. 30 a 80cm de altura e capítulos amarelos. HASU 14547. EM PERIGO. Habitat: Na encosta superior do Cerro. Hábito: arbusto","PACA097830","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:10-03","IAP","PACA-AGP","97829","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","C. Mondin","2003","09","C. Mondin & A. Iob","2811","2002","11","15","Brasil","RS","Santana do Livramento","Cerro Armour","-55.5327987670898","-30.8908004760742","79795","Com ca. 60cm de altura e flores passadas. HASU 14960. EM PERIGO. Hábito: arbusto","PACA097829","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:27:10-03","IAP","PACA-AGP","100625","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","C. Mondin","2003","09","C. Mondin & A. Iob","2811","2002","11","15","Brasil","RS","Santana do Livramento","no Cerro Armour","-55.5327987670898","-30.8908004760742","79795","HASU 14960&nf;c/ cerca de 60 cm de alt. Flores passadas Hábito: arbusto","PACA100625","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:27:10-03","IAP","PACA-AGP","43672","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","John Pruski","1987","11","Rambo, B.",NA,"1949","09","30","Brasil","RS","Porto Alegre","Morro das Abertas","-51.2299995422363","-30.0331001281738","29946","EM PERIGO Habitat: in rupestribus dumetosis Fenofase: flor","PACA043672","auto","05",NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:27:10-03","IAP","PACA-AGP","97832","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","C. Mondin","2002",NA,"M. Haussen",NA,"1990","10","19","Brasil","RS","Porto Alegre","Morro do Osso","-51.2299995422363","-30.0331001281738","29946","Com capítulos amarelos. HASU 1508. EM PERIGO. Habitat: Campo, no topo do morro. Hábito: arbusto","PACA097832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:27:10-03","IAP","PACA-AGP","97835","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","C. Mondin","2003","09","Mondin, C.","2365","2001","10","15","Brasil","RS","Porto Alegre","Morro Teresópolis","-51.2299995422363","-30.0331001281738","29946","Com capítulos amarelos.&nf;HASU 15699. EM PERIGO. Habitat: No afloramento rochoso. Hábito: subarbusto","PACA097835","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:27:10-03","IAP","PACA-AGP","97834","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","C. Mondin","2003","09","Mondin, C.","2973","2003","10","20","Brasil","RS","Porto Alegre","Morro Teresópolis","-51.2299995422363","-30.0331001281738","29946","Ca. 50 cm de altura, capítulos amarelos.&nf;HASU 16097. EM PERIGO. Habitat: Na encosta do morro. Hábito: subarbusto","PACA097834","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:36:49-03","IAP","PACA-AGP","105828","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","C. Mondim",NA,NA,"Iob & Mondin","170",NA,NA,NA,"Brasil","RS","Porto Alegre","Morro Teresópolis","-51.2299995422363","-30.0331001281738","29946","Fenofase: capítulos amarelos","PACA105828","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:27:10-03","IAP","PACA-AGP","29393","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","John Pruski","1987","11","Rambo, B.",NA,"1945","11","07","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738","29946","EM PERIGO&nf;det. (Emrich- Rambo 1954): Calea myrtifolia (DC.) Baker Habitat: in rupestribus dumetosis Fenofase: flor","PACA029393","auto","01",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:27:10-03","IAP","PACA-AGP","29833","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Calea","kristiniae","Calea kristiniae","Pruski","John Pruski","1987","11","Rambo, B.",NA,"1931",NA,NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738","29946","EM PERIGO&nf;det. (Emrich- Rambo 1954): Calea myrtifolia (DC.) Baker Habitat: in rupestribus dumetosis Fenofase: flor","PACA029833","auto","05",NA,NA,NA,NA,NA,NA,NA
