"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","884658","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","T. R. Soderstrom","G. Eiten","2867","1961","05","31","South America","Brazil","São Paulo","São José dos Campos: disjunct cerrado area of several hundred sq. km surrounded by former forest. At 7.5 km S of São José dos Campos (along highway to Paraibuna) & ca. 1 km firther south on dirt road.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","345930","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman",NA,"P. K. H. Dusén","13231","1911","10","21","South America","Brazil","Paraná","Jagyariahyva [orthography]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345930","isotype","NY00345930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:00-03","EAO","IAN","67777","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman",NA,"Magalhães, M","2200","1942","09","25","Southern America","Brasil","Minas Gerais","Horto Florestal.",NA,NA,"IAN067777",NA,NA,"Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:00-03","EAO","IAN","62269","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman",NA,"Löfgren","243","1908","09",NA,"Southern America","Brasil","São Paulo",NA,NA,NA,"IAN062269",NA,"IAN062269 IAN062269_e","Sao Jose dos Campos","-45.8800010681152","-23.1700000762939","39297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:16:15-03","NBC","NL-BOTANY","L.1217294","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Arthropogon","xerachne","Arthropogon xerachne","Ekman",NA,"Düsen P",NA,"1911","10","21","Southern America","Brazil",NA,"Parana: Jaguariohijva.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1217294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1217294",NA,"NL-L1217294",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:16:15-03","NBC","NL-BOTANY","L.1217295","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Arthropogon","xerachne","Arthropogon xerachne","Ekman",NA,"Dusén PKH",NA,"1911","10","21","Southern America","Brazil",NA,"Paraná. Jaguarohyva, in campo. 'cer-rads'.[!][?].",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1217295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1217295",NA,"NL-L1217295",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:20:22-03","UNICAMP","UEC","202607","S","Plantae","Liliopsida",NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","Pilon, NAL","Pilon, NAL; Silva, FB","200","2018","12","08",NA,"Brazil","São Paulo","Morro do Cavalo Morto",NA,"gramínea cespitosa, cerca de 30 cm de altura, lâminas velhas retorcidas na base da planta, sinflorescência delicada, antécio rosa com tricomas alvos. Encontrado em solo arenoso, raso, pedregoso. Ocorreu queimada há aproximadamente 4","UEC190743",NA,"UEC190743","Itu","-47.197869","-23.371008",NA,NA,NA,"2018","12","08","-47.197869","-23.371008","805","805",NA
"8","2020-12-21 16:40:03-03","MBM","MBM","251844","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","Swallen, J.R.","Dusén, P.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"s",NA,NA,"MBM251844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:40:03-03","MBM","MBM","4307","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","Filgueiras, T.","Lindeman, J.; et al.; et al.","3116",NA,NA,NA,"Southern America","Brazil","Paraná","Jaguariaíva, cs. 1km N",NA,NA,"MBM004307",NA,"MBM004307","Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1560286","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","T. R. Soderstrom","George Eiten|Tatiana Sendulsky","Eiten 2867","1961","5","31","South America","Brazil","São Paulo","At 7.5 kM S of São José dos Campos (along highway to Paraibuna) and ca 1 kM further S on dirt road. Municipio de São José dos Campos: disjunct cerrada area of several hundred sq. kM. surrounded by former forest. Ca 1 kM further S on dirt road. Pasture with scattered shrubs, burnt recently.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","1560290","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","E. L. Ekman","Per Dusén","Dusén 10748","1910","10","22","South America","Brazil","Paraná","Jaquariahyva, in campo cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1560292","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","E. L. Ekman","Per Dusén","Dusén 13231","1911","10","21","South America","Brazil",NA,"Jaguariahyva in campo cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1560642","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman","P. Dusén","Per Dusén","Dusén 17367","1915","1","30","South America","Brazil","Paraná","Jaguariahyva in campo cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720.00000000",NA,NA
"14","2011-03-21 06:08:00-03","MO","MOBOT","235941","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arthropogon","xerachne","Arthropogon xerachne","Ekman",NA,"A. Loefgren","Loefgren 243","1908",NA,NA,"South America","Brazil","São Paulo","S. Jose dos Campos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
