"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:33:32-03","UNESC","CRI","8925","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","M. Verdi","2009","03","02","M. Verdi; R. P. Hasckel & G. Klemz","1648","2009","03","02","Brasil","Santa Catarina","Tunápolis","Canaleta.","-53.639444","-26.969444","53º38'22''W","26º58'10''S","401","401","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista Habito: arbórea","CRI003102","CRI003102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","8521","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","M. Verdi","2009","03","05","M. Verdi; R. P. Hasckel e G. Klemz","1677","2009","02","19","Brasil","Santa Catarina","Santa Helena",NA,"-53.619167","-26.9375","53º37'9''W","26º56'15''S",NA,NA,NA,"CRI003070","CRI003070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","6838","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. Burkart","1973","01","10","R. Reitz","6507","1963","02","03","Brasil","Santa Catarina","Lages",NA,"-50.326389","-27.815278","50º19'35''W","27º48'55''S",NA,NA,NA,"CRI003104","CRI003104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","2152","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","S. F. Smith","1992",NA,NA,"Valdir Vahl","12","1980","11","12","Brasil","Santa Catarina","Turvo","P. F. de Turvo.","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","Habitat: mata Habito: arvoreta","CRI003105","CRI003105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:18-03","UNESC","CRI","6712","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. Burkart",NA,NA,NA,"P. R. Reitiz","6507","1963","02","03","Brasil","Santa Catarina","Lages","Passo do Socorro.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","900","900",NA,"CRI003068","CRI003068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:18-03","UNESC","CRI","11367","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","C. Snak.",NA,NA,NA,"C. Snak; B. Kellermann, M.K. Caddah, W.S. Mancinelli, E.C. Smidt & R.Goldenberg","267","2009","11","05","Brasil","Paraná","Fênix","Parque Estadual Vila Rica do Espírito Santo.","-51.958611","-23.915","51º57'31''W","23º54'54''S","350","350","Floresta Estacional Semidecidual","CRI003107","CRI003107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:32-03","UNESC","CRI","10199","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","M. G. Caxambu","2012","02","23","N.M. Servat; et al.",NA,"2011","11","26","Brasil","São Paulo","Assis","arredores.","-50.410278","-22.660556","50º24'37''W","22º39'38''S","577","577","Habito: arvoreta heliófita","CRI003069","CRI003069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:18-03","UNESC","CRI","6772","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","S. F. Smith",NA,NA,NA,"Valdir Vahl",NA,"1980","11","12","Brasil","Santa Catarina","Turvo","P. F. de Turvo.","-49.679444","-28.926667","49º40'46''W","28º55'36''S","250","250",NA,"CRI003101","CRI003101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:18-03","UNESC","CRI","4067","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1567","1989","12","29","Brasil","Rio Grande do Sul","Marcelino Ramos","Morro em frente as águas termais.","-51.906667","-27.462222","51º54'24''W","27º27'44''S",NA,NA,"Habitat: borda de mata Habito: árvore","CRI003106","CRI003106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:18-03","UNESC","CRI","2847","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. Burkart",NA,NA,NA,"R. Reitz",NA,"1963","02","03","Brasil","Santa Catarina","Lages","Passo do Socorro.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","800","800",NA,"CRI003103","CRI003103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:40:48-03","E","E","178549","PreservedSpecimen","Plantae","Leguminosae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,NA,NA,NA,NA,"Hassler, E.","12338","1905","03","27","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178549 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178549",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:185410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:40:48-03","E","E","178552","PreservedSpecimen","Plantae","Leguminosae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,NA,NA,NA,NA,"Fiebrig, K.","377","1902","11","06","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178552",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:185407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:40:48-03","E","E","178551","PreservedSpecimen","Plantae","Leguminosae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,NA,NA,NA,NA,"Fiebrig, K.","377","1902","11","06","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178551",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:185408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:40:48-03","E","E","178550","PreservedSpecimen","Plantae","Leguminosae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,NA,NA,NA,NA,"Fiebrig, K.","377","1902","11","06","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178550",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:185409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:40:48-03","E","E","178553","PreservedSpecimen","Plantae","Leguminosae","Piptadenia","rigida","Piptadenia rigida",NA,NA,NA,NA,NA,"Morong, Thomas","825",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178553",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:185405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-11-01 12:32:00-02","NY","NYBG","459100","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"A. Sehnem",NA,NA,NA,"A. Sehnem","12592","1971","11","10","Brazil","Rio Grande do Sul","Sao Leopoldo","Sao Leopoldo, Vila Scharlau","-51.158839","-29.721198",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459100","NY00459100_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","459099","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","B. Rambo",NA,NA,NA,"E. Henz","35718","1946","10","10","Brazil","Rio Grande do Sul","Sao Leopoldo","Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459099","NY00459099_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-11-01 13:58:00-02","NY","NYBG","459642","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"L. M. Borges",NA,NA,NA,"J. P. Lemos Filho","13573","1994","10","31","Brazil","São Paulo","Piraju","Piraju","-49.38","-23.1903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459642","NY00459642_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
